ivtyp,iregn,ildv,iage,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,6,1,16,8601,9071,9541,9592,9813,9949,9880,11778,12098
1,6,1,17,8271,8648,9024,9047,9234,9376,9369,11561,11718
1,6,1,18,7718,8157,8596,8540,8719,8829,8807,11264,11507
1,6,1,19,7339,7804,8269,8145,8211,8346,8289,11030,11212
1,6,1,20,6890,7330,7770,7814,7836,7864,7827,10759,10971
1,6,1,21,6376,6894,7413,7389,7523,7492,7366,10742,10703
1,6,1,22,5846,6439,7033,7050,7133,7227,7047,10617,10684
1,6,1,23,5377,5966,6556,6711,6825,6835,6814,10592,10537
1,6,1,24,4912,5510,6107,6227,6401,6555,6436,10673,10515
1,6,1,25,3237,3532,3826,3925,3954,4054,4248,10061,10083
1,7,1,1,12973,10644,8315,8334,7689,7797,8776,14856,12342
1,7,1,2,10147,10455,10763,9876,10247,8645,9191,15641,15236
1,7,1,3,11363,11764,12166,11115,12021,11141,11005,15556,15927
1,7,1,4,12011,12067,12123,11533,12022,11548,11205,15465,15972
1,7,1,5,12751,12748,12745,11962,12631,12206,11843,15035,15382
1,7,1,6,12703,12911,13120,12515,12965,12641,12200,14931,14981
1,7,1,7,12477,12854,13231,12646,12960,12666,12290,14521,14885
1,7,1,8,12143,12542,12940,12721,12835,12589,12266,14093,14481
1,7,1,9,11942,12242,12541,12413,12738,12417,12114,13715,14055
1,7,1,10,11477,11798,12118,12011,12332,12279,11904,13242,13674
1,7,1,11,10882,11275,11667,11419,11764,11883,11752,12750,13206
1,7,1,12,10460,10837,11214,11119,11202,11356,11353,12432,12716
1,7,1,13,9669,10191,10714,10672,10826,10761,10752,12049,12409
1,7,1,14,9136,9677,10217,10180,10350,10384,10181,11778,12031
1,7,1,15,8480,9035,9591,9710,9866,9955,9810,11376,11763
1,7,1,16,8098,8566,9034,9125,9342,9458,9384,11018,11364
1,7,1,17,7783,8125,8466,8600,8769,8977,8934,10830,11002
1,7,1,18,7268,7714,8160,8036,8264,8420,8457,10533,10820
1,7,1,19,6936,7385,7835,7758,7698,7956,7923,10347,10526
1,7,1,20,6485,6942,7400,7474,7466,7409,7498,10022,10344
1,7,1,21,5923,6516,7109,7030,7185,7142,6976,9998,10017
1,7,1,22,5484,6105,6725,6756,6762,6907,6715,9830,9980
1,7,1,23,5040,5637,6234,6423,6512,6507,6511,9849,9791
1,7,1,24,4666,5274,5883,5915,6161,6301,6152,9933,9816
1,7,1,25,3115,3524,3933,4051,4094,4239,4405,9208,9291
1,8,1,1,12277,10064,7851,7784,7133,7260,8094,13548,11330
1,8,1,2,10269,10301,10333,9546,9116,7495,7683,14279,13891
1,8,1,3,10695,11248,11801,10497,11269,9885,9695,14313,14673
1,8,1,4,11161,11325,11489,10981,11371,10786,10147,14269,14863
1,8,1,5,11825,11855,11885,11130,11933,11340,10939,13964,14281
1,8,1,6,11551,11865,12179,11543,11969,11724,11191,13939,13973
1,8,1,7,11424,11856,12287,11657,11881,11589,11350,13572,13936
1,8,1,8,11051,11467,11883,11737,11778,11439,11192,13190,13556
1,8,1,9,10828,11210,11591,11339,11739,11321,11014,12802,13181
1,8,1,10,10613,10896,11180,11071,11294,11288,10897,12357,12792
1,8,1,11,10231,10537,10843,10651,10942,10836,10830,11905,12346
1,8,1,12,9928,10245,10561,10378,10517,10547,10395,11634,11899
1,8,1,13,9394,9806,10219,10100,10176,10074,10079,11217,11635
1,8,1,14,9055,9447,9840,9795,9848,9767,9653,10991,11217
1,8,1,15,8585,8983,9381,9436,9516,9473,9337,10598,10994
1,8,1,16,8225,8609,8993,8978,9105,9123,9026,10264,10606
1,8,1,17,7932,8256,8580,8601,8623,8739,8684,10129,10269
1,8,1,18,7487,7873,8259,8211,8256,8265,8318,9834,10137
1,8,1,19,7236,7598,7959,7880,7878,7899,7865,9650,9836
1,8,1,20,6874,7237,7601,7620,7537,7538,7503,9413,9648
1,8,1,21,6389,6878,7366,7265,7286,7213,7154,9398,9412
1,8,1,22,5893,6466,7039,7060,6920,6971,6872,9316,9388
1,8,1,23,5433,6013,6593,6739,6750,6597,6625,9295,9286
1,8,1,24,5091,5654,6218,6341,6443,6440,6303,9393,9266
1,8,1,25,3454,3838,4223,4362,4405,4499,4700,9067,9095
1,9,1,1,12281,10086,7892,7621,6956,7167,7958,13642,11239
1,9,1,2,9676,9461,9246,8487,8172,6879,7157,14157,13816
1,9,1,3,10387,10787,11188,9951,10507,9087,9059,13935,14419
1,9,1,4,10688,10802,10916,10517,10748,9873,9219,13859,14364
1,9,1,5,11577,11535,11493,10659,11497,10761,10193,13600,13911
1,9,1,6,11546,11706,11866,11346,11832,11483,10928,13651,13614
1,9,1,7,11437,11712,11987,11442,11813,11447,11149,13453,13644
1,9,1,8,11176,11422,11668,11520,11697,11370,11075,13110,13450
1,9,1,9,10860,11151,11441,11218,11605,11193,10945,12725,13105
1,9,1,10,10768,10946,11124,10998,11229,11184,10796,12304,12725
1,9,1,11,10362,10555,10748,10599,10896,10746,10709,11844,12309
1,9,1,12,10080,10333,10586,10330,10491,10513,10341,11603,11849
1,9,1,13,9580,9887,10194,10159,10165,10074,10048,11157,11614
1,9,1,14,9291,9583,9876,9806,9957,9793,9648,11042,11168
1,9,1,15,8840,9124,9408,9467,9561,9560,9324,10674,11057
1,9,1,16,8493,8797,9101,9046,9229,9193,9116,10363,10689
1,9,1,17,8191,8437,8682,8738,8761,8811,8728,10332,10377
1,9,1,18,7763,8087,8411,8336,8448,8380,8378,9967,10352
1,9,1,19,7503,7793,8083,8061,8045,8056,7964,9816,9982
1,9,1,20,7096,7435,7774,7759,7771,7678,7649,9584,9832
1,9,1,21,6568,7056,7544,7460,7458,7406,7269,9558,9600
1,9,1,22,6142,6680,7218,7244,7172,7138,7025,9479,9567
1,9,1,23,5775,6289,6802,6914,6986,6853,6741,9458,9482
1,9,1,24,5451,5951,6450,6518,6668,6655,6493,9589,9452
1,9,1,25,4165,4591,5017,5086,5113,5177,5259,9168,9212
1,1,2,1,10157,8303,6448,9448,7948,7948,7948,7948,7948
1,1,2,2,11700,7864,4028,872,9553,7294,6967,8455,10403
1,1,2,3,13434,12654,11873,5734,7731,12164,8552,8403,11123
1,1,2,4,13070,11374,9678,9250,8922,8948,12419,8428,11108
1,1,2,5,13121,12823,12525,8960,9858,8518,8817,16690,10955
1,1,2,6,10648,11683,12718,9663,10225,10383,10252,13265,16698
1,1,2,7,11111,12408,13704,8991,9550,10800,10805,12854,13280
1,1,2,8,8197,10274,12351,9992,8415,10113,11181,12037,12869
1,1,2,9,11751,12634,13516,9549,9545,9213,10528,13731,12045
1,1,2,10,9369,11629,13889,12980,9576,9900,9613,13358,13749
1,1,2,11,12946,13002,13057,12529,12373,9998,10379,13604,13350
1,1,2,12,11645,11568,11490,11883,11550,11919,9807,13327,13572
1,1,2,13,11416,12213,13010,10636,11571,10609,11796,12416,13309
1,1,2,14,11675,12097,12520,12213,10072,10037,10399,11819,12382
1,1,2,15,10400,11358,12317,11279,11323,9285,10601,11258,11813
1,1,2,16,9935,11046,12157,11411,10792,11118,8871,10022,11241
1,1,2,17,9151,9987,10823,11303,10393,10393,10554,9638,9967
1,1,2,18,8539,9717,10895,10293,10558,10186,9794,10644,9593
1,1,2,19,7357,8690,10022,10073,9729,10082,9773,10264,10620
1,1,2,20,6302,7792,9282,9592,9470,9277,9488,10272,10220
1,1,2,21,6015,7311,8608,8730,9077,8968,8869,10118,10258
1,1,2,22,6926,7541,8157,7486,8509,8595,8533,10127,10104
