Census Division,Class,Vocational ?,Vintage,Fuel,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
2,2,0,6,5,0,0,138,9323,10017,8871,13087,11423,22618,16659,21267,14814,17181
2,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,7,1,22690,13143,14162,3619,4444,10475,9495,8066,8511,14193,12876,13043,12733
2,2,0,7,2,58028,39268,43906,26482,13543,27303,27120,20471,20052,30087,34584,32579,30676
2,2,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,7,4,0,0,0,0,0,15,67,295,70,219,14,5,62
2,2,0,7,5,0,0,0,133,9061,9754,8617,12801,11105,22507,16509,20839,14625
2,2,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,8,1,19585,22377,13002,13938,3559,4343,10321,9291,7752,8390,13803,12474,12809
2,2,0,8,2,48604,57329,39192,43269,26083,13373,26724,26750,19882,19838,29636,32844,32388
2,2,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,8,4,0,0,0,0,0,0,15,77,249,71,217,14,5
2,2,0,8,5,0,0,0,0,127,8746,9491,8511,12440,10952,22045,16260,20538
2,2,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,9,1,20491,19211,22063,12773,13714,3488,4242,10115,8876,7518,8212,13377,12185
2,2,0,9,2,58441,47832,56629,38397,42632,25485,13203,26339,25498,19669,19532,27997,32542
2,2,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,9,4,63,0,0,0,0,0,0,12,83,249,74,159,14
2,2,0,9,5,0,0,0,0,0,124,8430,9304,8204,12244,10726,21588,16046
2,2,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,10,1,18548,20142,18836,21587,12544,13341,3416,4079,9613,8667,7290,7957,13042
2,2,0,10,2,62966,57469,47059,55456,37602,41555,24886,13018,25137,25140,19419,19118,27615
2,2,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,10,4,141,61,0,0,0,0,0,0,10,81,238,54,145
