YEAR,ICD_19,ICL_19,IGP_19,ILDV_19,IOWN_19,SALES_19 (millions)
2019,1,7,1,16,1,0.000783592
2019,1,7,1,5,3,1.03E-06
2019,1,7,1,5,1,0.00029418
2019,1,7,1,5,4,1.13E-05
2019,1,7,1,2,1,2.13E-06
2019,1,7,1,1,2,0.000388545
2019,1,7,1,1,3,7.25E-06
2019,1,7,1,1,1,0.024718491
2019,1,7,2,1,2,6.76E-05
2019,1,7,2,1,3,1.23E-05
2019,1,7,2,1,1,0.022722179
2019,1,7,3,1,2,3.07E-06
2019,1,7,3,1,1,0.002889336
2019,1,7,4,7,1,0.000583251
2019,1,7,4,7,4,2.24E-05
2019,1,7,4,15,1,0.000481419
2019,1,7,4,15,4,1.46E-05
2019,1,7,4,1,2,2.38E-07
2019,1,7,4,1,1,0.00059665
2019,1,8,6,3,2,1.05E-06
2019,1,8,6,3,1,3.35E-05
2019,1,8,6,1,2,0.000635528
2019,1,8,6,1,3,1.11E-05
2019,1,8,6,1,1,0.015031281
2019,1,8,7,3,2,6.48E-06
2019,1,8,7,3,3,3.37E-05
2019,1,8,7,3,1,0.001125248
2019,1,8,7,1,2,8.17E-05
2019,1,8,7,1,3,0.000566515
2019,1,8,7,1,1,0.005974071
2019,1,8,8,1,2,2.44E-05
2019,1,8,8,1,3,8.34E-06
2019,1,8,8,1,1,0.010793761
2019,1,8,9,16,2,1.02E-06
2019,1,8,9,16,3,1.34E-05
2019,1,8,9,16,1,0.002023058
2019,1,8,9,1,2,9.23E-05
2019,1,8,9,1,3,4.43E-06
2019,1,8,9,1,1,0.05206005
2019,1,8,10,1,2,3.37E-05
2019,1,8,10,1,1,0.019029385
2019,1,8,11,7,1,0.000478297
2019,1,8,11,7,4,4.04E-05
2019,1,8,11,15,1,8.45E-05
2019,1,8,11,15,4,9.66E-06
2019,1,8,11,16,3,1.01E-06
2019,1,8,11,16,1,0.000188096
2019,1,8,11,5,1,0.000380555
2019,1,8,11,5,4,2.15E-05
2019,1,8,11,2,1,0.000113339
2019,1,8,11,2,4,1.85E-05
2019,1,8,11,1,2,0.000153525
2019,1,8,11,1,3,2.73E-05
2019,1,8,11,1,1,0.042582416
2019,1,8,1,1,2,0.000374832
2019,1,8,1,1,3,7.26E-06
2019,1,8,1,1,1,0.007465233
2019,1,8,2,1,2,4.19E-06
2019,1,8,2,1,1,4.81E-05
2019,1,8,3,1,2,9.43E-06
2019,1,8,3,1,1,5.82E-05
2019,1,8,4,16,1,0.000113736
2019,1,8,4,1,2,1.01E-06
2019,1,8,4,1,1,0.00111438
2019,1,8,5,7,1,3.36E-05
2019,1,8,5,7,4,2.89E-06
2019,1,8,5,15,1,0.000213503
2019,1,8,5,15,4,2.44E-05
2019,1,8,5,1,1,3.72E-05
2019,2,1,2,1,1,0.000366409
2019,2,1,3,1,1,0.001306874
2019,2,1,5,1,1,0.00106294
2019,2,1,8,2,3,3.06E-06
2019,2,1,8,2,1,0.000138707
2019,2,1,8,2,4,8.94E-05
2019,2,1,8,1,2,3.75E-05
2019,2,1,8,1,3,0.000103825
2019,2,1,8,1,1,0.014395521
2019,2,1,9,3,2,1.73E-05
2019,2,1,9,3,3,3.19E-06
2019,2,1,9,3,1,0.000980593
2019,2,1,9,1,2,0.000297566
2019,2,1,9,1,3,2.02E-05
2019,2,1,9,1,1,0.024935404
2019,2,1,11,2,1,0.000128117
2019,2,1,11,2,4,7.00E-06
2019,2,1,11,1,1,0.000794978
2019,2,2,1,1,2,0.001386648
2019,2,2,1,1,3,3.27E-05
2019,2,2,1,1,1,0.008505306
2019,2,2,2,1,1,9.53E-06
2019,2,2,3,1,2,2.61E-05
2019,2,2,3,1,1,0.007210631
2019,2,2,4,7,1,4.56E-05
2019,2,2,4,7,4,1.12E-05
2019,2,2,4,6,1,0.000232581
2019,2,2,4,6,4,3.85E-05
2019,2,2,4,1,2,2.35E-05
2019,2,2,4,1,1,0.012304504
2019,2,2,5,16,1,1.09E-06
2019,2,2,5,5,2,1.04E-06
2019,2,2,5,5,1,0.000281897
2019,2,2,5,5,4,4.35E-05
2019,2,2,5,1,2,2.03E-06
2019,2,2,5,1,1,0.002121502
2019,2,2,6,3,2,7.89E-06
2019,2,2,6,3,3,0.000142594
2019,2,2,6,3,1,0.010972364
2019,2,2,6,2,1,4.55E-05
2019,2,2,6,2,4,8.09E-06
2019,2,2,6,1,2,0.000152961
2019,2,2,6,1,3,8.89E-05
2019,2,2,6,1,1,0.047391422
2019,2,2,7,3,2,6.24E-05
2019,2,2,7,3,3,0.000434206
2019,2,2,7,3,1,0.011817655
2019,2,2,7,2,1,0.000301574
2019,2,2,7,2,4,5.60E-05
2019,2,2,7,1,2,0.000756238
2019,2,2,7,1,3,0.000105784
2019,2,2,7,1,1,0.035371375
2019,2,2,8,3,2,5.02E-08
2019,2,2,8,3,3,3.93E-07
2019,2,2,8,3,1,7.01E-05
2019,2,2,8,1,2,9.25E-05
2019,2,2,8,1,3,0.000160626
2019,2,2,8,1,1,0.041068098
2019,2,2,9,3,2,3.10E-06
2019,2,2,9,3,1,0.001773316
2019,2,2,9,1,2,5.70E-05
2019,2,2,9,1,1,0.015424087
2019,2,2,11,3,1,2.34E-06
2019,2,2,11,1,2,9.17E-06
2019,2,2,11,1,1,0.009278146
2019,2,3,6,1,3,3.77E-06
2019,2,3,6,1,1,0.000235873
2019,2,3,7,3,2,1.23E-07
2019,2,3,7,3,3,3.62E-06
2019,2,3,7,3,1,2.25E-05
2019,2,3,7,1,2,4.64E-06
2019,2,3,7,1,3,0.00015035
2019,2,3,7,1,1,0.000875949
2019,2,3,9,1,3,1.44E-05
2019,2,3,9,1,1,0.000380772
2019,2,3,1,6,3,1.02E-05
2019,2,3,1,6,1,0.000413039
2019,2,3,1,6,4,2.14E-05
2019,2,3,1,2,1,7.34E-06
2019,2,3,1,2,4,1.05E-06
2019,2,3,1,1,2,0.002615971
2019,2,3,1,1,3,2.77E-05
2019,2,3,1,1,1,0.017571454
2019,2,3,2,16,3,2.19E-06
2019,2,3,2,16,1,0.002070532
2019,2,3,2,1,2,6.88E-05
2019,2,3,2,1,3,1.35E-06
2019,2,3,2,1,1,0.039548733
2019,2,3,3,4,1,0.00024148
2019,2,3,3,4,4,3.06E-06
2019,2,3,3,3,1,0.002458824
2019,2,3,3,1,2,0.000459845
2019,2,3,3,1,1,0.031878238
2019,2,3,4,5,1,0.000806831
2019,2,3,4,5,4,6.18E-05
2019,2,3,4,2,1,0.000003
2019,2,3,4,1,2,3.51E-05
2019,2,3,4,1,1,0.032716991
2019,2,3,5,1,2,1.00E-06
2019,2,3,5,1,1,0.001595082
2019,2,4,1,4,2,2.07E-06
2019,2,4,1,4,3,2.79E-05
2019,2,4,1,4,1,0.001193341
2019,2,4,1,4,4,4.83E-05
2019,2,4,1,7,1,0.003326132
2019,2,4,1,7,4,9.55E-05
2019,2,4,1,16,2,0.001456516
2019,2,4,1,16,3,0.000139433
2019,2,4,1,16,1,0.007025499
2019,2,4,1,5,2,3.10E-06
2019,2,4,1,5,3,4.54E-05
2019,2,4,1,5,1,0.003757488
2019,2,4,1,5,4,0.000129392
2019,2,4,1,2,1,1.13E-05
2019,2,4,1,1,2,0.003963657
2019,2,4,1,1,3,0.00072981
2019,2,4,1,1,1,0.103239104
2019,2,4,2,16,2,8.57E-05
2019,2,4,2,16,3,0.000130308
2019,2,4,2,16,1,0.009791389
2019,2,4,2,5,3,4.46E-05
2019,2,4,2,5,1,0.000110529
2019,2,4,2,5,4,0.000183539
2019,2,4,2,6,1,0.000271436
2019,2,4,2,6,4,6.10E-06
2019,2,4,2,1,2,0.00241664
2019,2,4,2,1,3,3.98E-05
2019,2,4,2,1,1,0.113598353
2019,2,4,3,5,1,0.000211869
2019,2,4,3,5,4,1.88E-05
2019,2,4,3,1,2,4.46E-05
2019,2,4,3,1,1,0.006887386
2019,2,4,4,15,2,1.03E-06
2019,2,4,4,15,3,1.03E-06
2019,2,4,4,15,1,0.005631069
2019,2,4,4,15,4,0.000200262
2019,2,4,4,16,1,0.001131845
2019,2,4,4,5,1,1.27E-05
2019,2,4,4,1,2,0.000395595
2019,2,4,4,1,3,2.05E-06
2019,2,4,4,1,1,0.033058831
2019,2,4,5,16,3,1.13E-06
2019,2,4,5,16,1,7.91E-06
2019,2,4,5,1,2,1.02E-06
2019,2,4,5,1,1,0.004404899
2019,2,4,6,3,2,0.001446848
2019,2,4,6,3,3,0.001481347
2019,2,4,6,3,1,0.010434243
2019,2,4,6,5,3,8.65E-05
2019,2,4,6,5,1,0.000235291
2019,2,4,6,5,4,5.59E-05
2019,2,4,6,1,2,0.000508518
2019,2,4,6,1,3,9.49E-06
2019,2,4,6,1,1,0.009798154
2019,2,4,7,3,2,4.18E-08
2019,2,4,7,3,3,5.18E-06
2019,2,4,7,3,1,3.93E-06
2019,2,4,7,1,2,3.04E-06
2019,2,4,7,1,3,0.000134132
2019,2,4,7,1,1,0.000121553
2019,2,4,9,1,2,0.00014304
2019,2,4,9,1,3,5.24E-05
2019,2,4,9,1,1,0.027237065
2019,2,4,10,1,2,4.33E-06
2019,2,4,10,1,3,5.40E-06
2019,2,4,10,1,1,0.000288648
2019,2,5,6,1,2,0.00033423
2019,2,5,6,1,3,6.95E-06
2019,2,5,6,1,1,0.017007133
2019,2,5,9,1,2,0.00039284
2019,2,5,9,1,1,0.010123848
2019,2,5,11,1,2,1.88E-05
2019,2,5,11,1,1,0.00140209
2019,2,5,1,3,2,0.000366055
2019,2,5,1,3,3,0.000377619
2019,2,5,1,3,1,0.002878987
2019,2,5,1,16,2,0.000429759
2019,2,5,1,16,3,2.35E-06
2019,2,5,1,16,1,0.000965373
2019,2,5,1,1,2,0.001352272
2019,2,5,1,1,3,0.000728094
2019,2,5,1,1,1,0.034719017
2019,2,5,2,16,1,0.002430281
2019,2,5,2,1,2,8.59E-05
2019,2,5,2,1,3,1.02E-06
2019,2,5,2,1,1,0.037663175
2019,2,5,3,1,3,1.04E-06
2019,2,5,3,1,1,0.003370509
2019,2,5,4,1,2,6.17E-05
2019,2,5,4,1,3,5.15E-06
2019,2,5,4,1,1,0.003741147
2019,2,5,5,15,1,0.000881495
2019,2,5,5,15,4,8.57E-05
2019,2,5,5,5,1,7.76E-05
2019,2,5,5,5,4,2.05E-05
2019,2,5,5,1,2,7.10E-06
2019,2,5,5,1,3,1.12E-05
2019,2,5,5,1,1,0.005601558
2019,2,6,1,1,1,0.000105885
2019,2,6,2,1,1,0.000880076
2019,2,6,3,4,3,3.02E-06
2019,2,6,3,4,1,6.25E-05
2019,2,6,3,4,4,9.07E-06
2019,2,6,3,1,1,0.000255916
2019,2,6,4,1,2,4.09E-06
2019,2,6,4,1,1,0.003300878
2019,2,6,5,16,1,2.55E-05
2019,2,6,5,1,2,2.16E-06
2019,2,6,5,1,1,0.002251586
2019,2,6,7,1,2,4.57E-05
2019,2,6,7,1,3,5.81E-05
2019,2,6,7,1,1,0.002905492
2019,2,6,8,3,2,0.00014093
2019,2,6,8,3,3,0.000235681
2019,2,6,8,3,1,0.005524081
2019,2,6,8,1,2,0.000136927
2019,2,6,8,1,3,0.000318262
2019,2,6,8,1,1,0.006443905
