class,ifuel,iage,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,2,16,7.752913453,7.831225711,7.910329001,7.990231314,8.070940721,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781,9.539603385,9.092414468,10.00386461,10.0577439,10.58928952,10.49032703,10.51010117,10.32163746
1,2,17,7.675384319,7.752913453,7.831225711,7.910329001,7.990231314,8.070940721,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781,9.539603385,9.092414468,10.00386461,10.0577439,10.58928952,10.49032703,10.51010117
1,2,18,7.598630476,7.675384319,7.752913453,7.831225711,7.910329001,7.990231314,8.070940721,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781,9.539603385,9.092414468,10.00386461,10.0577439,10.58928952,10.49032703
1,2,19,7.522644171,7.598630476,7.675384319,7.752913453,7.831225711,7.910329001,7.990231314,8.070940721,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781,9.539603385,9.092414468,10.00386461,10.0577439,10.58928952
1,2,20,7.447417729,7.522644171,7.598630476,7.675384319,7.752913453,7.831225711,7.910329001,7.990231314,8.070940721,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781,9.539603385,9.092414468,10.00386461,10.0577439
1,2,21,7.372943552,7.447417729,7.522644171,7.598630476,7.675384319,7.752913453,7.831225711,7.910329001,7.990231314,8.070940721,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781,9.539603385,9.092414468,10.00386461
1,2,22,7.299214116,7.372943552,7.447417729,7.522644171,7.598630476,7.675384319,7.752913453,7.831225711,7.910329001,7.990231314,8.070940721,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781,9.539603385,9.092414468
1,2,23,7.226221975,7.299214116,7.372943552,7.447417729,7.522644171,7.598630476,7.675384319,7.752913453,7.831225711,7.910329001,7.990231314,8.070940721,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781,9.539603385
1,2,24,7.153959756,7.226221975,7.299214116,7.372943552,7.447417729,7.522644171,7.598630476,7.675384319,7.752913453,7.831225711,7.910329001,7.990231314,8.070940721,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246,8.799524781
1,2,25,7.082420158,7.153959756,7.226221975,7.299214116,7.372943552,7.447417729,7.522644171,7.598630476,7.675384319,7.752913453,7.831225711,7.910329001,7.990231314,8.070940721,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036,9.598412246
1,2,26,7.011595956,7.082420158,7.153959756,7.226221975,7.299214116,7.372943552,7.447417729,7.522644171,7.598630476,7.675384319,7.752913453,7.831225711,7.910329001,7.990231314,8.070940721,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255,9.384178036
1,2,27,6.941479997,7.011595956,7.082420158,7.153959756,7.226221975,7.299214116,7.372943552,7.447417729,7.522644171,7.598630476,7.675384319,7.752913453,7.831225711,7.910329001,7.990231314,8.070940721,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893,9.290336255
1,2,28,6.872065197,6.941479997,7.011595956,7.082420158,7.153959756,7.226221975,7.299214116,7.372943552,7.447417729,7.522644171,7.598630476,7.675384319,7.752913453,7.831225711,7.910329001,7.990231314,8.070940721,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564,9.197432893
1,2,29,6.803344545,6.872065197,6.941479997,7.011595956,7.082420158,7.153959756,7.226221975,7.299214116,7.372943552,7.447417729,7.522644171,7.598630476,7.675384319,7.752913453,7.831225711,7.910329001,7.990231314,8.070940721,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978,9.105458564
1,2,30,6.735311099,6.803344545,6.872065197,6.941479997,7.011595956,7.082420158,7.153959756,7.226221975,7.299214116,7.372943552,7.447417729,7.522644171,7.598630476,7.675384319,7.752913453,7.831225711,7.910329001,7.990231314,8.070940721,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938,9.014403978
1,2,31,6.667957988,6.735311099,6.803344545,6.872065197,6.941479997,7.011595956,7.082420158,7.153959756,7.226221975,7.299214116,7.372943552,7.447417729,7.522644171,7.598630476,7.675384319,7.752913453,7.831225711,7.910329001,7.990231314,8.070940721,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339,8.924259938
1,2,32,6.601278409,6.667957988,6.735311099,6.803344545,6.872065197,6.941479997,7.011595956,7.082420158,7.153959756,7.226221975,7.299214116,7.372943552,7.447417729,7.522644171,7.598630476,7.675384319,7.752913453,7.831225711,7.910329001,7.990231314,8.070940721,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166,8.835017339
1,2,33,6.535265624,6.601278409,6.667957988,6.735311099,6.803344545,6.872065197,6.941479997,7.011595956,7.082420158,7.153959756,7.226221975,7.299214116,7.372943552,7.447417729,7.522644171,7.598630476,7.675384319,7.752913453,7.831225711,7.910329001,7.990231314,8.070940721,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494,8.746667166
1,2,34,6.469912968,6.535265624,6.601278409,6.667957988,6.735311099,6.803344545,6.872065197,6.941479997,7.011595956,7.082420158,7.153959756,7.226221975,7.299214116,7.372943552,7.447417729,7.522644171,7.598630476,7.675384319,7.752913453,7.831225711,7.910329001,7.990231314,8.070940721,8.152465375,8.23481351,8.317993444,8.40201358,8.486882404,8.572608489,8.659200494
1,3,1,8.653827819,8.741240221,8.829535577,8.918722805,9.008810914,9.214475756,8.44754379,9.15801925,8.728717889,9.603710025,9.655434145,10.16571794,10.07071395,10.08969712,9.90877196,10.00364959,10.27416903,10.76270079,10.95185126,10.27558976,9.681598695,9.507818064,9.87904659,10.22720399,10.89223329,11.62822792,11.80265134,11.97969111,11.97969111,11.97969111
1,3,2,8.567289541,8.653827819,8.741240221,8.829535577,8.918722805,9.008810914,9.214475756,8.44754379,9.15801925,8.728717889,9.603710025,9.655434145,10.16571794,10.07071395,10.08969712,9.90877196,10.00364959,10.27416903,10.76270079,10.95185126,10.27558976,9.681598695,9.507818064,9.87904659,10.22720399,10.89223329,11.62822792,12.41530612,11.97969111,11.97969111
1,3,3,8.481616645,8.567289541,8.653827819,8.741240221,8.829535577,8.918722805,9.008810914,9.214475756,8.44754379,9.15801925,8.728717889,9.603710025,9.655434145,10.16571794,10.07071395,10.08969712,9.90877196,10.00364959,10.27416903,10.76270079,10.95185126,10.27558976,9.681598695,9.507818064,9.87904659,10.22720399,10.89223329,11.62822792,12.41530612,11.97969111
1,3,4,8.396800479,8.481616645,8.567289541,8.653827819,8.741240221,8.829535577,8.918722805,9.008810914,9.214475756,8.44754379,9.15801925,8.728717889,9.603710025,9.655434145,10.16571794,10.07071395,10.08969712,9.90877196,10.00364959,10.27416903,10.76270079,10.95185126,10.27558976,9.681598695,9.507818064,9.87904659,10.22720399,10.89223329,11.62822792,12.41530612
1,3,5,8.312832474,8.396800479,8.481616645,8.567289541,8.653827819,8.741240221,8.829535577,8.918722805,9.008810914,9.214475756,8.44754379,9.15801925,8.728717889,9.603710025,9.655434145,10.16571794,10.07071395,10.08969712,9.90877196,10.00364959,10.27416903,10.76270079,10.95185126,10.27558976,9.681598695,9.507818064,9.87904659,10.22720399,10.89223329,11.62822792
