Class,Powertrain,Vintage,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 
1,2,13 ,156411 ,218432 ,240014 ,256772 ,201072 ,275963 ,320724 ,273470 ,203450 ,220317 ,223792 ,299421 ,287162 ,257646 ,342215 ,264503 ,431697 
1,2,14 ,137744 ,150835 ,210197 ,237145 ,249955 ,179080 ,277653 ,321914 ,263395 ,197163 ,214215 ,212230 ,286081 ,273842 ,251013 ,336631 ,279589 
1,2,15 ,148432 ,131993 ,144230 ,206370 ,229388 ,221208 ,179036 ,276919 ,308091 ,253640 ,190489 ,201862 ,201491 ,271084 ,265103 ,245355 ,353579 
1,2,16 ,155509 ,141642 ,125686 ,141013 ,198787 ,202160 ,220232 ,177818 ,263924 ,295444 ,244033 ,178756 ,190849 ,190133 ,261340 ,258047 ,256633 
1,2,17 ,171056 ,147985 ,134502 ,122544 ,135457 ,174707 ,200712 ,218130 ,169006 ,252391 ,283468 ,228369 ,168536 ,179593 ,182792 ,253681 ,269163 
1,2,18 ,160539 ,161481 ,139404 ,130093 ,116776 ,118098 ,172072 ,197210 ,205664 ,160330 ,240227 ,263156 ,213595 ,157331 ,171281 ,176019 ,262497 
1,2,19 ,149932 ,150812 ,151374 ,134175 ,123364 ,101314 ,115749 ,168243 ,185032 ,194155 ,151858 ,221924 ,244929 ,198419 ,149316 ,164128 ,181246 
1,2,20 ,139289 ,140107 ,140629 ,144930 ,126566 ,106467 ,98776 ,112578 ,157024 ,173758 ,182927 ,139550 ,205466 ,226330 ,187321 ,142328 ,168114 
1,2,21 ,128779 ,129535 ,130018 ,133994 ,136053 ,108704 ,103300 ,95608 ,104565 ,146746 ,162922 ,167292 ,128579 ,188950 ,212642 ,177695 ,145082 
1,2,22 ,117984 ,118677 ,119119 ,122762 ,124648 ,115794 ,104516 ,99081 ,87998 ,96836 ,136349 ,147647 ,152745 ,117173 ,175916 ,199889 ,179494 
1,2,23 ,107708 ,108340 ,108744 ,112070 ,113792 ,105709 ,110935 ,99890 ,90870 ,81203 ,89654 ,123125 ,134327 ,138698 ,108700 ,164775 ,201191 
1,2,24 ,99147 ,99728 ,100100 ,103162 ,104746 ,97306 ,102117 ,106908 ,92374 ,84552 ,75807 ,81633 ,112950 ,122990 ,129741 ,102664 ,167230 
1,2,25 ,90100 ,90629 ,90966 ,93749 ,95189 ,88427 ,92799 ,97153 ,97602 ,84854 ,77925 ,68143 ,73931 ,102097 ,113578 ,120972 ,102864 
1,2,26 ,81187 ,81663 ,81968 ,84474 ,85772 ,79680 ,83619 ,87542 ,87947 ,88899 ,77543 ,69455 ,61192 ,66262 ,93487 ,105007 ,120182 
1,2,27 ,73519 ,73950 ,74226 ,76496 ,77671 ,72154 ,75721 ,79274 ,79641 ,80503 ,81643 ,69458 ,62680 ,55118 ,60976 ,86861 ,104840 
1,2,28 ,66593 ,66983 ,67233 ,69289 ,70354 ,65356 ,68588 ,71806 ,72138 ,72918 ,73951 ,73150 ,62699 ,56472 ,50734 ,56669 ,86746 
1,2,29 ,60281 ,60635 ,60861 ,62723 ,63686 ,59162 ,62087 ,65000 ,65301 ,66008 ,66942 ,66217 ,65990 ,56454 ,51948 ,47121 ,56558 
1,2,30 ,54466 ,54786 ,54990 ,56672 ,57542 ,53455 ,56098 ,58730 ,59002 ,59640 ,60484 ,59829 ,59624 ,59307 ,51835 ,48159 ,46941 
1,2,31 ,49325 ,49614 ,49799 ,51322 ,52111 ,48409 ,50802 ,53186 ,53432 ,54010 ,54775 ,54181 ,53996 ,53708 ,54578 ,48164 ,48085 
1,2,32 ,44724 ,44986 ,45154 ,46535 ,47250 ,43894 ,46064 ,48225 ,48448 ,48972 ,49666 ,49127 ,48959 ,48698 ,49487 ,50776 ,48149 
1,2,33 ,40658 ,40896 ,41049 ,42304 ,42954 ,39903 ,41876 ,43840 ,44043 ,44520 ,45150 ,44661 ,44508 ,44271 ,44988 ,46159 ,50892 
1,2,34 ,453802 ,456465 ,458166 ,472179 ,479432 ,445378 ,467397 ,489328 ,491590 ,496909 ,503946 ,498485 ,496780 ,494132 ,502136 ,515208 ,568039 
1,3,1 ,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
1,3,2 ,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
1,3,3 ,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0
1,3,4 ,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0
1,3,5 ,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0
1,3,6 ,0,0,0,0,0,1,0,0,0,1,3,2,0,0,0,0,0
1,3,7 ,2,0,0,1,0,0,1,1,1,0,1,3,2,0,0,0,0
1,3,8 ,1,2,0,0,1,1,0,1,1,1,0,1,3,2,0,0,0
1,3,9 ,1,1,2,0,0,1,1,0,1,1,1,0,1,3,2,0,0
1,3,10 ,1,1,1,2,0,0,1,1,0,1,1,1,0,1,3,2,0
1,3,11 ,7,1,1,1,3,0,0,1,1,0,1,1,1,0,1,4,2
1,3,12 ,9,7,1,1,1,3,0,0,1,1,0,1,1,1,0,1,4
1,3,13 ,1,9,8,1,1,1,3,0,0,1,1,0,1,1,1,0,1
1,3,14 ,0,1,9,8,1,1,1,3,0,0,1,1,0,1,1,1,0
1,3,15 ,0,0,1,9,8,2,1,1,3,0,0,1,1,0,1,1,1
1,3,16 ,0,0,0,1,9,8,2,1,2,3,0,0,1,1,0,2,1
1,3,17 ,20,0,0,0,1,9,8,2,1,2,3,0,0,1,1,0,2
1,3,18 ,14,20,0,0,0,1,9,8,2,1,2,3,0,0,1,1,0
1,3,19 ,10,14,20,0,0,0,1,9,8,2,1,2,3,0,0,1,1
1,3,20 ,7,10,14,19,0,0,0,1,9,8,2,1,2,3,0,0,1
1,3,21 ,5,7,10,14,19,0,0,0,1,9,8,2,1,2,3,0,0
1,3,22 ,4,5,7,10,13,19,0,0,0,1,9,8,2,1,2,3,0
1,3,23 ,3,4,5,7,9,14,19,0,0,0,1,9,8,2,1,2,3
1,3,24 ,2,2,3,5,7,9,13,19,0,0,0,1,9,8,2,1,2
1,3,25 ,1,2,2,3,5,7,9,13,18,0,0,0,1,9,8,2,1
1,3,26 ,1,1,2,2,3,5,6,9,12,17,0,0,0,1,9,8,2
1,3,27 ,1,1,1,2,2,3,4,6,9,12,17,0,0,0,1,9,9
1,3,28 ,0,1,1,1,2,2,3,4,6,8,12,17,0,0,0,1,10
1,3,29 ,0,0,1,1,1,2,2,3,4,6,8,11,16,0,0,0,1
1,3,30 ,0,0,0,1,1,1,1,2,3,4,6,8,11,16,0,0,0
1,3,31 ,0,0,0,0,1,1,1,1,2,3,4,6,8,11,16,0,0
1,3,32 ,0,0,0,0,0,1,1,1,1,2,3,4,5,8,11,17,0
1,3,33 ,0,0,0,0,0,0,1,1,1,1,2,3,4,5,8,12,18
1,3,34 ,0,0,0,0,0,0,0,0,1,1,1,2,3,4,5,8,13
1,4,1 ,169,262,782,825,1071,809,756,605,481,297,0,0,0,0,0,0,218.9385157
1,4,2 ,489,171,269,794,836,1080,814,760,607,482,297,0,0,0,0,0,0
1,4,3 ,25,495,175,272,803,842,1085,817,761,607,482,297,0,0,0,0,0
1,4,4 ,91,26,508,178,276,809,846,1088,818,761,607,482,297,0,0,0,0
1,4,5 ,0,92,26,515,180,278,813,849,1091,819,761,607,482,298,0,0,0
1,4,6 ,0,0,94,27,521,181,279,815,850,1091,818,760,606,482,298,0,0
1,4,7 ,0,0,0,95,27,523,182,279,815,848,1087,816,758,605,482,298,0
1,4,8 ,0,0,0,0,96,27,525,182,279,813,846,1084,814,757,605,482,300
1,4,9 ,0,0,0,0,0,97,27,524,182,278,810,843,1080,812,756,605,484
1,4,10 ,0,0,0,0,0,0,96,27,521,180,276,803,836,1073,807,753,604
1,4,11 ,0,0,0,0,0,0,0,95,27,516,178,273,794,828,1064,801,750
1,4,12 ,0,0,0,0,0,0,0,0,94,26,508,175,269,783,817,1052,795
1,4,13 ,0,0,0,0,0,0,0,0,0,93,26,498,172,264,770,805,1039
1,4,14 ,0,0,0,0,0,0,0,0,0,0,90,25,486,168,258,754,790
1,4,15 ,0,0,0,0,0,0,0,0,0,0,0,87,24,472,163,251,737
1,4,16 ,0,0,0,0,0,0,0,0,0,0,0,0,85,24,458,159,245
1,4,17 ,0,0,0,0,0,0,0,0,0,0,0,0,0,81,23,441,154
1,4,18 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,22,425
1,4,19 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,21
1,4,20 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
1,4,21 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,22 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,23 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,24 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,25 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,26 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,27 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,28 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,29 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,30 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,31 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,32 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,33 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,34 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,1 ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1312,70970,188495
1,5,2 ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1317,71055
1,5,3 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1317
1,5,4 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1,5,5 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,5,6 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,7 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,8 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,9 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,10 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,11 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,12 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,13 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,14 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,15 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,16 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,17 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,18 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,19 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,20 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,21 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,22 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,23 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,24 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,25 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,26 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,27 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,28 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,29 ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,5,30 ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,5,31 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
1,5,32 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1,5,33 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
1,5,34 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,2 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,3 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,4 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,5 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,6 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,7 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,8 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,9 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,10 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,11 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,12 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,13 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,14 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,15 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,16 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,17 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,18 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,19 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,20 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,21 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,22 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,23 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,24 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,25 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,26 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,27 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,28 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,29 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,30 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,31 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,32 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
