! Note: Estimated from research
! Unit: annual mmMT of H2
Composite Table:
histyear    regCen           prodTech     hist_smr_ccs_cap
2019        MidAtlantic      SMR_CCS      0
2019        ENCentral        SMR_CCS      0
2019        WNCentral        SMR_CCS      0.100301
2019        SAtlantic        SMR_CCS      0
2019        ESCentral        SMR_CCS      0
2019        WSCentral        SMR_CCS      0.200602
2019        Mountain         SMR_CCS      0
2019        Pacific          SMR_CCS      0
2020        NewEngland       SMR_CCS      0
2020        MidAtlantic      SMR_CCS      0
2020        ENCentral        SMR_CCS      0
2020        WNCentral        SMR_CCS      0.100301
2020        SAtlantic        SMR_CCS      0
2020        ESCentral        SMR_CCS      0
2020        WSCentral        SMR_CCS      0.200602
2020        Mountain         SMR_CCS      0
2020        Pacific          SMR_CCS      0
2021        NewEngland       SMR_CCS      0
2021        MidAtlantic      SMR_CCS      0
2021        ENCentral        SMR_CCS      0
2021        WNCentral        SMR_CCS      0.100301
2021        SAtlantic        SMR_CCS      0
2021        ESCentral        SMR_CCS      0
2021        WSCentral        SMR_CCS      0.200602
2021        Mountain         SMR_CCS      0
2021        Pacific          SMR_CCS      0
2022        NewEngland       SMR_CCS      0
2022        MidAtlantic      SMR_CCS      0
2022        ENCentral        SMR_CCS      0
2022        WNCentral        SMR_CCS      0.100301
2022        SAtlantic        SMR_CCS      0
2022        ESCentral        SMR_CCS      0
2022        WSCentral        SMR_CCS      0.200602
2022        Mountain         SMR_CCS      0
2022        Pacific          SMR_CCS      0
2023        NewEngland       SMR_CCS      0
2023        MidAtlantic      SMR_CCS      0
2023        ENCentral        SMR_CCS      0
2023        WNCentral        SMR_CCS      0.100301
2023        SAtlantic        SMR_CCS      0
2023        ESCentral        SMR_CCS      0
2023        WSCentral        SMR_CCS      0.200602
2023        Mountain         SMR_CCS      0
2023        Pacific          SMR_CCS      0
;
