Notes,,,,,,,,,,,,,,,,,
facility_id,facility_name,ccs_retrofit_eligible,rep_facility,existing_45q,existing_ntc,retrofit_status,years_operating,ng_thruput_mmcf,vintage,state,census_division,avg_co2tputrat_cdvn,med_co2tputrat_cdvn,co2_capture_mmcf,co2_capture_tonnes,throughput_tons,45q_eligible
1014208,URBAN 575 UINTA BASIN GB,TRUE,FALSE,FALSE,FALSE,FALSE,0,88607.19565,post,CO,8,0.05746,0.06545,5799.54089,108056.3,1819823.283,TRUE
1013388,ALTUS GATHERING AND BOOSTING,TRUE,FALSE,FALSE,FALSE,FALSE,0,406462.2525,post,TX,7,0.04069,0.01402,5699.81392,106198.2,8347961.645,TRUE
1012815,ALAMO GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,46965,post,TX,7,0.04069,0.01402,5445.48627,101459.6,964571.7807,TRUE
1009840,BATTLEFIELD GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,338647.3542,post,LA,7,0.04069,0.01402,4748.84664,88479.9,6955172.607,TRUE
1010768,RAMSEY GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,320277.3986,post,TX,7,0.04069,0.01402,4491.24504,83680.3,6577888.654,TRUE
1012901,PANTHER GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,74267,post,TX,7,0.04069,0.01402,4419.72243,82347.7,1525302.937,TRUE
1013544,DIAMOND CRYO,TRUE,FALSE,FALSE,FALSE,FALSE,0,310024.5781,post,TX,7,0.04069,0.01402,4347.46989,81001.5,6367315.22,TRUE
1009289,HAYNESVILLE GATHERING-230-ARKLA BASIN,TRUE,FALSE,FALSE,FALSE,FALSE,0,309513.2384,post,LA,7,0.04069,0.01402,4340.29938,80867.9,6356813.275,TRUE
1013396,NACOGDOCHES AMINE AND DEHYDRATION PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,306618.1982,post,TX,7,0.04069,0.01402,4299.70228,80111.5,6297354.657,TRUE
1010598,SHELBY,TRUE,FALSE,FALSE,FALSE,FALSE,0,306610.1607,post,TX,7,0.04069,0.01402,4299.58957,80109.4,6297189.581,TRUE
1012817,ARKOMA BASIN - BG,TRUE,FALSE,FALSE,FALSE,FALSE,0,297182.1434,post,OK,7,0.04069,0.01402,4167.38063,77646.1,6103556.037,TRUE
1012723,IBEX MIDSTREAM-230-ARKLA BASIN,TRUE,FALSE,FALSE,FALSE,FALSE,0,255233.1501,post,TX,7,0.04069,0.01402,3579.13054,66685.9,5242003.494,TRUE
1012529,LUCID ENERGY DELAWARE 430 PERMIAN BASIN GB,TRUE,FALSE,FALSE,FALSE,FALSE,0,251415.7083,post,TX,7,0.04069,0.01402,3525.59861,65688.5,5163600.499,TRUE
1011012,KENEDY GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,248490.4318,post,TX,7,0.04069,0.01402,3484.57751,64924.2,5103520.883,TRUE
1007449,"TALCO MIDSTREAM ASSETS, LTD. - HOLLY COMMON POINT #6 FACILITY",TRUE,FALSE,FALSE,FALSE,FALSE,0,245318.2884,post,TX,7,0.04069,0.01402,3440.09459,64095.4,5038371.091,TRUE
1010223,GOLIAD GAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,60062,post,TX,7,0.04069,0.01402,3177.38346,59200.6,1233559.252,TRUE
1010735,LAS TIENDAS PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,224290.2083,post,TX,7,0.04069,0.01402,3145.21814,58601.3,4606494.317,TRUE
1011558,TARGA PEMBROOK GAS PROCESSING PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,218876.3608,post,TX,7,0.04069,0.01402,3069.29984,57186.8,4495304.186,TRUE
1012062,BECKVILLE GAS PROCESSING PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,43247,post,TX,7,0.04069,0.01402,2930.00627,54591.5,888211.1317,TRUE
1013924,BULLDOG GAS PLANT (PANOLA III),TRUE,FALSE,FALSE,FALSE,FALSE,0,201202.2252,post,TX,7,0.04069,0.01402,2821.45571,52569,4132311.053,TRUE
1008595,"TGG PIPELINE, LTD. - SHELBY #3 FACILITY",TRUE,FALSE,FALSE,FALSE,FALSE,0,197128.7308,post,TX,7,0.04069,0.01402,2764.33316,51504.7,4048649.225,TRUE
1012463,SOUTH EDDY CRYO PLANT,TRUE,FALSE,FALSE,FALSE,FALSE,0,41932.33527,post,NM,8,0.05746,0.06545,2744.56596,51136.4,861210.4183,TRUE
1012796,"EOG RESOURCES, INC. 420 FORT WORTH SYNCLINE BASIN GATHERING & BOOSTING",TRUE,FALSE,FALSE,FALSE,FALSE,0,195371.9574,post,TX,7,0.04069,0.01402,2739.69796,51045.7,4012568.44,TRUE
1013697,KUDU MIDSTREAM-260 EAST TEXAS BASIN,TRUE,FALSE,FALSE,FALSE,FALSE,0,194130.3511,post,TX,7,0.04069,0.01402,2722.28693,50721.3,3987068.208,TRUE
1009775,"KH PLANTATION SOUTH GAS TREATING FACILITY COUSHATTA, LA",TRUE,FALSE,FALSE,FALSE,FALSE,0,177257.6715,post,LA,7,0.04069,0.01402,2485.6816,46312.9,3640535.46,TRUE
