"note:100% cf, tons per year",,,,,,,CAPEX,,,,,,INCREMENTAL OPEX,,,,,,PARASITIC LOAD,,,,REPORTING METRICS,,,,,
facility_id,facility_name,state,co2_capture_tons,ng_thruput_tons,dry_cooling_systempref,ccs_retrofit_applicable,compressors_mm2018$,after_cooler_mm2018$,cool_water_sys_mm2018$,plant_balance_mm2018$,tpc_mm2018$,total_cap_mm2018$,fixed_labor_mm2018$,fixed_taxinsur_mm2018$,fixed_omcost_mm2018$,variable_chemwaste_mm2018$,variable_maintenance_mm2018$,total_om_cost_mm2018$,cool_systemload_MW,CCSretfit_Elec_LoadMW,misc_parasitic_loadMW,tot_parasitic_retfitloadMW,power_cost_mm2018$,tot_incremental_costmm2018$,co2_ts_$ton,tot_increment_cop$ton,cost_co2_capture$tonne,cost_co2_avoid$Tonne
1010351,RAWHIDE GAS PLANT,TX,6600.612354,560657.0205,Y,TRUE,1.541416734,0.00758446,0.146261571,0.759236046,2.45449881,2.982576956,0.048448134,0.049091448,0.097539582,0.024577242,0.027722239,0.031935979,0.001862558,0.055434531,0,0.057297089,0.01618237,0.326007197,0.106802942,1.059044373,89.15872668,99.15872668
1013867,ST. LAWRENCE GAS PLANT,TX,6639.946208,473504.4916,Y,TRUE,1.54701339,0.007616069,0.14687114,0.762400289,2.463900888,2.994001863,0.048633717,0.049279495,0.097913212,0.024671386,0.027828431,0.032058311,0.001873657,0.055764873,0,0.05763853,0.016278803,0.327290428,0.127214528,1.259162205,88.97943458,98.97943458
1012233,WILLIAMS G&B FACILITY ? ANADARKO BASIN 360,OK,7612.257735,542841.4803,Y,TRUE,1.681500171,0.008380601,0.161614645,0.838933039,2.690428455,3.269266165,0.053105032,0.053810183,0.106915215,0.026939639,0.030386937,0.035005707,0.002148023,0.063930726,0,0.06607875,0.015894153,0.355499748,0.127214528,1.199680255,84.30371469,94.30371469
1009103,STUART PLANT,OK,7852.532413,559975.8268,Y,TRUE,1.713679614,0.008564904,0.165168829,0.85738262,2.744795967,3.335330686,0.054178165,0.054897565,0.109075731,0.027484028,0.031000989,0.035713094,0.002215824,0.065948647,0,0.068164471,0.016395839,0.3628641,0.127214528,1.188401414,83.41711464,93.41711464
1012358,"MERIT ENERGY CO., SOUTH TEXAS G&B ? 220",TX,7887.772699,562488.8643,Y,TRUE,1.718366773,0.008591792,0.165687347,0.86007422,2.752720133,3.344959712,0.054334577,0.055056053,0.10939063,0.027563374,0.031090488,0.035816197,0.002225768,0.066244609,0,0.068470377,0.019338033,0.36680654,0.127214528,1.195138393,83.94669088,93.94669088
1012818,LEWIS ENERGY GROUP - G&B,TX,7963.058764,567857.6262,Y,TRUE,1.728352977,0.008649115,0.166792768,0.865812405,2.769607265,3.365480061,0.054667903,0.055393806,0.11006171,0.027732467,0.031281219,0.036035919,0.002247012,0.066876891,0,0.069123903,0.019522607,0.369122732,0.127214528,1.191721426,83.67809205,93.67809205
1008681,AREA 72 CGP FACILITY,TX,8406.766001,599499.0527,Y,TRUE,1.786476696,0.008983715,0.173245333,0.899307325,2.86801307,3.485057583,0.056610287,0.057361981,0.113972268,0.028717819,0.03239266,0.037316296,0.002372217,0.070603318,0,0.072975536,0.020610421,0.382632048,0.127214528,1.172440016,82.16243102,92.16243102
1010312,PANOLA COUNTY GAS PLANT,TX,8586.705037,722185.4021,Y,TRUE,1.809705401,0.009117889,0.175832785,0.912738649,2.907394724,3.532912083,0.057387622,0.058149638,0.11553726,0.029112153,0.032837454,0.037828699,0.002422992,0.072114517,0,0.074537509,0.021051568,0.388044235,0.107863397,0.987796551,81.57847633,91.57847633
1012964,STARTEX GULF COAST BASIN #220,TX,8910.80888,635443.1039,Y,TRUE,1.851071265,0.009357454,0.18045265,0.936720122,2.97760149,3.618223628,0.058773398,0.059553816,0.118327214,0.029815143,0.033630402,0.038742173,0.002514448,0.074836468,0,0.077350916,0.021846156,0.397700836,0.127214528,1.152151086,80.5675715,90.5675715
1012393,ENERGY TRANSFER 230 - ARKLA BASIN,TX,9173.331212,654163.964,Y,TRUE,1.884148833,0.009549588,0.184157845,0.955953597,3.033809864,3.686525066,0.059882867,0.060678017,0.120560884,0.030377965,0.034265245,0.039473512,0.002588526,0.077041234,0,0.07962976,0.022489768,0.405439481,0.127214528,1.142192394,79.78474492,89.78474492
