Composite table:
    datamon            reg           HistoricalSpotPrice
!   -----------------  ----------    -------------------
    'May, 2013'        AZ-MX_NW                    4.129
    'May, 2013'        CA-MX_NW                    4.246
    'May, 2013'        TX_E-MX_NE                  4.014
    'May, 2013'        CN_E                        4.537
    'May, 2013'        CN_W                        3.393
    'May, 2013'        TX_1                        4.022
    'May, 2013'        TX_2                        4.043
    'May, 2013'        TX_3                        4.072
    'May, 2013'        TX_4                        4.014
    'May, 2013'        TX_5                        4.011
    'May, 2013'        TX_6                        4.011
    'May, 2013'        TX_7B                       4.021
    'May, 2013'        TX_7C                       4.021
    'May, 2013'        TX_8                        3.979
    'May, 2013'        TX_8A                       3.979
    'May, 2013'        TX_9                        3.995
    'May, 2013'        TX_10                       3.979
    'May, 2013'        NM_E                        3.905
    'May, 2013'        NM_W                        3.892
    'May, 2013'        LA_N                        4.027
    'May, 2013'        LA_S                        4.053
    'May, 2013'        AL_N                        4.080
    'May, 2013'        AL_S                        4.091
    'May, 2013'        MS_N                        4.027
    'May, 2013'        MS_S                        4.091
    'May, 2013'        MA_ST                       4.559
    'May, 2013'        VA_ST                       4.144
    'May, 2013'        GA_ST                       4.130
    'May, 2013'        AL_ST                       4.091
    'May, 2013'        LA_ST                       4.053
    'May, 2013'        TX_ST                       4.043
    'May, 2013'        CA_ST                       4.246
    'May, 2013'        OR_ST                       3.897
    'May, 2013'        MA_FD                       4.559
    'May, 2013'        VA_FD                       4.144
    'May, 2013'        GA_FD                       4.130
    'May, 2013'        AL_FD                       4.091
    'May, 2013'        LA_FD                       4.053
    'May, 2013'        TX_FD                       4.043
    'May, 2013'        CA_FD                       4.246
    'May, 2013'        OR_FD                       3.897
    'June, 2013'       AL                          3.916
    'June, 2013'       AZ                          3.793
    'June, 2013'       AR                          3.753
    'June, 2013'       CA                          3.972
    'June, 2013'       CO                          3.614
    'June, 2013'       CT                          4.309
    'June, 2013'       DC                          3.895
    'June, 2013'       DE                          3.906
    'June, 2013'       FL                          4.267
    'June, 2013'       GA                          3.926
    'June, 2013'       ID                          3.573
    'June, 2013'       IL                          3.885
    'June, 2013'       IN                          3.914
    'June, 2013'       IA                          3.827
    'June, 2013'       KS                          3.638
    'June, 2013'       KY                          3.821
    'June, 2013'       LA                          3.816
    'June, 2013'       ME                          4.338
    'June, 2013'       MD                          3.895
    'June, 2013'       MA                          4.280
    'June, 2013'       MI                          4.001
    'June, 2013'       MN                          3.769
    'June, 2013'       MS                          3.858
    'June, 2013'       MO                          3.739
    'June, 2013'       MT                          3.450
    'June, 2013'       NE                          3.694
    'June, 2013'       NV                          3.700
    'June, 2013'       NH                          4.222
    'June, 2013'       NJ                          3.885
    'June, 2013'       NM                          3.667
    'June, 2013'       NY                          4.053
    'June, 2013'       NC                          3.895
    'June, 2013'       ND                          3.729
    'June, 2013'       OH                          3.840
    'June, 2013'       OK                          3.627
    'June, 2013'       OR                          3.640
    'June, 2013'       PA                          3.432
    'June, 2013'       RI                          4.338
    'June, 2013'       SC                          3.896
    'June, 2013'       SD                          3.729
    'June, 2013'       TN                          3.792
    'June, 2013'       TX                          3.774
    'June, 2013'       UT                          3.581
    'June, 2013'       VT                          4.231
    'June, 2013'       VA                          3.786
    'June, 2013'       WA                          3.573
    'June, 2013'       WV                          3.734
    'June, 2013'       WI                          3.830
    'June, 2013'       WY                          3.629
    'June, 2013'       TX_W                        3.743
    'June, 2013'       TX_N                        3.769
    'June, 2013'       TX_E                        3.809
