Composite table:
    qph         qph1        pqtype  step     VariableTariffCurve
    DE          MD          q       step2              4.000e-01
    DE          MD          q       step3              7.000e-01
    DE          MD          q       step4              1.000e+00
    DE          MD          q       step5              1.400e+00
    DE          MD          p       step2              5.000e-02
    DE          MD          p       step3              2.500e-01
    DE          MD          p       step4              5.000e-01
    DE          MD          p       step5              1.000e+00
    DE          NJ          q       step2              5.000e-01
    DE          NJ          q       step3              7.000e-01
    DE          NJ          q       step4              1.000e+00
    DE          NJ          q       step5              1.400e+00
    DE          NJ          p       step2              5.000e-02
    DE          NJ          p       step3              8.000e-02
    DE          NJ          p       step4              1.600e-01
    DE          NJ          p       step5              3.200e-01
    GA          AL          q       step2              6.000e-01
    GA          AL          q       step3              8.000e-01
    GA          AL          q       step4              1.000e+00
    GA          AL          q       step5              1.400e+00
    GA          AL          p       step1             -1.381e-01
    GA          AL          p       step2             -8.811e-02
    GA          AL          p       step3              2.619e-01
    GA          AL          p       step4              6.619e-01
    GA          AL          p       step5              1.200e+00
    GA          FL          q       step2              5.500e-01
    GA          FL          q       step3              7.500e-01
    GA          FL          q       step4              1.000e+00
    GA          FL          q       step5              1.400e+00
    GA          FL          p       step1             -3.618e-02
    GA          FL          p       step2              1.138e-01
    GA          FL          p       step3              9.638e-01
    GA          FL          p       step4              1.964e+00
    GA          FL          p       step5              4.000e+00
    GA          SC          q       step2              6.000e-01
    GA          SC          q       step3              8.000e-01
    GA          SC          q       step4              1.000e+00
    GA          SC          q       step5              1.400e+00
    GA          SC          p       step1             -4.123e-02
    GA          SC          p       step2              5.877e-02
    GA          SC          p       step3              1.588e-01
    GA          SC          p       step4              3.588e-01
    GA          SC          p       step5              8.000e-01
    GA          TN          q       step2              5.000e-01
    GA          TN          q       step3              8.000e-01
    GA          TN          q       step4              1.000e+00
    GA          TN          q       step5              1.400e+00
    GA          TN          p       step1              8.106e-02
    GA          TN          p       step2              1.011e-01
    GA          TN          p       step3              2.311e-01
    GA          TN          p       step4              3.811e-01
    GA          TN          p       step5              6.000e-01
    ID          NV          q       step2              5.000e-01
    ID          NV          q       step3              8.000e-01
    ID          NV          q       step4              1.000e+00
    ID          NV          q       step5              1.400e+00
    ID          NV          p       step1              9.134e-02
    ID          NV          p       step2              1.013e-01
    ID          NV          p       step3              1.913e-01
    ID          NV          p       step4              2.913e-01
    ID          NV          p       step5              4.000e-01
    ID          OR          q       step2              5.000e-01
    ID          OR          q       step3              8.000e-01
    ID          OR          q       step4              1.000e+00
    ID          OR          q       step5              1.400e+00
    ID          OR          p       step1              2.654e-02
    ID          OR          p       step2              3.654e-02
    ID          OR          p       step3              1.265e-01
    ID          OR          p       step4              2.265e-01
    ID          OR          p       step5              4.000e-01
    ID          UT          q       step2              5.000e-01
    ID          UT          q       step3              8.000e-01
    ID          UT          q       step4              1.000e+00
    ID          UT          q       step5              1.400e+00
    ID          UT          p       step1              1.091e-03
    ID          UT          p       step2              5.109e-02
    ID          UT          p       step3              2.011e-01
    ID          UT          p       step4              4.011e-01
    ID          UT          p       step5              8.000e-01
    ID          WA          q       step2              6.000e-01
    ID          WA          q       step3              8.000e-01
    ID          WA          q       step4              1.000e+00
    ID          WA          q       step5              1.400e+00
    ID          WA          p       step1             -2.358e-02
    ID          WA          p       step2              2.642e-02
    ID          WA          p       step3              2.764e-01
    ID          WA          p       step4              5.764e-01
    ID          WA          p       step5              1.200e+00
    ID          WY          q       step2              6.000e-01
    ID          WY          q       step3              8.000e-01
    ID          WY          q       step4              1.000e+00
    ID          WY          q       step5              1.200e+00
    ID          WY          p       step2              5.000e-02
    ID          WY          p       step3              2.500e-01
    ID          WY          p       step4              5.000e-01
    ID          WY          p       step5              1.500e+00
    IL          IN          q       step2              6.000e-01
    IL          IN          q       step3              8.000e-01
    IL          IN          q       step4              1.000e+00
    IL          IN          q       step5              1.400e+00
    IL          IN          p       step1             -4.192e-02
    IL          IN          p       step2             -2.192e-02
    IL          IN          p       step3              5.808e-02
    IL          IN          p       step4              1.581e-01
    IL          IN          p       step5              4.000e-01
    IL          IA          q       step2              7.000e-01
    IL          IA          q       step3              8.500e-01
    IL          IA          q       step4              1.000e+00
    IL          IA          q       step5              1.400e+00
    IL          IA          p       step1             -1.414e-02
    IL          IA          p       step2              5.857e-03
    IL          IA          p       step3              3.586e-02
    IL          IA          p       step4              8.586e-02
    IL          IA          p       step5              2.000e-01
    IL          KY          q       step2              6.000e-01
    IL          KY          q       step3              8.000e-01
    IL          KY          q       step4              1.000e+00
    IL          KY          q       step5              1.200e+00
    IL          KY          p       step2              5.000e-02
    IL          KY          p       step3              2.500e-01
    IL          KY          p       step4              5.000e-01
    IL          KY          p       step5              1.500e+00
    IL          MO          q       step2              6.000e-01
    IL          MO          q       step3              9.000e-01
    IL          MO          q       step4              1.000e+00
    IL          MO          q       step5              1.400e+00
    IL          MO          p       step1              8.039e-02
    IL          MO          p       step2              1.104e-01
    IL          MO          p       step3              1.404e-01
    IL          MO          p       step4              2.004e-01
    IL          MO          p       step5              2.400e-01
    IL          WI          q       step2              3.000e-01
    IL          WI          q       step3              6.000e-01
    IL          WI          q       step4              1.000e+00
    IL          WI          q       step5              1.400e+00
    IL          WI          p       step1             -8.244e-02
    IL          WI          p       step2             -3.244e-02
    IL          WI          p       step3              6.756e-02
    IL          WI          p       step4              2.176e-01
    IL          WI          p       step5              6.000e-01
    IN          IL          q       step2              5.000e-01
    IN          IL          q       step3              7.000e-01
    IN          IL          q       step4              1.000e+00
    IN          IL          q       step5              1.400e+00
    IN          IL          p       step1             -4.192e-02
    IN          IL          p       step2             -2.192e-02
    IN          IL          p       step3              5.808e-02
    IN          IL          p       step4              1.581e-01
    IN          IL          p       step5              4.000e-01
    IN          KY          q       step2              6.000e-01
    IN          KY          q       step3              9.000e-01
    IN          KY          q       step4              1.000e+00
    IN          KY          q       step5              1.400e+00
    IN          KY          p       step1             -4.286e-02
    IN          KY          p       step2              7.144e-03
    IN          KY          p       step3              5.714e-02
    IN          KY          p       step4              1.571e-01
    IN          KY          p       step5              4.000e-01
    IN          MI          q       step2              6.000e-01
    IN          MI          q       step3              9.000e-01
    IN          MI          q       step4              1.000e+00
    IN          MI          q       step5              1.400e+00
    IN          MI          p       step1             -8.706e-03
    IN          MI          p       step2              4.129e-02
    IN          MI          p       step3              9.129e-02
    IN          MI          p       step4              1.913e-01
    IN          MI          p       step5              4.000e-01
    IN          OH          q       step2              5.500e-01
    IN          OH          q       step3              8.000e-01
    IN          OH          q       step4              1.000e+00
    IN          OH          q       step5              1.400e+00
    IN          OH          p       step1             -4.364e-02
    IN          OH          p       step2             -1.364e-02
    IN          OH          p       step3              7.636e-02
    IN          OH          p       step4              1.964e-01
    IN          OH          p       step5              4.800e-01
    IA          IL          q       step2              8.000e-01
    IA          IL          q       step3              9.000e-01
    IA          IL          q       step4              1.000e+00
    IA          IL          q       step5              1.400e+00
    IA          IL          p       step1             -1.414e-02
    IA          IL          p       step2              5.857e-03
    IA          IL          p       step3              3.586e-02
    IA          IL          p       step4              8.586e-02
    IA          IL          p       step5              2.000e-01
    IA          MN          q       step2              5.000e-01
    IA          MN          q       step3              8.000e-01
    IA          MN          q       step4              1.000e+00
    IA          MN          q       step5              1.400e+00
    IA          MN          p       step1              1.472e-02
    IA          MN          p       step2              2.472e-02
    IA          MN          p       step3              4.472e-02
    IA          MN          p       step4              7.472e-02
    IA          MN          p       step5              1.200e-01
    IA          SD          q       step2              4.000e-01
    IA          SD          q       step3              7.000e-01
    IA          SD          q       step4              1.000e+00
    IA          SD          q       step5              1.400e+00
    IA          SD          p       step1             -8.866e-02
    IA          SD          p       step2             -7.866e-02
    IA          SD          p       step3              1.134e-02
    IA          SD          p       step4              1.113e-01
    IA          SD          p       step5              4.000e-01
    KS          CO          q       step2              6.000e-01
    KS          CO          q       step3              9.000e-01
    KS          CO          q       step4              1.000e+00
    KS          CO          q       step5              1.400e+00
    KS          CO          p       step1             -1.872e-01
    KS          CO          p       step2             -1.372e-01
    KS          CO          p       step3             -3.719e-02
    KS          CO          p       step4              1.128e-01
    KS          CO          p       step5              6.000e-01
    KS          MO          q       step2              6.500e-01
    KS          MO          q       step3              8.000e-01
    KS          MO          q       step4              1.000e+00
    KS          MO          q       step5              1.400e+00
    KS          MO          p       step1              6.384e-02
    KS          MO          p       step2              2.138e-01
    KS          MO          p       step3              3.638e-01
    KS          MO          p       step4              6.638e-01
    KS          MO          p       step5              1.200e+00
    KS          NE          q       step2              4.000e-01
    KS          NE          q       step3              6.000e-01
    KS          NE          q       step4              1.000e+00
    KS          NE          q       step5              1.400e+00
    KS          NE          p       step1              1.159e-01
    KS          NE          p       step2              1.459e-01
    KS          NE          p       step3              3.159e-01
    KS          NE          p       step4              5.159e-01
    KS          NE          p       step5              8.000e-01
    KS          OK          q       step2              4.000e-01
    KS          OK          q       step3              6.000e-01
    KS          OK          q       step4              1.000e+00
    KS          OK          q       step5              1.400e+00
    KS          OK          p       step1             -7.362e-03
    KS          OK          p       step2              2.638e-03
    KS          OK          p       step3              1.264e-02
    KS          OK          p       step4              3.264e-02
    KS          OK          p       step5              8.000e-02
    KY          IL          q       step2              5.000e-01
    KY          IL          q       step3              8.000e-01
    KY          IL          q       step4              1.000e+00
    KY          IL          q       step5              1.400e+00
    KY          IL          p       step2              5.000e-02
    KY          IL          p       step3              2.000e-01
    KY          IL          p       step4              4.000e-01
    KY          IL          p       step5              8.000e-01
    KY          IN          q       step2              3.000e-01
    KY          IN          q       step3              7.000e-01
    KY          IN          q       step4              1.000e+00
    KY          IN          q       step5              1.400e+00
    KY          IN          p       step1             -4.286e-02
    KY          IN          p       step2              7.144e-03
    KY          IN          p       step3              5.714e-02
    KY          IN          p       step4              1.571e-01
