FILE NAME:      KINTENS												
												
DATE MODIFIED:  November 21, 2025												
												
NOTE:        	Updated EUI values based on final 2018 CBECS data 											
                												
USED BY:        Service Demand subroutine of the National Energy Modeling System												
                (NEMS) Commercial Demand Module (CDM)												
												
DEFINITION:     Energy Use Intensities (EUI)												
												
                Energy consumed per unit floorspace												
												
UNITS:          thousand Btu consumed/sqft												
												
DIMENSION:      Census division, building type, end-use service, fuel type												
												
SPECIAL CONSTRAINTS:    Non-negative values												
												
ORGANIZATION OF DATA:												
												
                Data starts on row 101 of this file as per CDM convention.												
												
                Each block of 11 triplets of lines corresponds to a Census Division, in												
                the customary order of:  New England, Middle Atlantic, East North												
                Central, West North Central, South Atlantic, East South Central, West												
                South Central, Mountain, and Pacific.												
												
11.597	0.000	0.346	0.000	0.000	0.000	0.000	0.000	0.000	0.665	DS		
												
3.975	2.997	0.059	10.750	7.794	7.845	74.071	0.383	1.609	0.059	EL	FdSales	
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NG		
13.596	0.000	0.201	0.000	0.000	0.000	0.000	0.000	0.000	4.906	DS		
												
6.020	3.235	4.616	6.788	8.202	7.356	24.744	0.000	1.438	4.616	EL	FdServ	
3.969	0.000	1.378	0.000	80.390	0.000	0.000	0.000	0.000	0.000	NG		
12.328	0.000	3.709	0.000	0.000	0.000	0.000	0.000	0.000	0.000	DS		
												
1.109	4.135	1.094	26.558	2.493	13.294	3.372	1.776	4.324	1.094	EL	HC	
30.673	2.369	10.849	0.000	12.355	0.000	0.000	0.000	0.000	1.654	NG		
10.516	0.000	1.960	0.000	0.000	0.000	0.000	0.000	0.000	2.321	DS		
												
3.465	2.516	3.578	10.573	2.250	7.972	3.052	0.035	1.114	3.578	EL	Lodg	
17.200	0.000	9.122	0.000	3.465	0.000	0.000	0.000	0.000	1.929	NG		
6.981	0.000	1.156	0.000	0.001	0.000	0.000	0.000	0.000	0.690	DS		
												
2.959	1.798	0.521	15.940	0.415	7.454	1.071	2.233	5.720	0.521	EL	Off-Lg	
12.789	0.115	0.498	0.000	0.753	0.000	0.000	0.000	0.000	0.448	NG		
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.161	DS		
												
0.885	1.814	0.234	15.423	0.063	8.459	1.206	0.327	3.507	0.234	EL	Off-Sm	
13.436	0.000	1.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	NG		
12.960	0.000	0.301	0.000	0.000	0.000	0.000	0.000	0.000	0.269	DS		
												
3.158	2.428	0.922	7.208	0.554	10.979	3.091	0.003	1.426	0.922	EL	MerServ	
15.926	0.000	1.636	0.000	4.979	0.000	0.000	0.000	0.000	0.608	NG		
11.196	0.000	0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.019	DS		
												
2.046	0.926	0.150	1.351	0.003	4.282	2.403	0.000	0.451	0.150	EL	Wrhse	
5.304	0.000	0.017	0.000	0.494	0.000	0.000	0.000	0.000	0.694	NG		
1.281	0.000	0.001	0.000	0.000	0.000	0.000	0.000	0.000	0.034	DS		
												
1.691	13.797	0.175	3.108	0.703	9.213	1.744	2.400	4.682	0.175	EL	Other	
13.797	0.163	0.573	0.000	0.565	0.000	0.000	0.000	0.000	0.052	NG		
1.836	0.000	0.623	0.000	0.000	0.000	0.000	0.000	0.000	0.320	DS		
												
												
												
1.220	6.674	0.251	4.008	0.600	4.059	2.556	0.039	0.821	0.251	EL	Assem	Middle Atlantic
35.800	0.163	0.298	0.000	2.892	0.000	0.000	0.000	0.000	1.667	NG		
5.020	0.000	0.057	0.000	0.000	0.000	0.000	0.000	0.000	0.308	DS		
												
1.212	4.210	0.342	4.803	0.630	5.954	1.545	0.515	2.840	0.342	EL	Educ	
28.883	0.431	2.523	0.000	2.488	0.000	0.000	0.000	0.000	1.487	NG		
