Composite Table: 
seasons  regions   hours       load
'1'      '4'       '19'      1449.043596
'1'      '4'       '20'      1434.872556
'1'      '4'       '21'      1411.803348
'1'      '4'       '22'      1408.563199
'1'      '4'       '23'      1478.309924
'1'      '4'       '24'      1478.577191
'2'      '4'       '1'      2893.111298
'2'      '4'       '2'      2875.659182
'2'      '4'       '3'      2744.346334
'2'      '4'       '4'      2674.698123
'2'      '4'       '5'      2618.076165
'2'      '4'       '6'      2734.246041
'2'      '4'       '7'      2964.529189
'2'      '4'       '8'      2897.144246
'2'      '4'       '9'      2929.654803
'2'      '4'       '10'      3004.592751
'2'      '4'       '11'      2900.893835
'2'      '4'       '12'      3025.790488
'2'      '4'       '13'      3130.142634
'2'      '4'       '14'      3200.236929
'2'      '4'       '15'      3246.633264
'2'      '4'       '16'      3246.857242
'2'      '4'       '17'      3207.653310
'2'      '4'       '18'      3410.115521
'2'      '4'       '19'      2940.577832
'2'      '4'       '20'      2960.994855
'2'      '4'       '21'      2825.220588
'2'      '4'       '22'      2805.078349
'2'      '4'       '23'      2924.462304
'2'      '4'       '24'      2990.222478
'3'      '4'       '1'      1415.562630
'3'      '4'       '2'      1420.714487
'3'      '4'       '3'      1373.670713
'3'      '4'       '4'      1437.858874
'3'      '4'       '5'      1415.060075
'3'      '4'       '6'      1462.574375
'3'      '4'       '7'      1498.545813
'3'      '4'       '8'      1350.957978
'3'      '4'       '9'      1416.232728
'3'      '4'       '10'      1428.241016
'3'      '4'       '11'      1442.006464
'3'      '4'       '12'      1450.208947
'3'      '4'       '13'      1446.037676
'3'      '4'       '14'      1435.134647
'3'      '4'       '15'      1426.684823
'3'      '4'       '16'      1417.797715
'3'      '4'       '17'      1440.677243
'3'      '4'       '18'      1501.677686
'3'      '4'       '19'      1493.930177
'3'      '4'       '20'      1432.098134
'3'      '4'       '21'      1366.966924
'3'      '4'       '22'      1438.562607
'3'      '4'       '23'      1417.836362
'3'      '4'       '24'      1422.790506
'4'      '4'       '1'      2878.547191
'4'      '4'       '2'      2842.491264
'4'      '4'       '3'      2915.501647
'4'      '4'       '4'      2846.699284
'4'      '4'       '5'      2765.389690
'4'      '4'       '6'      2847.901300
'4'      '4'       '7'      2934.124656
'4'      '4'       '8'      2908.196881
'4'      '4'       '9'      3022.693163
'4'      '4'       '10'      2983.857912
'4'      '4'       '11'      2973.944767
'4'      '4'       '12'      2924.101786
'4'      '4'       '13'      2956.261625
'4'      '4'       '14'      2940.263995
'4'      '4'       '15'      2881.273613
'4'      '4'       '16'      2944.108145
'4'      '4'       '17'      2952.610639
'4'      '4'       '18'      3396.781449
'4'      '4'       '19'      3194.684752
'4'      '4'       '20'      3090.635951
'4'      '4'       '21'      3020.638925
'4'      '4'       '22'      2949.576697
'4'      '4'       '23'      2867.995698
'4'      '4'       '24'      2868.544162
'1'      '5'       '1'      702.124262
'1'      '5'       '2'      752.602899
'1'      '5'       '3'      728.423820
'1'      '5'       '4'      763.149220
'1'      '5'       '5'      762.910894
'1'      '5'       '6'      759.026545
'1'      '5'       '7'      779.082238
'1'      '5'       '8'      778.288135
'1'      '5'       '9'      830.288472
'1'      '5'       '10'      864.539046
'1'      '5'       '11'      817.545951
'1'      '5'       '12'      818.708880
'1'      '5'       '13'      813.562890
'1'      '5'       '14'      806.760658
'1'      '5'       '15'      814.661991
'1'      '5'       '16'      807.789126
'1'      '5'       '17'      795.016668
'1'      '5'       '18'      804.146908
'1'      '5'       '19'      783.344806
'1'      '5'       '20'      779.470027
'1'      '5'       '21'      778.442029
'1'      '5'       '22'      765.969530
'1'      '5'       '23'      747.425853
'1'      '5'       '24'      752.080567
'2'      '5'       '1'      1634.938105
'2'      '5'       '2'      1692.057478
'2'      '5'       '3'      1629.223675
'2'      '5'       '4'      1606.349567
'2'      '5'       '5'      1601.702993
'2'      '5'       '6'      1689.773980
'2'      '5'       '7'      1752.280427
'2'      '5'       '8'      1801.237026
'2'      '5'       '9'      1922.018155
'2'      '5'       '10'      1951.132130
'2'      '5'       '11'      1963.179267
'2'      '5'       '12'      1981.554416
'2'      '5'       '13'      2013.609689
'2'      '5'       '14'      2023.850623
'2'      '5'       '15'      2036.321093
'2'      '5'       '16'      2042.779132
'2'      '5'       '17'      2024.625330
'2'      '5'       '18'      2037.171823
'2'      '5'       '19'      1974.051378
'2'      '5'       '20'      1899.093280
'2'      '5'       '21'      1855.718931
'2'      '5'       '22'      1779.196130
'2'      '5'       '23'      1741.795442
'2'      '5'       '24'      1705.821584
'3'      '5'       '1'      755.122106
'3'      '5'       '2'      779.871999
'3'      '5'       '3'      752.481545
'3'      '5'       '4'      735.144399
'3'      '5'       '5'      721.943697
'3'      '5'       '6'      755.766141
'3'      '5'       '7'      743.258302
'3'      '5'       '8'      778.430097
'3'      '5'       '9'      785.169396
'3'      '5'       '10'      797.343739
'3'      '5'       '11'      804.133450
'3'      '5'       '12'      809.047228
'3'      '5'       '13'      807.451641
'3'      '5'       '14'      803.723807
'3'      '5'       '15'      795.366535
'3'      '5'       '16'      787.769704
'3'      '5'       '17'      789.407824
'3'      '5'       '18'      839.634907
'3'      '5'       '19'      842.055352
'3'      '5'       '20'      810.838113
'3'      '5'       '21'      774.631959
'3'      '5'       '22'      765.450400
'3'      '5'       '23'      749.617356
'3'      '5'       '24'      747.462432
'4'      '5'       '1'      1601.376093
'4'      '5'       '2'      1511.710172
'4'      '5'       '3'      1356.602927
'4'      '5'       '4'      1306.265681
'4'      '5'       '5'      1249.573335
'4'      '5'       '6'      1294.258781
'4'      '5'       '7'      1355.159358
'4'      '5'       '8'      1558.944628
