Composite Table: 
seasons	regions	hours  	  technology 	        fuelcost
'1' 	 '3' 	 '10' 	 'electrolysis' 	 0.002388
'1' 	 '3' 	 '11' 	 'electrolysis' 	 0.002388
'1' 	 '3' 	 '12' 	 'electrolysis' 	 0.002547
'1' 	 '3' 	 '13' 	 'electrolysis' 	 0.002195
'1' 	 '3' 	 '14' 	 'electrolysis' 	 0.002195
'1' 	 '3' 	 '15' 	 'electrolysis' 	 0.002388
'1' 	 '3' 	 '16' 	 'electrolysis' 	 0.002388
'1' 	 '3' 	 '17' 	 'electrolysis' 	 0.002388
'1' 	 '3' 	 '18' 	 'electrolysis' 	 0.003000
'1' 	 '3' 	 '19' 	 'electrolysis' 	 0.003000
'1' 	 '3' 	 '20' 	 'electrolysis' 	 0.003000
'1' 	 '3' 	 '21' 	 'electrolysis' 	 0.003000
'1' 	 '3' 	 '22' 	 'electrolysis' 	 0.003000
'1' 	 '3' 	 '23' 	 'electrolysis' 	 0.002933
'1' 	 '3' 	 '24' 	 'electrolysis' 	 0.002867
'2' 	 '3' 	 '1' 	 'electrolysis' 	 26.359571
'2' 	 '3' 	 '2' 	 'electrolysis' 	 27.650962
'2' 	 '3' 	 '3' 	 'electrolysis' 	 27.081243
'2' 	 '3' 	 '4' 	 'electrolysis' 	 27.081243
'2' 	 '3' 	 '5' 	 'electrolysis' 	 26.681192
'2' 	 '3' 	 '6' 	 'electrolysis' 	 27.650962
'2' 	 '3' 	 '7' 	 'electrolysis' 	 28.277387
'2' 	 '3' 	 '8' 	 'electrolysis' 	 28.330168
'2' 	 '3' 	 '9' 	 'electrolysis' 	 25.762541
'2' 	 '3' 	 '10' 	 'electrolysis' 	 20.312613
'2' 	 '3' 	 '11' 	 'electrolysis' 	 17.470995
'2' 	 '3' 	 '12' 	 'electrolysis' 	 17.470995
'2' 	 '3' 	 '13' 	 'electrolysis' 	 17.470995
'2' 	 '3' 	 '14' 	 'electrolysis' 	 17.470995
'2' 	 '3' 	 '15' 	 'electrolysis' 	 17.470995
'2' 	 '3' 	 '16' 	 'electrolysis' 	 17.470995
'2' 	 '3' 	 '17' 	 'electrolysis' 	 20.203146
'2' 	 '3' 	 '18' 	 'electrolysis' 	 28.331862
'2' 	 '3' 	 '19' 	 'electrolysis' 	 29.583997
'2' 	 '3' 	 '20' 	 'electrolysis' 	 27.873017
'2' 	 '3' 	 '21' 	 'electrolysis' 	 26.908327
'2' 	 '3' 	 '22' 	 'electrolysis' 	 26.447650
'2' 	 '3' 	 '23' 	 'electrolysis' 	 25.767290
'2' 	 '3' 	 '24' 	 'electrolysis' 	 25.596377
'3' 	 '3' 	 '1' 	 'electrolysis' 	 1.869333
'3' 	 '3' 	 '2' 	 'electrolysis' 	 1.869510
'3' 	 '3' 	 '3' 	 'electrolysis' 	 1.869510
'3' 	 '3' 	 '4' 	 'electrolysis' 	 1.869510
'3' 	 '3' 	 '5' 	 'electrolysis' 	 1.869333
'3' 	 '3' 	 '6' 	 'electrolysis' 	 1.869510
'3' 	 '3' 	 '7' 	 'electrolysis' 	 1.869510
'3' 	 '3' 	 '8' 	 'electrolysis' 	 1.661535
'3' 	 '3' 	 '9' 	 'electrolysis' 	 1.746491
'3' 	 '3' 	 '10' 	 'electrolysis' 	 1.954378
'3' 	 '3' 	 '11' 	 'electrolysis' 	 1.661535
'3' 	 '3' 	 '12' 	 'electrolysis' 	 1.661447
'3' 	 '3' 	 '13' 	 'electrolysis' 	 1.661447
'3' 	 '3' 	 '14' 	 'electrolysis' 	 1.661447
'3' 	 '3' 	 '15' 	 'electrolysis' 	 1.661535
'3' 	 '3' 	 '16' 	 'electrolysis' 	 1.746756
'3' 	 '3' 	 '17' 	 'electrolysis' 	 1.954643
'3' 	 '3' 	 '18' 	 'electrolysis' 	 1.954643
'3' 	 '3' 	 '19' 	 'electrolysis' 	 1.869510
'3' 	 '3' 	 '20' 	 'electrolysis' 	 1.869510
'3' 	 '3' 	 '21' 	 'electrolysis' 	 1.746579
'3' 	 '3' 	 '22' 	 'electrolysis' 	 1.661447
'3' 	 '3' 	 '23' 	 'electrolysis' 	 1.869510
'3' 	 '3' 	 '24' 	 'electrolysis' 	 1.869334
'4' 	 '3' 	 '1' 	 'electrolysis' 	 0.938023
'4' 	 '3' 	 '2' 	 'electrolysis' 	 1.020488
'4' 	 '3' 	 '3' 	 'electrolysis' 	 1.020488
'4' 	 '3' 	 '4' 	 'electrolysis' 	 1.020488
'4' 	 '3' 	 '5' 	 'electrolysis' 	 0.911428
'4' 	 '3' 	 '6' 	 'electrolysis' 	 0.965955
'4' 	 '3' 	 '7' 	 'electrolysis' 	 1.046279
'4' 	 '3' 	 '8' 	 'electrolysis' 	 1.072017
'4' 	 '3' 	 '9' 	 'electrolysis' 	 1.047833
'4' 	 '3' 	 '10' 	 'electrolysis' 	 0.963043
