

FILE NAME:      BLDBASE
DATE MODIFIED:  January 23, 2025
USED BY:        CALC111D subroutines of the National Energy Modeling System (NEMS)
                 Commercial Demand Module (CDM)
                 Residential Demand Module (RDM)
DEFINITION:     Baseline electricity consumption
UNITS:          billion kilowatt hours of electricity consumption
DIMENSION:      by census division, year
SPECIAL CONSTRAINTS:  Nonnegative values
ORGANIZATION OF DATA:
                The first column of data corresponds to the 9 census divisions in the following order:
                 New England, Middle Atlantic, East North Central, West North Central, South Atlantic,
                 East South Central, West South Central, Mountain, and Pacific.
                The second column provides the corresponding year index, with 1=1990.
                The third and fourth columns contain baseline electricity consumption for the residential
                 and commercial sectors, respectively.
                Data starts on row 101 of this file per CDM convention.
SOURCES:        Updated from Q:\output\rad\int_noAB32\d012225a\p1 RESOUT.txt file















































































CD	YEAR	QELRS   	QELCM
    4   51   412.70828   500.94751
    4   52   417.17776   511.96259
    4   53   421.62415   523.05225
    4   54   425.98904   533.50677
    4   55   430.10641   543.80920
    4   56   433.76392   553.66107
    4   57   436.95187   563.11261
    4   58   440.29639   573.31604
    4   59   443.94806   584.36523
    4   60   447.89066   595.98364
    4   61   452.08633   608.30878
    5    1   721.26001   578.30701
    5    2   745.56000   594.84198
    5    3   748.50000   601.86102
    5    4   806.95001   633.03198
    5    5   811.34003   666.06299
    5    6   860.26001   729.68903
    5    7   893.88000   747.92999
    5    8   875.51001   766.85199
    5    9   937.72998   814.46198
    5   10   944.13000   839.00098
    5   11   995.62000   881.38702
    5   12  1002.15002   896.37903
    5   13  1076.51001   909.52600
    5   14  1093.75000   902.85101
    5   15  1127.00000   930.08502
    5   16  1168.21997   963.27600
    5   17  1159.64001  1014.52502
    5   18  1199.55005  1053.46594
    5   19  1176.52002  1045.31799
    5   20  1180.65002  1035.68005
    5   21  1281.24097  1057.93604
    5   22  1209.40002  1042.58105
    5   23  1149.01404  1034.92700
    5   24  1170.15295  1035.31604
    5   25  1213.67395  1047.06396
    5   26  1225.78650  1063.55200
    5   27  1233.18213  1069.85706
    5   28  1191.77466  1056.87305
    5   29  1276.54126  1082.54700
    5   30  1263.89929  1085.78296
    5   31  1272.83325  1028.63049
    5   32  1280.52527  1069.10266
    5   33  1312.24756  1143.54797
    5   34  1268.97742  1166.32642
    5   35  1325.76221  1157.75183
    5   36  1311.96765  1183.98376
    5   37  1329.69580  1175.10669
    5   38  1350.31677  1183.15393
    5   39  1368.12537  1190.12073
    5   40  1378.59363  1211.93359
    5   41  1385.51978  1231.46143
    5   42  1389.21252  1252.46790
    5   43  1394.07397  1276.35132
    5   44  1397.72913  1298.61536
    5   45  1402.21350  1320.62939
    5   46  1410.01062  1344.06128
    5   47  1420.99512  1368.71582
    5   48  1434.41394  1394.91443
    5   49  1449.91541  1422.32703
    5   50  1466.93933  1450.55884
    5   51  1482.54553  1477.17786
    5   52  1496.61560  1503.16980
    5   53  1509.78625  1528.12146
    5   54  1522.57812  1552.98901
    5   55  1535.15686  1578.59119
    5   56  1547.57764  1604.23218
    5   57  1559.21448  1629.87952
    5   58  1570.91980  1656.10474
    5   59  1583.39319  1683.71399
    5   60  1597.01807  1712.69446
    5   61  1611.86707  1743.52551
    6    1   268.03000   149.48500
    6    2   279.98999   154.06400
    6    3   275.84000   131.26199
    6    4   290.87000   129.43401
    6    5   303.92999   134.12300
    6    6   307.07999   139.24699
    6    7   331.94000   146.17599
    6    8   320.98999   234.63901
    6    9   343.98999   244.32001
    6   10   345.78000   250.78200
    6   11   361.48999   259.60999
    6   12   359.23999   260.74301
    6   13   382.01999   268.72601
    6   14   373.57001   267.60400
    6   15   380.10001   275.03699
    6   16   400.39001   281.52701
    6   17   400.29001   283.34100
    6   18   417.06000   294.42899
    6   19   409.39001   289.51700
    6   20   397.22601   278.81100
    6   21   443.66901   292.06201
    6   22   418.32901   285.72501
    6   23   390.58899   280.77301
    6   24   401.03000   311.75400
    6   25   415.54700   306.25400
    6   26   403.65695   315.26901
    6   27   404.75595   319.28601
    6   28   381.46191   307.14700
    6   29   424.74487   323.88101
    6   30   410.39389   317.61972
    6   31   397.09067   293.59726
    6   32   407.68640   303.98590
    6   33   417.53262   313.63705
    6   34   395.76285   310.22726
    6   35   421.58679   312.70172
    6   36   412.64471   312.03668
    6   37   416.74603   319.30573
    6   38   420.60757   325.67865
    6   39   423.24875   331.36679
    6   40   422.29568   335.43338
    6   41   420.28369   339.36172
    6   42   417.87970   344.44934
    6   43   415.27676   349.30133
    6   44   412.83817   354.12906
    6   45   411.38181   359.63211
    6   46   410.48947   364.37924
    6   47   410.87277   370.54230
    6   48   412.01828   376.74265
    6   49   413.90131   383.24442
    6   50   416.21808   389.84836
    6   51   418.18915   395.36185
    6   52   420.23920   401.06549
    6   53   422.22791   406.28015
    6   54   423.95789   410.59793
    6   55   425.19312   414.52481
    6   56   426.45288   418.81741
    6   57   427.85941   422.78616
    6   58   429.84216   427.85416
    6   59   432.17896   433.33102
    6   60   434.52228   438.96191
    6   61   436.84219   444.84296
    7    1   449.07001   367.31000
    7    2   450.35001   369.41299
    7    3   436.10999   367.44299
    7    4   470.10001   384.09900
    7    5   478.32999   397.26999
    7    6   497.07001   407.73599
    7    7   526.14001   422.33600
    7    8   532.14001   431.82901
    7    9   583.42999   462.92001
    7   10   571.03998   471.10999
    7   11   611.17999   498.92899
    7   12   607.47998   509.01199
    7   13   631.38000   495.59500
    7   14   633.57001   498.71301
    7   15   629.54999   511.57700
    7   16   660.76001   550.42401
    7   17   660.94000   555.77100
    7   18   657.06000   559.10101
    7   19   668.10999   570.84003
    7   20   676.21802   586.80402
    7   21   725.93799   603.45898
    7   22   753.66101   628.67297
    7   23   710.23297   646.27600
    7   24   724.71198   656.84802
    7   25   730.48401   669.98499
    7   26   744.11035   662.48798
    7   27   741.07587   671.73199
    7   28   725.52039   663.28497
    7   29   794.00287   688.27802
    7   30   781.36401   676.80170
    7   31   778.56531   673.60455
    7   32   779.14734   688.85950
    7   33   843.11041   745.27490
    7   34   829.54193   766.43359
    7   35   821.36371   742.15399
    7   36   835.69196   758.16870
    7   37   849.01825   754.01880
    7   38   861.59729   760.17627
    7   39   872.59686   765.57135
    7   40   877.68024   776.73804
    7   41   880.60419   787.24658
    7   42   879.94269   798.68976
    7   43   882.28680   815.34222
    7   44   885.01593   831.77979
    7   45   891.08081   850.34686
    7   46   903.98218   872.53894
    7   47   918.09265   894.73279
    7   48   931.37787   915.19879
    7   49   942.14429   933.01666
    7   50   951.39246   949.01379
    7   51   959.12347   964.42664
    7   52   967.62531   980.78778
    7   53   976.51648   996.89355
    7   54   986.13837  1013.31628
    7   55   995.82806  1030.14746
    7   56  1005.45618  1047.23242
    7   57  1013.02863  1062.49170
    7   58  1018.79291  1076.92969
    7   59  1024.71021  1092.21814
    7   60  1033.89954  1110.26550
    7   61  1044.93359  1130.42664
    8    1   167.94000   194.57899
    8    2   173.66000   196.04201
    8    3   176.03999   203.09200
    8    4   184.25000   206.55701
    8    5   193.59000   212.56599
    8    6   194.25999   214.64900
    8    7   209.48000   227.98000
    8    8   216.14000   235.30299
    8    9   221.71001   247.45900
    8   10   230.02000   259.02499
    8   11   248.21001   280.02899
    8   12   255.58000   281.80200
    8   13   262.84000   292.94901
    8   14   272.57001   284.97900
    8   15   278.81000   288.89801
    8   16   292.38000   298.55099
    8   17   308.64001   309.54599
    8   18   324.39001   322.64999
    8   19   321.10001   322.15100
    8   20   318.79099   315.26300
    8   21   318.53799   313.44299
    8   22   323.37299   318.72601
    8   23   323.70499   321.11499
    8   24   328.76599   322.89801
    8   25   320.00400   320.38101
    8   26   324.84109   323.73199
    8   27   330.97739   325.97501
    8   28   336.19568   331.37799
    8   29   342.25488   338.01001
    8   30   342.75085   334.81598
    8   31   371.15244   325.34854
    8   32   369.33475   337.10565
    8   33   379.54587   350.10779
    8   34   376.75278   360.42355
    8   35   392.93036   367.41302
    8   36   379.22049   374.96497
    8   37   386.98883   368.24808
    8   38   396.95972   370.45383
    8   39   407.11874   373.68994
    8   40   415.74548   382.99286
    8   41   423.55273   391.56015
    8   42   430.20490   401.63123
    8   43   436.63382   412.83334
    8   44   442.84225   424.73871
    8   45   450.03720   437.22778
    8   46   458.49554   450.09979
    8   47   467.49664   463.42609
    8   48   477.02704   476.82678
    8   49   486.54312   490.05069
    8   50   495.85086   502.76331
    8   51   504.62411   515.54926
    8   52   513.37830   528.62305
    8   53   521.91345   541.56946
    8   54   530.50793   554.86859
    8   55   539.31470   568.21765
    8   56   547.90741   581.91486
    8   57   556.19153   595.51782
    8   58   563.88336   608.32312
    8   59   571.01337   621.73865
    8   60   578.49084   636.30072
    8   61   586.91461   652.10822
    9    1   391.51999   430.92899
    9    2   395.29001   426.50601
    9    3   395.23999   435.26199
    9    4   406.32001   433.41501
    9    5   406.87000   430.82101
    9    6   407.95001   438.96100
    9    7   426.95999   454.08499
    9    8   431.32001   468.06699
    9    9   438.45999   494.76700
    9   10   446.06000   489.07700
    9   11   460.98999   509.02802
    9   12   445.17001   531.78601
    9   13   449.20001   537.51801
    9   14   469.31000   542.81598
    9   15   474.41000   576.89502
    9   16   485.82001   570.44397
    9   17   506.87000   587.63800
    9   18   509.20001   599.91302
