facility_id,facility_name,facility_type,state,co2_volume,co2_cost_inv_2018$,co2_cost_om_2018$,supply_latitude,supply_longitude,year_operational,years_operating,facility_new,source,plant_id,unit_id,summer_cap,cap_factor,emm_region,emm_census_region,ccs_overnight_cost,ccs_fixed_om_cost,ccs_var_om_cost,rrc,crosswalk_notes,supply_hsm_region,supply_census_region,supply_census_division,co2_ratio,eligibility_45q,cluster_type,operational_status
f1007663,"CEMEX Construction Materials South, LLC",cement,TX,1327612.1283616077,42.58850725571717,7.439759923508806,29.675,-98.182778,,0.0,N,2-NETL,,,,,,,,,,1,,2.0,3,7,1.0,1,not_cluster,N
f1006815,HOLCIM (US) INC.,cement,SC,1348988.3885162422,42.62156295590278,6.752549840189573,33.273041,-80.435853,,0.0,N,2-NETL,,,,,,,,,,0,,1.0,3,5,1.0,1,not_cluster,N
f1002665,ASH GROVE CEMENT CO-CHANUTE PLANT,cement,KS,1536102.582154255,42.71237596159824,6.52016767660964,37.698786,-95.459748,,0.0,N,2-NETL,,,,,,,,,,0,,3.0,2,4,1.0,1,not_cluster,N
f1003377,Green Plains Mount Vernon LLC,ethanol,IN,315525.15703880443,42.91859819012465,20.37477103677173,37.909832,-87.726456,,0.0,N,2-NETL,,,,,,,,,,0,,1.0,2,3,1.0,1,not_cluster,N
f1005683,"SIOUXLAND ETHANOL, LLC",ethanol,NE,369587.1410040807,42.99932102661277,21.327331079798157,42.45196,-96.591844,,0.0,N,2-NETL,,,,,,,,,,0,,3.0,2,4,1.0,1,not_cluster,N
f1006659,ARGOS CEMENT LLC. - ROBERTA PLANT,cement,AL,1053548.7713580634,43.13553342592003,8.376072348563529,33.1043,-86.7985,,0.0,N,2-NETL,,,,,,,,,,0,,2.0,3,6,1.0,1,not_cluster,N
f1002560,"GOLDEN GRAIN ENERGY, LLC",ethanol,IA,512660.202135192,43.36788801210376,19.30588897157838,43.11204,-93.23104,,0.0,N,2-NETL,,,,,,,,,,0,,3.0,2,4,1.0,1,not_cluster,N
f1005969,THE ANDERSONS MARATHON HOLDINGS LLC IN,ethanol,IN,561068.5102861971,43.38877874027544,18.787931215374112,40.719022,-86.435982,,0.0,N,2-NETL,,,,,,,,,,0,,1.0,2,3,1.0,1,not_cluster,N
f1002989,Valero Bloominburg Plant,ethanol,OH,551541.9670519502,43.4242140738741,18.33121827124936,39.597501,-83.390444,,0.0,N,2-NETL,,,,,,,,,,0,,1.0,2,3,1.0,1,not_cluster,N
f1002055,HOLCIM (US) Inc,cement,TX,1175492.2394369645,43.68178336917181,8.246594316725412,32.512975,-96.971099,,0.0,N,2-NETL,,,,,,,,,,5,,4.0,3,7,1.0,1,not_cluster,N
f1005369,HUSKER AG L L C,ethanol,NE,350877.54406273563,43.68819189332401,21.75987823553158,42.35066,-97.708,,0.0,N,2-NETL,,,,,,,,,,0,,3.0,2,4,1.0,1,not_cluster,N
f1003573,"POET Biorefining- Iowa Falls, LLC",ethanol,IA,470256.4094637709,43.765679485035896,19.72840910043752,42.507192,-93.28041,,0.0,N,2-NETL,,,,,,,,,,0,,3.0,2,4,1.0,1,not_cluster,N
f1007985,NATIONAL CEMENT COMPANY INC.,cement,AL,981186.7117199636,43.80797273969439,8.872330484113316,33.733584,-86.155217,,0.0,N,2-NETL,,,,,,,,,,0,,2.0,3,6,1.0,1,not_cluster,N
f1009795,Tampa Port Services,ammonia,LA,670625.6144942145,35.70263713950495,19.68194691012592,30.00583,-90.877047,,0.0,N,2-NETL,,,,,,,,,,0,,2.0,3,7,1.0,1,not_cluster,N
f1004526,POET Biorefining-Chancellor,ethanol,SD,410909.3966151204,35.6123957149598,16.943312487361155,43.370231,-96.958069,,0.0,N,2-NETL,,,,,,,,,,0,,6.0,2,4,1.0,1,not_cluster,N
f1012901,PANTHER GAS PLANT,ng_processing,TX,82347.7,20.3006740368,12.4423486032,31.641115,-102.193757,,0.0,N,2-NETL,,,,,,,,,,73,,4.0,3,7,1.0,1,not_cluster,N
f1013544,DIAMOND CRYO,ng_processing,TX,81001.5,20.4023951118,12.504693778199998,31.00388,-103.754971,,0.0,N,2-NETL,,,,,,,,,,8,,4.0,3,7,1.0,1,not_cluster,N
f1013396,NACOGDOCHES AMINE AND DEHYDRATION PLANT,ng_processing,TX,80111.5,20.4709126076,12.546688372399998,31.4888,-94.6387,,0.0,N,2-NETL,,,,,,,,,,6,,2.0,3,7,1.0,1,not_cluster,N
f1010598,SHELBY,ng_processing,TX,80109.4,20.471075494,12.546788206,31.795396,-94.179048,,0.0,N,2-NETL,,,,,,,,,,6,,2.0,3,7,1.0,1,not_cluster,N
f1011012,KENEDY GAS PLANT,ng_processing,TX,64924.2,21.8272245146,13.377976315400002,28.7516,-98.0138,,0.0,N,2-NETL,,,,,,,,,,2,,2.0,3,7,1.0,1,not_cluster,N
f1007449,"TALCO MIDSTREAM ASSETS, LTD. - HOLLY COMMON POINT #6 FACILITY",ng_processing,TX,64095.4,21.9134675996,13.430834980399998,32.91593,-96.77249,,0.0,N,2-NETL,,,,,,,,,,5,,4.0,3,7,1.0,1,not_cluster,N
f1004228,Valero Renewable Fuels LLC,ethanol,MI,144329.33247435314,21.93358082993515,11.133642873149178,41.8165,-83.8357,2010.0,14.0,N,2-NETL,,,,,,,,,,0,,1.0,2,3,1.0,0,not_cluster,Y
f1010223,GOLIAD GAS PLANT,ng_processing,TX,59200.6,22.4555942232,13.7631061368,28.6181,-97.6381,,0.0,N,2-NETL,,,,,,,,,,2,,2.0,3,7,1.0,1,not_cluster,N
f1010735,LAS TIENDAS PLANT,ng_processing,TX,58601.3,22.5261463668,13.8063477732,27.960496,-98.594081,,0.0,N,2-NETL,,,,,,,,,,4,,2.0,3,7,1.0,1,not_cluster,N
f1010768,RAMSEY GAS PLANT,ng_processing,TX,83680.3,20.2021777368,12.3819799032,31.877504,-103.937602,,0.0,N,2-NETL,,,,,,,,,,8,,4.0,3,7,1.0,1,not_cluster,N
f1011558,TARGA PEMBROOK GAS PROCESSING PLANT,ng_processing,TX,57186.8,22.6966202214,13.9108317486,31.632682,-101.843305,,0.0,N,2-NETL,,,,,,,,,,73,,4.0,3,7,1.0,1,not_cluster,N
f1013924,BULLDOG GAS PLANT (PANOLA III),ng_processing,TX,52569.0,23.2955762806,14.277933849400002,32.145628,-94.268793,,0.0,N,2-NETL,,,,,,,,,,6,,2.0,3,7,1.0,1,not_cluster,N
f1008595,"TGG PIPELINE, LTD. - SHELBY #3 FACILITY",ng_processing,TX,51504.7,23.4438164144,14.3687907056,32.91593,-96.77249,,0.0,N,2-NETL,,,,,,,,,,5,,4.0,3,7,1.0,1,not_cluster,N
f1012463,SOUTH EDDY CRYO PLANT,ng_processing,NM,51136.4,23.6200238058,14.4767887842,32.161288,-103.828358,,0.0,N,2-NETL,,,,,,,,,,4,,4.0,4,8,1.0,1,not_cluster,N
f1012062,BECKVILLE GAS PROCESSING PLANT,ng_processing,TX,54591.5,23.0247922354,14.1119694346,32.235649,-94.486066,,0.0,N,2-NETL,,,,,,,,,,6,,2.0,3,7,1.0,1,not_cluster,N
f1013183,TARGA WILDCAT GAS PROCESSING PLANT,ng_processing,TX,87520.6,19.9298343234,12.2150597466,31.805233,-103.241229,2019.0,5.0,N,2-NETL,,,,,,,,,,8,,4.0,3,7,1.0,1,not_cluster,Y
f1011356,ZIA II GAS PLANT,ng_processing,NM,96996.1,19.4460045576,11.9185189224,32.643022,-103.8088667,2015.0,9.0,N,2-NETL,,,,,,,,,,4,,4.0,4,8,1.0,1,not_cluster,Y
f1002265,ContangoResources_LOST CABIN,ng_processing,WY,664050.062808,0.0,10.7688595808,43.28106,-107.60125,2013.0,11.0,N,2-NETL,,,,,,,,,,0,,5.0,4,8,1.0,1,not_cluster,Y
f1005641,LINAM RANCH GAS PLANT,ng_processing,NM,86577.962713,0.0,14.4767887842,32.6953,-103.2853,2010.0,14.0,N,2-NETL,,,,,,,,,,4,,4.0,4,8,1.0,0,not_cluster,Y
f1002943,"BARGATH, INC.- PARACHUTE",ng_processing,CO,96150.973908,0.0,14.1119694346,39.487297,-108.111356,2010.0,14.0,N,2-NETL,,,,,,,,,,0,,5.0,4,8,1.0,0,not_cluster,Y
f1002150,SHUTE CREEK FACILITY,ng_processing,WY,1599053.7,9.279089198,5.6871837020000005,41.887,-110.09446,2010.0,14.0,N,2-NETL,,,,,,,,,,0,,5.0,4,8,1.0,0,not_cluster,Y
f1011064,RED HILLS GAS PROCESSING PLANT,ng_processing,NM,520300.9000000001,12.100629683,7.416514966999999,32.210433,-103.521409,2022.0,2.0,N,2-NETL,,,,,,,,,,4,,4.0,4,8,1.0,1,not_cluster,Y
f1003087,SIMPLOT PHOSPHATES,ammonia,WY,379414.70621263335,14.716498881811804,8.66935306133398,41.5414,-109.131,,0.0,N,2-NETL,,,,,,,,,,0,,5.0,4,8,1.0,1,not_cluster,N
f1006682,ROBELINE PLANT,ng_processing,LA,194783.2,14.9830259704,9.1831449496,31.658716,-93.324988,,0.0,N,2-NETL,,,,,,,,,,0,,2.0,3,7,1.0,1,not_cluster,N
f1009093,YOAKUM CRYOGENIC PLANT,ng_processing,TX,209188.7,15.4180643588,9.4497813812,29.3421,-97.11,,0.0,N,2-NETL,,,,,,,,,,2,,2.0,3,7,1.0,1,not_cluster,N
f1009181,CONVERSE CENTRAL FACILITY,ng_processing,LA,157171.3,15.958611414599998,9.7810844154,31.955057,-93.68166,,0.0,N,2-NETL,,,,,,,,,,0,,2.0,3,7,1.0,1,not_cluster,N
f1009090,PLEASANT HILL GAS TREATING FACILITY,ng_processing,LA,126497.5,17.0249036462,10.4346183638,31.881015,-93.466108,,0.0,N,2-NETL,,,,,,,,,,0,,2.0,3,7,1.0,1,not_cluster,N
f1011011,JACKSON COUNTY GAS PLANT,ng_processing,TX,146830.0,17.0843631652,10.4710612948,29.10769,-96.5409,,0.0,N,2-NETL,,,,,,,,,,2,,2.0,3,7,1.0,1,not_cluster,N
f1005693,WEST BISTINEAU FACILITY,ng_processing,LA,110156.9,17.748623409,10.878188541,32.2107,-93.4413,,0.0,N,2-NETL,,,,,,,,,,0,,2.0,3,7,1.0,1,not_cluster,N
f1013400,ORLA GAS PLANT,ng_processing,TX,125241.2,17.9039557352,10.9733922248,31.809405,-103.895227,,0.0,N,2-NETL,,,,,,,,,,8,,4.0,3,7,1.0,1,not_cluster,N
