COMPOSITE TABLE:
SReg   Sulf    Mtyp    Rank    DReg    SubSec  Trate1
6WSR   1A      1S      1B      05GF    R2        999.99
6WSR   1A      1S      1B      06OH    R2        999.99
6WSR   1A      1S      1B      07EN    R2        999.99
6WSR   1A      1S      1B      08KT    R2        999.99
6WSR   1A      1S      1B      09AM    R2        999.99
6WSR   1A      1S      1B      10C1    R2        999.99
6WSR   1A      1S      1B      11C2    R2        999.99
6WSR   1A      1S      1B      12WS    R2         61.42
6WSR   1A      1S      1B      13MT    I2            20
6WSR   1A      1S      1B      13MT    I3            20
6WSR   1A      1S      1B      15ZN    R2        999.99
6WSR   1A      2D      1B      13MT    R1            20
6WSR   1A      1S      2S      01NE    R2        999.99
6WSR   1A      1S      2S      02YP    R2        999.99
6WSR   1A      1S      2S      03S1    R2        999.99
6WSR   1A      1S      2S      04S2    R2        999.99
6WSR   1A      1S      2S      05GF    R2        999.99
6WSR   1A      1S      2S      06OH    R2        999.99
6WSR   1A      1S      2S      07EN    R2        999.99
6WSR   1A      1S      2S      08KT    R2        999.99
6WSR   1A      1S      2S      09AM    R2        999.99
6WSR   1A      1S      2S      10C1    R2        999.99
6WSR   1A      1S      2S      11C2    R2        999.99
6WSR   1A      1S      2S      12WS    R2        999.99
6WSR   1A      1S      2S      13MT    R2        999.99
6WSR   1A      1S      2S      14CU    R2        999.99
6WSR   1A      1S      2S      15ZN    R2        999.99
6WSR   1A      1S      2S      16PC    R2        999.99
1APN   1A      2D      1B      01NE    R2         39.43
1APN   1A      2D      1B      02YP    R2            15
1APN   1A      2D      1B      03S1    R2         17.53
1APN   1A      2D      1B      04S2    R2         11.32
1APN   1A      2D      1B      05GF    R2         35.14
1APN   1A      2D      1B      06OH    R2          4.23
1APN   1A      2D      1B      07EN    R2           5.5
1APN   1A      2D      1B      08KT    R2         18.41
1APN   1A      2D      1B      09AM    R2         16.35
1APN   1A      2D      1B      10C1    R2        999.99
1APN   1A      2D      1B      11C2    R2        999.99
1APN   1A      2D      1B      12WS    R2        999.99
1APN   1A      2D      1B      13MT    R2        999.99
1APN   1A      2D      1B      14CU    R2        999.99
1APN   1A      2D      1B      15ZN    R2        999.99
1APN   1A      2D      1B      16PC    R2        999.99
2APR   1A      2D      1B      01NE    R2        999.99
2APR   1A      2D      1B      02YP    R2            20
2APR   1A      2D      1B      03S1    R2           6.5
2APR   1A      2D      1B      04S2    R2             9
2APR   1A      2D      1B      05GF    R2          13.5
2APR   1A      2D      1B      06OH    R2            15
2APR   1A      2D      1B      07EN    R2          5.85
2APR   1A      2D      1B      08KT    R2           4.5
2APR   1A      2D      1B      09AM    R2             5
2APR   1A      2D      1B      10C1    R2        999.99
2APR   1A      2D      1B      11C2    R2        999.99
2APR   1A      2D      1B      12WS    R2        999.99
2APR   1A      2D      1B      13MT    R2        999.99
2APR   1A      2D      1B      14CU    R2        999.99
2APR   1A      2D      1B      15ZN    R2        999.99
2APR   1A      2D      1B      16PC    R2        999.99
3INR   1A      2D      1B      01NE    R2        999.99
3INR   1A      2D      1B      02YP    R2        999.99
3INR   1A      2D      1B      03S1    R2        999.99
3INR   1A      2D      1B      04S2    R2         20.67
3INR   1A      2D      1B      05GF    R2        999.99
3INR   1A      2D      1B      06OH    R2        999.99
3INR   1A      2D      1B      07EN    R2        999.99
3INR   1A      2D      1B      08KT    R2           4.2
3INR   1A      2D      1B      09AM    R2        999.99
3INR   1A      2D      1B      10C1    R2         29.31
3INR   1A      2D      1B      11C2    R2         30.31
3INR   1A      2D      1B      12WS    R2        999.99
3INR   1A      2D      1B      13MT    R2        999.99
3INR   1A      2D      1B      14CU    R2        999.99
3INR   1A      2D      1B      15ZN    R2        999.99
3INR   1A      2D      1B      16PC    R2        999.99
1APN   1A      2D      4P      01NE    R2        999.99
1APN   1A      2D      4P      02YP    R2        999.99
1APN   1A      2D      4P      03S1    R2        999.99
1APN   1A      2D      4P      04S2    R2        999.99
1APN   1A      2D      4P      05GF    R2        999.99
1APN   1A      2D      4P      06OH    R2        999.99
1APN   1A      2D      4P      07EN    R2        999.99
1APN   1A      2D      4P      08KT    R2        999.99
1APN   1A      2D      4P      09AM    R2        999.99
1APN   1A      2D      4P      10C1    R2        999.99
1APN   1A      2D      4P      11C2    R2        999.99
1APN   1A      2D      4P      12WS    R2        999.99
1APN   1A      2D      4P      13MT    R2        999.99
1APN   1A      2D      4P      14CU    R2        999.99
1APN   1A      2D      4P      15ZN    R2        999.99
1APN   1A      2D      4P      16PC    R2        999.99
1APN   1A      2D      4P      01NE    R2        999.99
1APN   1A      2D      4P      02YP    R2        999.99
1APN   1A      2D      4P      03S1    R2        999.99
1APN   1A      2D      4P      04S2    R2        999.99
1APN   1A      2D      4P      05GF    R2        999.99
1APN   1A      2D      4P      06OH    R2        999.99
1APN   1A      2D      4P      07EN    R2        999.99
1APN   1A      2D      4P      08KT    R2        999.99
1APN   1A      2D      4P      09AM    R2        999.99
1APN   1A      2D      4P      10C1    R2        999.99
1APN   1A      2D      4P      11C2    R2        999.99
1APN   1A      2D      4P      12WS    R2        999.99
1APN   1A      2D      4P      13MT    R2        999.99
1APN   1A      2D      4P      14CU    R2        999.99
1APN   1A      2D      4P      15ZN    R2        999.99
1APN   1A      2D      4P      16PC    R2        999.99
1APN   1A      1S      1B      01NE    I1         39.43
1APN   1A      1S      1B      02YP    I1            10
1APN   1A      1S      1B      03S1    I1         17.53
1APN   1A      1S      1B      04S2    I1         11.32
1APN   1A      1S      1B      05GF    I1         35.14
1APN   1A      1S      1B      06OH    I1          4.23
1APN   1A      1S      1B      07EN    I1           5.5
1APN   1A      1S      1B      08KT    I1         18.41
1APN   1A      1S      1B      09AM    I1         16.35
1APN   1A      1S      1B      10C1    I1        999.99
1APN   1A      1S      1B      11C2    I1        999.99
1APN   1A      1S      1B      12WS    I1        999.99
1APN   1A      1S      1B      13MT    I1        999.99
1APN   1A      1S      1B      14CU    I1        999.99
1APN   1A      1S      1B      15ZN    I1        999.99
1APN   1A      1S      1B      16PC    I1        999.99
1APN   1A      1S      5G      01NE    I1        999.99
1APN   1A      1S      5G      02YP    I1        999.99
1APN   1A      1S      5G      03S1    I1        999.99
1APN   1A      1S      5G      04S2    I1        999.99
1APN   1A      1S      5G      05GF    I1        999.99
1APN   1A      1S      5G      06OH    I1        999.99
1APN   1A      1S      5G      07EN    I1        999.99
1APN   1A      1S      5G      08KT    I1        999.99
1APN   1A      1S      5G      09AM    I1        999.99
1APN   1A      1S      5G      10C1    I1        999.99
1APN   1A      1S      5G      11C2    I1        999.99
1APN   1A      1S      5G      12WS    I1        999.99
1APN   1A      1S      5G      13MT    I1        999.99
1APN   1A      1S      5G      14CU    I1        999.99
1APN   1A      1S      5G      15ZN    I1        999.99
1APN   1A      1S      5G      16PC    I1        999.99
2APR   1A      1S      1B      01NE    I1        999.99
2APR   1A      1S      1B      02YP    I1            20
2APR   1A      1S      1B      03S1    I1          3.25
2APR   1A      1S      1B      04S2    I1           6.5
2APR   1A      1S      1B      05GF    I1            11
2APR   1A      1S      1B      06OH    I1          13.5
2APR   1A      1S      1B      07EN    I1          5.85
2APR   1A      1S      1B      08KT    I1             5
2APR   1A      1S      1B      09AM    I1          4.75
2APR   1A      1S      1B      10C1    I1        999.99
2APR   1A      1S      1B      11C2    I1        999.99
2APR   1A      1S      1B      12WS    I1        999.99
2APR   1A      1S      1B      13MT    I1        999.99
2APR   1A      1S      1B      14CU    I1        999.99
2APR   1A      1S      1B      15ZN    I1        999.99
2APR   1A      1S      1B      16PC    I1        999.99
3INR   1A      1S      1B      01NE    I1        999.99
3INR   1A      1S      1B      02YP    I1        999.99
3INR   1A      1S      1B      03S1    I1        999.99
3INR   1A      1S      1B      04S2    I1         20.67
3INR   1A      1S      1B      05GF    I1        999.99
3INR   1A      1S      1B      06OH    I1        999.99
3INR   1A      1S      1B      07EN    I1        999.99
3INR   1A      1S      1B      08KT    I1           4.2
3INR   1A      1S      1B      09AM    I1        999.99
3INR   1A      1S      1B      10C1    I1         29.31
3INR   1A      1S      1B      11C2    I1         30.31
3INR   1A      1S      1B      12WS    I1        999.99
3INR   1A      1S      1B      13MT    I1        999.99
3INR   1A      1S      1B      14CU    I1         27.31
3INR   1A      1S      1B      15ZN    I1        999.99
3INR   1A      1S      1B      16PC    I1         28.31
4LGN   1A      1S      3L      01NE    I1        999.99
4LGN   1A      1S      3L      02YP    I1        999.99
4LGN   1A      1S      3L      03S1    I1        999.99
4LGN   1A      1S      3L      04S2    I1        999.99
4LGN   1A      1S      3L      05GF    I1        999.99
