     COMPOSITE TABLE:
cl:: commodity         cl:: yr         cl:: USe         cl:: arcdestnode         cl:: ICMM_USA_export_MMst         cl:: ICMM_USA_export_Mmt         cl:: ICMM_USA_export_trills
     'Metallurgical'        2020            'UG'             'IND_demand'             0.9160174004                      0.8309979955                     23.26154486
     'Metallurgical'        2020            'UG'             'JPN_demand'             0.5038120388                      0.457051137                      12.79391236
     'Metallurgical'        2020            'UG'             'WEU_demand'             2.895880209                       2.627101459                      73.53861113
     'Metallurgical'        2020            'UG'             'EEAE_demand'            1.493539885                       1.354918203                      37.92727628
     'Metallurgical'        2020            'UI'             'CAN_demand'             1.566266272                       1.420894551                      39.77410598
     'Metallurgical'        2021            'UE'             'BRZ_demand'             0.5179579298                      0.4698840887                     13.18233933
     'Metallurgical'        2021            'UE'             'CHI_demand'             29.07690398                       26.37815494                      740.0246098
     'Metallurgical'        2021            'UE'             'JPN_demand'             1.725720302                       1.565548985                      43.92061459
     'Metallurgical'        2021            'UE'             'WEU_demand'             12.74242229                       11.5597448                       324.3022742
     'Metallurgical'        2021            'UE'             'EEAE_demand'            4.014806311                       3.642175351                      102.1792236
     'Metallurgical'        2021            'UG'             'BRZ_demand'             0.1129093741                      0.102429783                      2.873611153
     'Metallurgical'        2021            'UG'             'CHI_demand'             7.996855241                       7.254633671                      203.5247523
     'Metallurgical'        2021            'UG'             'JPN_demand'             0.5004238336                      0.4539774053                     12.73608609
     'Metallurgical'        2021            'UG'             'WEU_demand'             3.097708489                       2.810197213                      78.83853515
     'Metallurgical'        2021            'UG'             'EEAE_demand'            1.59711666                        1.448881585                      40.64757492
     'Metallurgical'        2021            'UI'             'CAN_demand'             1.691417179                       1.534429679                      43.0475796
     'Metallurgical'        2022            'UE'             'BRZ_demand'             0.5067493829                      0.4597158539                     12.8970751
     'Metallurgical'        2022            'UE'             'CHI_demand'             30.9629201                        28.08912202                      788.024849
     'Metallurgical'        2022            'UE'             'JPN_demand'             1.503886967                       1.36430493                       38.27482344
     'Metallurgical'        2022            'UE'             'WEU_demand'             14.01296762                       12.71236551                      356.6384133
     'Metallurgical'        2022            'UE'             'EEAE_demand'            4.927165325                       4.46985451                       125.3993066
     'Metallurgical'        2022            'UG'             'BRZ_demand'             0.110466029                       0.1002132149                     2.811426555
     'Metallurgical'        2022            'UG'             'CHI_demand'             8.51555551                        7.725191198                      216.7259846
     'Metallurgical'        2022            'UG'             'JPN_demand'             0.4360966725                      0.395620717                      11.09892134
     'Metallurgical'        2022            'UG'             'WEU_demand'             3.406580614                       3.090401624                      86.6995156
