COMPOSITE TABLE:
SCrv1  SReg  Sulf  Mtyp  Rank  CSupplyRegionName1      SRegStates          MTypeLabel        RankLabel         SulfLabel      BY_MMP            BY_PROD       BY_TPH          BY_PROD_CAP     BY_CAP_UTIL    CAP_UTIL_HIST     Btu
10     02CA  1C    1S    1B    0.481                   206.400             4.361             9.750             0.839          0.210             0.790         41058.104       10.593          -6.532         0.000             0.000
11     02CA  2M    1S    1B    1.127                   206.400             8.914             1.100             0.955          0.210             0.790         41058.104       10.593          -6.532         0.000             0.000
12     03SA  1C    2D    1B    1.012                   204.700             3.870             26.800            1.012          0.860             0.140         47063.591       10.992          -6.532         0.505             -0.220
13     03SA  2M    2D    1B    1.328                   204.700             0.100             19.750            1.200          0.860             0.140         47063.591       10.992          -6.532         0.505             -0.220
14     03SA  1C    2D    4P    0.448                   204.700             0.000             0.850             0.946          0.860             0.140         47063.591       10.992          -6.532         0.505             -0.220
15     03SA  1C    1S    1B    0.658                   204.700             5.262             10.000            0.896          0.210             0.790         47063.591       10.992          -6.532         0.505             0.000
16     03SA  2M    1S    1B    1.286                   204.700             30.567            1.050             1.063          0.210             0.790         47063.591       10.992          -6.532         0.505             0.000
17     04EI  2M    2D    1B    1.930                   203.100             5.006             18.850            0.871          0.860             0.140         42085.306       12.119          -6.532         0.000             -0.220
18     04EI  3H    2D    1B    2.434                   203.100             7.528             1.100             1.010          0.860             0.140         42085.306       12.119          -6.532         0.000             -0.220
19     04EI  2M    1S    1B    1.876                   203.100             6.164             25.600            0.836          0.210             0.790         43581.427       12.161          -6.532         0.000             0.000
20     04EI  3H    1S    1B    2.716                   203.100             8.322             1.050             0.969          0.210             0.790         43581.427       12.161          -6.532         0.000             0.000
21     04EI  2M    1S    3L    0.995                   216.500             25.300            5.350             1.884          0.210             0.790         43581.427       12.161          -6.532         0.000             0.000
22     05WI  3H    1S    1B    2.370                   202.800             17.420            36.000            0.835          0.210             0.790         40904.369       12.315          -6.532         0.000             0.000
23     06GL  2M    1S    3L    1.319                   212.600             5.343             1.300             0.927          0.210             0.790         48737.629       10.647          -6.532         -2.369            0.000
24     06GL  3H    1S    3L    3.442                   212.600             15.280            4.450             1.075          0.210             0.790         48737.629       10.647          -6.532         -2.369            0.000
25     07DL  2M    1S    3L    1.234                   219.300             7.989             1.000             1.006          0.210             0.790         44851.143       12.791          -6.532         -1.048            0.000
26     08WM  1C    2D    1B    0.417                   215.500             3.547             3.000             1.126          0.860             0.140         44851.143       10.836          -6.532         -2.683            -0.220
27     08WM  1C    1S    2S    0.361                   215.500             7.996             1.600             1.237          0.210             0.790         44851.143       10.836          -6.532         -2.683            0.000
28     08WM  2M    1S    2S    0.644                   215.500             4.000             2.600             0.759          0.210             0.790         44851.143       10.836          -6.532         -2.683            0.000
29     09NW  1C    1S    2S    0.354                   214.300             8.329             1.000             0.966          0.210             0.790         45190.965       11.860          -6.532         0.026             0.000
30     09NW  2M    1S    2S    0.712                   214.300             6.862             43.200            1.039          0.210             0.790         45190.965       11.860          -6.532         0.026             0.000
31     10SW  1C    1S    2S    0.265                   214.300             6.958             1.000             1.018          0.210             0.790         45190.965       11.860          -6.532         -0.502            0.000
32     11WW  1C    2D    2S    0.631                   214.300             2.190             6.300             1.126          0.860             0.140         45190.965       11.860          -6.532         0.561             -0.220
33     11WW  1C    1S    2S    0.475                   214.300             1.343             2.950             0.958          0.210             0.790         45190.965       11.860          -6.532         0.561             0.000
34     11WW  2M    1S    2S    0.629                   214.300             4.350             2.600             1.007          0.210             0.790         45190.965       11.860          -6.532         0.561             0.000
35     12RM  1C    2D    1B    0.444                   209.600             3.451             1.000             1.023          0.860             0.140         43044.803       11.927          -6.532         0.329             -0.220
36     12RM  1C    2D    4P    0.430                   209.600             0.000             17.600            0.600          0.860             0.140         43044.803       11.927          -6.532         0.329             -0.220
37     12RM  1C    1S    2S    0.446                   212.800             2.040             1.000             1.095          0.210             0.790         46069.029       13.909          -6.532         0.329             0.000
38     13ZN  2M    2D    1B    0.742                   207.100             7.180             6.500             0.978          0.860             0.140         48456.027       10.697          -6.532         0.234             -0.220
39     13ZN  1C    1S    1B    0.477                   207.100             6.000             2.850             0.856          0.210             0.790         48456.027       10.697          -6.532         0.234             0.000
40     13ZN  2M    1S    2S    0.964                   209.200             13.143            1.450             1.224          0.210             0.790         48456.027       10.697          -6.532         0.234             0.000
41     14AW  1C    1S    2S    0.175                   216.100             4.858             24.650            1.016          0.210             0.790         45559.064       11.717          -6.532         0.000             0.000
;
COMPOSITE TABLE:
SCrv1  SReg  Sulf  Mtyp  Rank  RCoe_SRegMTypeCont      RCoe_TPH            TPH_SDA           RCoe_SRegTPH      RCoe_MTypeTPH  RCoe_SRegMTypeTPH RCoe_Util     RCoe_MTypeUtil  RCoe_ProdCap    ProdCap_SDA    RCoe_MTypeProdCap RCoe_Wage
1      01NA  2M    2D    1B    0.000                   -0.629              0.000             0.000             0.000          0.056             0.095         0.000           0.234           0.000          0.000             0.802
2      01NA  3H    2D    1B    0.000                   -0.629              0.000             0.000             0.000          0.056             0.095         0.000           0.234           0.000          0.000             0.802
3      01NA  2M    2D    4P    0.000                   -0.629              0.000             0.000             0.000          0.056             0.095         0.000           0.234           0.000          0.000             0.802
4      01NA  2M    1S    1B    0.000                   -0.629              0.000             0.000             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
5      01NA  3H    1S    1B    0.000                   -0.629              0.000             0.000             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
6      01NA  3H    1S    5G    0.000                   -0.629              0.000             0.000             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
7      02CA  1C    2D    1B    0.000                   -0.629              0.000             0.000             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
8      02CA  2M    2D    1B    0.000                   -0.629              0.000             0.000             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
9      02CA  2M    2D    4P    0.000                   -0.629              0.000             0.000             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
10     02CA  1C    1S    1B    0.000                   -0.629              0.000             0.000             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
11     02CA  2M    1S    1B    0.000                   -0.629              0.000             0.000             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
12     03SA  1C    2D    1B    0.000                   -0.629              0.000             0.000             0.000          -0.095            0.095         0.000           0.234           0.000          0.000             0.802
13     03SA  2M    2D    1B    0.000                   -0.629              0.000             0.000             0.000          -0.095            0.095         0.000           0.234           0.000          0.000             0.802
14     03SA  1C    2D    4P    0.000                   -0.629              0.000             0.000             0.000          -0.095            0.095         0.000           0.234           0.000          0.000             0.802
15     03SA  1C    1S    1B    0.000                   -0.629              0.000             0.000             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
16     03SA  2M    1S    1B    0.000                   -0.629              0.000             0.000             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
17     04EI  2M    2D    1B    0.000                   -0.629              0.000             0.000             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
18     04EI  3H    2D    1B    0.000                   -0.629              0.000             0.000             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
19     04EI  2M    1S    1B    0.000                   -0.629              0.000             0.000             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
20     04EI  3H    1S    1B    0.000                   -0.629              0.000             0.000             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
21     04EI  2M    1S    3L    0.000                   -0.629              0.000             0.000             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
22     05WI  3H    1S    1B    0.000                   -0.629              0.000             0.000             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
23     06GL  2M    1S    3L    0.000                   -0.629              0.000             0.930             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
24     06GL  3H    1S    3L    0.000                   -0.629              0.000             0.930             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
25     07DL  2M    1S    3L    0.000                   -0.629              0.000             0.274             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
26     08WM  1C    2D    1B    -1.650                  -0.629              0.000             0.848             0.000          0.670             0.095         0.000           0.234           0.000          0.000             0.802
27     08WM  1C    1S    2S    0.000                   -0.629              0.000             0.848             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
28     08WM  2M    1S    2S    0.000                   -0.629              0.000             0.848             0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
29     09NW  1C    1S    2S    0.000                   -0.629              0.000             -0.148            0.000          0.000             0.095         0.000           0.234           0.000          0.000             0.802
