COMPOSITE TABLE:
SCrv1  SReg  Sulf  Mtyp  Rank  CSupplyRegionName1      SRegStates          MTypeLabel        RankLabel         SulfLabel      BY_MMP            BY_PROD       BY_TPH          BY_PROD_CAP     BY_CAP_UTIL    CAP_UTIL_HIST     Btu
4      1     2     1     2016  12.16                   43.11
4      1     3     1     2016  60.77                   46.62
4      1     2     2     2016  3.04                    64.09
4      1     3     2     2016  25.27                   40.04
4      3     2     2     2016  3.05                    27.00
5      1     3     2     2016  1.05                    60.65
6      3     2     2     2016  31.60                   19.91
6      3     3     2     2016  9.85                    19.11
7      3     2     2     2016  28.09                   15.24
8      1     1     1     2016  0.20                    46.87
8      2     1     2     2016  12.63                   14.65
8      2     2     2     2016  12.41                   20.50
9      2     1     2     2016  96.91                   11.15
9      2     2     2     2016  2.93                    15.21
10     2     1     2     2016  187.52                  13.38
11     2     1     1     2016  1.72                    70.73
11     2     1     2     2016  4.17                    37.14
11     2     2     2     2016  4.66                    45.81
12     1     1     1     2016  21.81                   37.88
12     4     1     1     2016  0.00                    100.00
12     2     1     2     2016  4.73                    43.11
13     1     2     1     2016  6.19                    50.00
13     1     1     2     2016  5.76                    41.55
13     2     2     2     2016  9.20                    30.33
14     2     1     2     2016  0.93                    68.73
1      1     2     1     2017  15.20                   45.89
1      1     3     1     2017  67.78                   43.94
1      4     2     1     2017  16.91                   111.75
1      1     2     2     2017  1.98                    57.99
1      1     3     2     2017  4.20                    36.76
1      3     3     2     2017  9.95                    10.56
2      1     1     1     2017  3.70                    66.09
2      1     2     1     2017  8.88                    52.56
2      4     2     1     2017  40.61                   106.52
2      1     1     2     2017  11.06                   64.95
2      1     2     2     2017  12.46                   55.64
3      1     1     1     2017  0.11                    63.00
3      1     2     1     2017  0.22                    54.83
3      4     1     1     2017  14.61                   163.52
3      1     1     2     2017  0.38                    95.83
3      1     2     2     2017  2.21                    81.03
4      1     2     1     2017  19.48                   43.74
4      1     3     1     2017  55.96                   43.07
4      1     2     2     2017  2.11                    43.55
4      1     3     2     2017  24.88                   39.55
4      3     2     2     2017  2.42                    25.17
5      1     3     2     2017  0.91                    63.39
6      3     2     2     2017  25.17                   18.43
6      3     3     2     2017  10.96                   12.38
7      3     2     2     2017  29.62                   15.69
8      1     1     1     2017  5.89                    29.24
8      2     1     2     2017  17.68                   14.57
8      2     2     2     2017  11.79                   19.58
9      2     1     2     2017  106.49                  10.85
9      2     2     2     2017  3.41                    8.85
10     2     1     2     2017  196.20                  13.10
11     2     1     1     2017  1.60                    58.44
11     2     1     2     2017  4.86                    37.69
11     2     2     2     2017  4.81                    50.29
12     1     1     1     2017  23.62                   38.54
12     4     1     1     2017  0.05                    100.00
12     2     1     2     2017  4.47                    37.95
13     1     2     1     2017  6.27                    43.84
13     1     1     2     2017  6.24                    46.87
13     2     2     2     2017  8.75                    29.97
14     2     1     2     2017  0.57                    75.38
1      1     2     1     2018  14.68                   49.21
1      1     3     1     2018  65.43                   47.86
1      4     2     1     2018  17.81                   122.59
1      1     2     2     2018  1.96                    59.84
1      1     3     2     2018  4.23                    35.20
1      3     3     2     2018  10.16                   9.28
2      1     1     1     2018  4.19                    63.69
2      1     2     1     2018  7.58                    55.82
2      4     2     1     2018  45.86                   111.50
2      1     1     2     2018  10.55                   63.00
2      1     2     2     2018  10.34                   58.17
3      1     1     1     2018  0.11                    63.00
3      1     2     1     2018  0.08                    54.38
3      4     1     1     2018  15.65                   175.47
3      1     1     2     2018  0.63                    90.66
3      1     2     2     2018  1.80                    82.51
4      1     2     1     2018  26.22                   45.32
4      1     3     1     2018  57.62                   41.54
4      1     2     2     2018  1.68                    43.96
4      1     3     2     2018  20.90                   41.29
4      3     2     2     2018  2.99                    25.17
5      1     3     2     2018  0.83                    63.07
6      3     2     2     2018  22.73                   16.82
6      3     3     2     2018  6.28                    12.38
7      3     2     2     2018  30.36                   16.00
8      1     1     1     2018  7.57                    34.72
8      2     1     2     2018  18.53                   14.24
8      2     2     2     2018  12.22                   18.42
9      2     1     2     2018  99.93                   10.61
9      2     2     2     2018  2.25                    9.86
10     2     1     2     2018  186.84                  12.55
11     2     1     1     2018  2.31                    58.44
11     2     1     2     2018  4.01                    37.63
11     2     2     2     2018  4.55                    50.29
12     1     1     1     2018  22.93                   38.72
12     4     1     1     2018  0.05                    100.00
12     2     1     2     2018  3.81                    42.56
13     1     2     1     2018  3.03                    30.60
13     1     1     2     2018  6.62                    56.14
13     2     2     2     2018  9.14                    31.04
14     2     1     2     2018  0.59                    75.48
1      1     2     1     2019  15.11                   49.29
1      1     3     1     2019  66.31                   46.82
1      4     2     1     2019  17.65                   115.02
1      1     2     2     2019  2.05                    56.04
1      1     3     2     2019  2.79                    31.48
1      3     3     2     2019  9.26                    9.37
2      1     1     1     2019  3.07                    68.79
2      1     2     1     2019  5.23                    61.08
2      4     2     1     2019  41.33                   115.01
2      1     1     2     2019  9.09                    66.04
2      1     2     2     2019  10.61                   59.85
3      1     1     1     2019  0.11                    63.00
3      1     2     1     2019  0.06                    66.09
3      4     1     1     2019  14.04                   154.39
3      1     1     2     2019  0.36                    90.42
3      1     2     2     2019  1.67                    86.17
4      1     2     1     2019  20.04                   42.75
4      1     3     1     2019  56.01                   40.35
4      1     2     2     2019  1.94                    46.13
4      1     3     2     2019  16.22                   42.03
4      3     2     2     2019  2.56                    25.17
5      1     3     2     2019  0.49                    56.00
6      3     2     2     2019  18.18                   13.28
6      3     3     2     2019  5.39                    12.38
7      3     2     2     2019  27.50                   16.92
8      1     1     1     2019  3.81                    36.89
8      2     1     2     2019  14.21                   14.53
8      2     2     2     2019  10.90                   20.50
9      2     1     2     2019  86.51                   10.35
9      2     2     2     2019  4.86                    8.62
10     2     1     2     2019  173.98                  12.07
11     2     1     1     2019  2.28                    58.44
11     2     1     2     2019  3.85                    38.06
11     2     2     2     2019  3.74                    50.29
12     1     1     1     2019  20.47                   40.79
12     4     1     1     2019  0.05                    100.00
12     2     1     2     2019  4.32                    49.45
13     1     2     1     2019  3.13                    30.60
13     1     1     2     2019  4.03                    66.84
13     2     2     2     2019  10.24                   37.36
14     2     1     2     2019  0.76                    68.20
1      1     2     1     2020  12.33                   41.62
1      1     3     1     2020  47.79                   40.91
1      4     2     1     2020  15.16                   106.45
1      1     2     2     2020  1.66                    54.13
1      1     3     2     2020  2.67                    32.07
1      3     3     2     2020  7.76                    3.37
2      1     1     1     2020  1.97                    56.15
2      1     2     1     2020  3.20                    55.32
2      4     2     1     2020  37.89                   104.01
2      1     1     2     2020  8.40                    61.55
2      1     2     2     2020  7.36                    55.00
3      1     1     1     2020  0.16                    80.08
3      1     2     1     2020  0.03                    70.10
3      4     1     1     2020  13.59                   122.38
3      1     1     2     2020  0.24                    95.06
3      1     2     2     2020  0.67                    83.88
4      1     2     1     2020  4.98                    37.28
4      1     3     1     2020  46.29                   37.53
4      1     2     2     2020  1.73                    42.70
4      1     3     2     2020  13.91                   39.72
4      3     2     2     2020  2.54                    25.19
5      1     3     2     2020  0.26                    55.43
6      3     2     2     2020  17.77                   16.40
6      3     3     2     2020  2.64                    12.39
7      3     2     2     2020  26.75                   17.16
8      1     1     1     2020  2.72                    29.04
8      2     1     2     2020  9.97                    14.56
8      2     2     2     2020  6.99                    16.75
9      2     1     2     2020  70.77                   10.73
9      2     2     2     2020  7.13                    8.84
10     2     1     2     2020  131.46                  12.43
11     2     1     1     2020  2.27                    58.50
11     2     1     2     2020  3.81                    38.26
11     2     2     2     2020  2.50                    50.34
12     1     1     1     2020  18.40                   38.40
12     4     1     1     2020  0.05                    100.00
12     2     1     2     2020  4.73                    41.76
13     1     2     1     2020  2.93                    30.63
13     1     1     2     2020  4.03                    66.91
13     2     2     2     2020  8.86                    38.20
14     2     1     2     2020  0.81                    67.98
1      1     2     1     2021  15.24                   45.40
1      1     3     1     2021  55.03                   40.76
1      4     2     1     2021  14.29                   130.82
1      1     2     2     2021  2.03                    55.69
1      1     3     2     2021  2.48                    31.81
1      3     3     2     2021  7.86                    3.09
2      1     1     1     2021  1.60                    63.69
2      1     2     1     2021  2.36                    57.09
2      4     2     1     2021  36.86                   117.70
2      1     1     2     2021  7.14                    70.40
2      1     2     2     2021  7.48                    54.54
3      1     1     1     2021  0.15                    72.16
3      1     2     1     2021  0.01                    75.63
3      4     1     1     2021  10.76                   159.68
3      1     1     2     2021  0.34                    90.62
3      1     2     2     2021  0.91                    81.26
4      1     2     1     2021  6.04                    34.02
4      1     3     1     2021  54.14                   36.26
4      1     2     2     2021  1.95                    44.16
4      1     3     2     2021  11.59                   42.15
4      3     2     2     2021  3.05                    25.17
5      1     3     2     2021  0.08                    48.73
6      3     2     2     2021  15.12                   15.72
6      3     3     2     2021  3.66                    24.53
7      3     2     2     2021  26.93                   18.23
8      1     1     1     2021  7.51                    36.51
8      2     1     2     2021  14.07                   12.65
8      2     2     2     2021  6.99                    17.79
9      2     1     2     2021  82.48                   10.35
9      2     2     2     2021  7.44                    10.46
10     2     1     2     2021  137.23                  12.12
11     2     1     1     2021  2.77                    58.44
11     2     1     2     2021  4.25                    39.35
11     2     2     2     2021  1.23                    50.29
12     1     1     1     2021  18.38                   41.19
12     4     1     1     2021  0.01                    106.27
12     2     1     2     2021  4.32                    37.23
13     1     2     1     2021  2.97                    30.60
13     1     1     2     2021  0.01                    69.71
13     2     2     2     2021  7.78                    43.07
14     2     1     2     2021  0.81                    63.71
;
