COMPOSITE TABLE:
ImpSec              nUS                 DReg                USi                 Pinlandtr
I                   HI                  06OH                UI                  999.99
I                   HI                  07EN                UI                  999.99
I                   HI                  08KT                UI                  999.99
I                   HI                  09AM                UI                  999.99
I                   HI                  10C1                UI                  999.99
I                   HI                  11C2                UI                  999.99
I                   HI                  12WS                UI                  999.99
I                   HI                  13MT                UI                  999.99
I                   HI                  14CU                UI                  999.99
I                   HI                  15ZN                UI                  999.99
I                   HI                  16PC                UI                  999.99
I                   AU                  01NE                UI                  999.99
I                   AU                  02YP                UI                  999.99
I                   AU                  03S1                UI                  999.99
I                   AU                  04S2                UI                  999.99
I                   AU                  05GF                UI                  999.99
I                   AU                  06OH                UI                  999.99
I                   AU                  07EN                UI                  999.99
I                   AU                  08KT                UI                  999.99
I                   AU                  09AM                UI                  999.99
I                   AU                  10C1                UI                  999.99
I                   AU                  11C2                UI                  999.99
I                   AU                  12WS                UI                  999.99
I                   AU                  13MT                UI                  999.99
I                   AU                  14CU                UI                  999.99
I                   AU                  15ZN                UI                  999.99
I                   AU                  16PC                UI                  999.99
I                   VT                  01NE                UI                  999.99
I                   VT                  02YP                UI                  999.99
I                   VT                  03S1                UI                  999.99
I                   VT                  04S2                UI                  999.99
I                   VT                  05GF                UI                  999.99
I                   VT                  06OH                UI                  999.99
I                   VT                  07EN                UI                  999.99
I                   VT                  08KT                UI                  999.99
I                   VT                  09AM                UI                  999.99
I                   VT                  10C1                UI                  999.99
I                   VT                  11C2                UI                  999.99
I                   VT                  12WS                UI                  999.99
I                   VT                  13MT                UI                  999.99
I                   VT                  14CU                UI                  999.99
I                   VT                  15ZN                UI                  999.99
I                   VT                  16PC                UI                  999.99
C                   NW                  01NE                UI                  999.99
C                   NW                  02YP                UI                  999.99
C                   NW                  03S1                UI                  15.55958549
C                   NW                  04S2                UI                  15.55958549
C                   NW                  05GF                UI                  999.99
C                   NW                  06OH                UI                  12.55958549
C                   NW                  07EN                UI                  12.55958549
C                   NW                  08KT                UI                  999.99
C                   NW                  09AM                UI                  999.99
C                   NW                  10C1                UI                  12.55958549
C                   NW                  11C2                UI                  12.55958549
C                   NW                  12WS                UI                  999.99
C                   NW                  13MT                UI                  999.99
C                   NW                  14CU                UI                  999.99
C                   NW                  15ZN                UI                  999.99
C                   NW                  16PC                UI                  999.99
C                   CL                  01NE                UI                  999.99
C                   CL                  02YP                UI                  999.99
C                   CL                  03S1                UI                  999.99
C                   CL                  04S2                UI                  999.99
C                   CL                  05GF                UI                  999.99
C                   CL                  06OH                UI                  999.99
C                   CL                  07EN                UI                  999.99
C                   CL                  08KT                UI                  999.99
C                   CL                  09AM                UI                  999.99
C                   CL                  10C1                UI                  999.99
C                   CL                  11C2                UI                  999.99
C                   CL                  12WS                UI                  999.99
C                   CL                  13MT                UI                  999.99
C                   CL                  14CU                UI                  999.99
C                   CL                  15ZN                UI                  999.99
C                   CL                  16PC                UI                  999.99
C                   VZ                  01NE                UI                  999.99
C                   VZ                  02YP                UI                  999.99
C                   VZ                  03S1                UI                  999.99
C                   VZ                  04S2                UI                  999.99
C                   VZ                  05GF                UI                  999.99
C                   VZ                  06OH                UI                  999.99
C                   VZ                  07EN                UI                  999.99
C                   VZ                  08KT                UI                  999.99
C                   VZ                  09AM                UI                  999.99
C                   VZ                  10C1                UI                  999.99
C                   VZ                  11C2                UI                  999.99
C                   VZ                  12WS                UI                  999.99
C                   VZ                  13MT                UI                  999.99
C                   VZ                  14CU                UI                  999.99
C                   VZ                  15ZN                UI                  999.99
C                   VZ                  16PC                UI                  999.99
C                   PO                  01NE                UI                  999.99
C                   PO                  02YP                UI                  999.99
C                   PO                  03S1                UI                  999.99
C                   PO                  04S2                UI                  999.99
C                   PO                  05GF                UI                  999.99
C                   PO                  06OH                UI                  999.99
C                   PO                  07EN                UI                  999.99
C                   PO                  08KT                UI                  999.99
C                   PO                  09AM                UI                  999.99
C                   PO                  10C1                UI                  999.99
