COMPOSITE TABLE:
pu_id               mx_unt_echo         Plantid             Unitid              PlantName                     PlantState          NDReg_plant         Bit_share      GOB_share      Lig_share      SubBit_share   Plant_L_Prof   Plant_S_Prof
710_2               107                 710                 "2"                 "Jack McDonough"              "GA"                5                   1.0000         0.0000         0.0000         0.0000         1              1
727_3               108                 727                 "3"                 "Mitchell (GA)"               "GA"                5                   1.0000         0.0000         0.0000         0.0000         1              1
728_1               109                 728                 "1"                 "Yates"                       "GA"                5                   1.0000         0.0000         0.0000         0.0000         1              1
728_2               110                 728                 "2"                 "Yates"                       "GA"                5                   1.0000         0.0000         0.0000         0.0000         1              1
728_3               111                 728                 "3"                 "Yates"                       "GA"                5                   1.0000         0.0000         0.0000         0.0000         1              1
728_4               112                 728                 "4"                 "Yates"                       "GA"                5                   1.0000         0.0000         0.0000         0.0000         1              1
728_5               113                 728                 "5"                 "Yates"                       "GA"                5                   1.0000         0.0000         0.0000         0.0000         1              1
733_2               114                 733                 "2"                 "Kraft"                       "GA"                5                   1.0000         0.0000         0.0000         0.0000         1              1
733_3               115                 733                 "3"                 "Kraft"                       "GA"                5                   1.0000         0.0000         0.0000         0.0000         1              1
733_ST1             116                 733                 "ST1"               "Kraft"                       "GA"                5                   1.0000         0.0000         0.0000         0.0000         1              1
856_1               117                 856                 "1"                 "E D Edwards"                 "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
856_2               118                 856                 "2"                 "E D Edwards"                 "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
856_3               119                 856                 "3"                 "E D Edwards"                 "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
861_1               120                 861                 "1"                 "Coffeen"                     "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
861_2               121                 861                 "2"                 "Coffeen"                     "IL"                7                   0.0000         0.0000         0.0000         1.0000         1              11
863_3               122                 863                 "3"                 "Hutsonville"                 "IL"                7                   1.0000         0.0000         0.0000         0.0000         1              1
863_4               123                 863                 "4"                 "Hutsonville"                 "IL"                7                   1.0000         0.0000         0.0000         0.0000         1              1
864_1               124                 864                 "1"                 "Meredosia"                   "IL"                7                   1.0000         0.0000         0.0000         0.0000         1              1
