COMPOSITE TABLE:
e    i    tc   vclass    IntlNauticalMiles   VesselLadingT
UE   EA   1    Capesize  10301               110000
UE   EA   2    Capesize  10301               110000
UE   GY   1    Panamax   3775                70000
UE   GY   2    Panamax   3775                70000
UE   IN   1    Panamax   8314                70000
UE   IN   2    Panamax   8314                70000
UE   JA   1    Capesize  9540                110000
UE   JA   2    Capesize  9540                110000
UE   LA   1    Panamax   2234                70000
UE   LA   2    Panamax   2234                70000
UE   MX   1    Panamax   2986                45000
UE   MX   2    Panamax   2986                45000
UE   NE   1    Panamax   769                 35000
UE   NE   2    Panamax   769                 35000
UE   NI   1    No_Ship   1690                0
UE   NI   2    No_Ship   1690                0
UE   OW   1    Capesize  3540                125000
UE   OW   2    Capesize  3540                125000
UE   PS   1    Panamax   3179                70000
UE   PS   2    Panamax   3179                70000
UE   RM   1    Panamax   5316                70000
UE   RM   2    Panamax   5316                70000
UE   SC   1    Panamax   4382                70000
UE   SC   2    Panamax   4382                70000
UE   TL   1    Panamax   4693                70000
UE   TL   2    Panamax   4693                70000
UE   UE   1    No_Ship   0                   0
UE   UE   2    No_Ship   0                   0
UE   UG   1    No_Ship   0                   0
UE   UG   2    No_Ship   0                   0
UE   UI   1    No_Ship   0                   0
UE   UI   2    No_Ship   0                   0
UE   UN   1    No_Ship   0                   0
UE   UN   2    No_Ship   0                   0
UG   AS   1    Panamax   11300               70000
UG   AS   2    Panamax   11300               70000
UG   BT   1    Panamax   4877                70000
UG   BT   2    Panamax   4877                70000
UG   CH   1    Panamax   10638               70000
UG   CH   2    Panamax   10638               70000
UG   EA   1    Capesize  9930                105000
UG   EA   2    Capesize  9930                105000
UG   GY   1    Panamax   5062                70000
UG   GY   2    Panamax   5062                70000
UG   IN   1    Panamax   9529                70000
UG   IN   2    Panamax   9529                70000
UG   JA   1    Capesize  9169                105000
UG   JA   2    Capesize  9169                105000
UG   LA   1    Panamax   3655                70000
UG   LA   2    Panamax   3655                70000
UG   MX   1    Panamax   2615                45000
UG   MX   2    Panamax   2615                45000
UG   NE   1    Panamax   2148                35000
UG   NE   2    Panamax   2148                35000
UG   NI   1    No_Ship   3069                0
UG   NI   2    No_Ship   3069                0
UG   OW   1    Panamax   4854                65000
UG   OW   2    Panamax   4854                65000
UG   PS   1    Panamax   4463                70000
UG   PS   2    Panamax   4463                70000
UG   RM   1    Panamax   6531                70000
UG   RM   2    Panamax   6531                70000
UG   SC   1    Panamax   5669                70000
UG   SC   2    Panamax   5669                70000
UG   TL   1    Panamax   5908                70000
UG   TL   2    Panamax   5908                70000
UG   UE   1    No_Ship   0                   0
UG   UE   2    No_Ship   0                   0
UG   UG   1    No_Ship   0                   0
UG   UG   2    No_Ship   0                   0
UG   UI   1    No_Ship   0                   0
UG   UI   2    No_Ship   0                   0
UG   UN   1    No_Ship   0                   0
UG   UN   2    No_Ship   0                   0
UI   AS   1    No_Ship   10987               0
UI   AS   2    No_Ship   10987               0
UI   BT   1    No_Ship   4302                0
UI   BT   2    No_Ship   4302                0
UI   CH   1    No_Ship   12644               0
UI   CH   2    No_Ship   12644               0
UI   EA   1    No_Ship   12794               0
UI   EA   2    No_Ship   12794               0
UI   GY   1    No_Ship   4487                0
UI   GY   2    No_Ship   4487                0
UI   IN   1    No_Ship   9216                0
UI   IN   2    No_Ship   9216                0
UI   JA   1    No_Ship   12033               0
UI   JA   2    No_Ship   12033               0
UI   LA   1    No_Ship   5017                0
UI   LA   2    No_Ship   5017                0
UI   MX   1    No_Ship   5479                0
UI   MX   2    No_Ship   5479                0
UI   NE   1    Panamax   2035                35000
UI   NE   2    Panamax   2035                35000
UI   NI   1    Panamax   1077                35000
UI   NI   2    Panamax   1077                35000
UI   OW   1    No_Ship   4367                0
UI   OW   2    No_Ship   4367                0
UI   PS   1    No_Ship   4056                0
UI   PS   2    No_Ship   4056                0
UI   RM   1    No_Ship   6218                0
UI   RM   2    No_Ship   6218                0
UI   SC   1    No_Ship   5094                0
UI   SC   2    No_Ship   5094                0
UI   TL   1    No_Ship   5595                0
UI   TL   2    No_Ship   5595                0
UI   UE   1    No_Ship   0                   0
UI   UE   2    No_Ship   0                   0
UI   UG   1    No_Ship   0                   0
UI   UG   2    No_Ship   0                   0
UI   UI   1    No_Ship   0                   0
UI   UI   2    No_Ship   0                   0
UI   UN   1    No_Ship   0                   0
UI   UN   2    No_Ship   0                   0
UA   AS   1    No_Ship   6372                0
UA   AS   2    Panamax   6372                70000
UA   BT   1    No_Ship   10032               0
UA   BT   2    No_Ship   10032               0
UA   CH   1    No_Ship   4830                0
UA   CH   2    Panamax   4830                70000
UA   EA   1    No_Ship   4087                0
UA   EA   2    Panamax   4087                70000
UA   GY   1    No_Ship   10207               0
UA   GY   2    No_Ship   10207               0
UA   IN   1    No_Ship   7735                0
UA   IN   2    Panamax   7735                70000
UA   JA   1    No_Ship   3363                0
UA   JA   2    Panamax   3363                70000
UA   LA   1    No_Ship   7941                0
UA   LA   2    No_Ship   7941                0
UA   MX   1    No_Ship   3997                0
UA   MX   2    No_Ship   3997                0
UA   NE   1    No_Ship   7464                0
UA   NE   2    No_Ship   7464                0
UA   NI   1    No_Ship   8356                0
UA   NI   2    No_Ship   8356                0
UA   OW   1    No_Ship   9967                0
UA   OW   2    No_Ship   9967                0
UA   PS   1    No_Ship   9507                0
UA   PS   2    No_Ship   9507                0
UA   RM   1    No_Ship   11452               0
UA   RM   2    No_Ship   11452               0
UA   SC   1    No_Ship   9507                0
UA   SC   2    No_Ship   9507                0
UA   TL   1    No_Ship   10829               0
UA   TL   2    No_Ship   10829               0
UA   UE   1    No_Ship   0                   0
UA   UE   2    No_Ship   0                   0
UA   UG   1    No_Ship   0                   0
UA   UG   2    No_Ship   0                   0
UA   UI   1    No_Ship   0                   0
UA   UI   2    No_Ship   0                   0
UA   UN   1    No_Ship   0                   0
UA   UN   2    No_Ship   0                   0
UW   AS   1    Panamax   7272                70000
UW   AS   2    Panamax   7272                70000
UW   BT   1    No_Ship   8910                0
UW   BT   2    No_Ship   8910                0
UW   CH   1    Panamax   5740                70000
UW   CH   2    Panamax   5740                70000
UW   EA   1    Panamax   5011                70000
UW   EA   2    Panamax   5011                70000
UW   GY   1    No_Ship   9085                0
UW   GY   2    No_Ship   9085                0
UW   IN   1    Panamax   8635                70000
UW   IN   2    Panamax   8635                70000
UW   JA   1    Panamax   4283                70000
UW   JA   2    Panamax   4283                70000
UW   LA   1    No_Ship   6819                0
UW   LA   2    Panamax   6819                70000
UW   MX   1    No_Ship   2903                0
UW   MX   2    No_Ship   2903                0
UW   NE   1    No_Ship   6342                0
UW   NE   2    Panamax   6342                35000
UW   NI   1    No_Ship   7234                0
UW   NI   2    No_Ship   7234                0
UW   OW   1    No_Ship   8845                0
UW   OW   2    No_Ship   8845                0
UW   PS   1    No_Ship   8385                0
UW   PS   2    No_Ship   8385                0
UW   RM   1    No_Ship   10330               0
UW   RM   2    No_Ship   10330               0
UW   SC   1    No_Ship   8385                0
UW   SC   2    No_Ship   8385                0
UW   TL   1    No_Ship   9707                0
UW   TL   2    No_Ship   9707                0
UW   UE   1    No_Ship   0                   0
UW   UE   2    No_Ship   0                   0
UW   UG   1    No_Ship   0                   0
UW   UG   2    No_Ship   0                   0
UW   UI   1    No_Ship   0                   0
UW   UI   2    No_Ship   0                   0
UW   UN   1    No_Ship   0                   0
UW   UN   2    No_Ship   0                   0
VT   AS   1    Panamax   1532                70000
VT   AS   2    Panamax   1532                70000
VT   BT   1    Panamax   9675                70000
VT   BT   2    Panamax   9675                70000
VT   CH   1    Panamax   637                 70000
VT   CH   2    Panamax   637                 70000
VT   EA   1    Panamax   1800                70000
VT   EA   2    Panamax   1800                70000
VT   GY   1    Panamax   9850                70000
VT   GY   2    Panamax   9850                70000
VT   IN   1    Panamax   2895                70000
VT   IN   2    Panamax   2895                70000
VT   JA   1    Panamax   2126                70000
VT   JA   2    Panamax   2126                70000
VT   LA   1    Panamax   10462               70000
VT   LA   2    Panamax   10462               70000
VT   MX   1    Panamax   8680                45000
VT   MX   2    Panamax   8680                45000
VT   NE   1    No_Ship   10963               0
VT   NE   2    No_Ship   10963               0
VT   NI   1    No_Ship   11429               0
