COMPOSITE TABLE:
i  tc yr    InternationalDemand
RM 1  2038  16.00
RM 1  2039  16.00
RM 1  2040  16.00
RM 1  2041  16.00
RM 1  2042  16.00
RM 1  2043  16.00
RM 1  2044  16.00
RM 1  2045  16.00
RM 1  2046  16.00
RM 1  2047  16.00
RM 1  2048  16.00
RM 1  2049  16.00
RM 1  2050  16.00
SC 1  1990  3.00
SC 1  2001  3.30
SC 1  2002  3.00
SC 1  2003  2.80
SC 1  2004  3.10
SC 1  2005  3.70
SC 1  2006  2.90
SC 1  2007  3.10
SC 1  2008  2.94
SC 1  2009  2.08
SC 1  2010  2.90
SC 1  2011  2.67
SC 1  2012  2.63
SC 1  2013  2.84
SC 1  2014  2.95
SC 1  2015  3.10
SC 1  2016  2.76
SC 1  2017  2.90
SC 1  2018  3.52
SC 1  2019  3.01
SC 1  2020  2.21
SC 1  2021  2.21
SC 1  2022  2.31
SC 1  2023  2.31
SC 1  2024  2.31
SC 1  2025  2.30
SC 1  2026  2.29
SC 1  2027  2.27
SC 1  2028  2.26
SC 1  2029  2.24
SC 1  2030  2.23
SC 1  2031  2.22
SC 1  2032  2.20
SC 1  2033  2.19
SC 1  2034  2.18
SC 1  2035  2.16
SC 1  2036  2.15
SC 1  2037  2.14
SC 1  2038  2.12
SC 1  2039  2.11
SC 1  2040  2.10
SC 1  2041  2.09
SC 1  2042  2.07
SC 1  2043  2.06
SC 1  2044  2.05
SC 1  2045  2.04
SC 1  2046  2.02
SC 1  2047  2.01
SC 1  2048  2.00
SC 1  2049  1.99
SC 1  2050  1.98
TL 1  1990  7.50
TL 1  2001  8.60
TL 1  2002  6.10
TL 1  2003  6.60
TL 1  2004  6.20
TL 1  2005  8.30
TL 1  2006  8.30
TL 1  2007  8.50
TL 1  2008  6.43
TL 1  2009  4.50
TL 1  2010  6.36
TL 1  2011  8.08
TL 1  2012  6.63
TL 1  2013  4.61
TL 1  2014  3.78
TL 1  2015  3.52
TL 1  2016  2.88
TL 1  2017  2.88
TL 1  2018  3.01
TL 1  2019  2.91
TL 1  2020  2.51
TL 1  2021  2.91
TL 1  2022  2.91
TL 1  2023  2.81
TL 1  2024  2.81
TL 1  2025  2.81
TL 1  2026  2.80
TL 1  2027  2.79
TL 1  2028  2.77
TL 1  2029  2.76
TL 1  2030  2.75
TL 1  2031  2.74
TL 1  2032  2.73
TL 1  2033  2.72
TL 1  2034  2.71
TL 1  2035  2.70
TL 1  2036  2.69
TL 1  2037  2.68
TL 1  2038  2.66
TL 1  2039  2.65
TL 1  2040  2.64
TL 1  2041  2.63
TL 1  2042  2.62
TL 1  2043  2.61
TL 1  2044  2.60
TL 1  2045  2.59
TL 1  2046  2.58
TL 1  2047  2.57
TL 1  2048  2.56
TL 1  2049  2.55
TL 1  2050  2.54
AS 2  1990  3.20
AS 2  2001  15.50
AS 2  2002  16.50
AS 2  2003  15.20
AS 2  2004  18.30
AS 2  2005  20.60
AS 2  2006  24.10
AS 2  2007  32.40
AS 2  2008  32.05
AS 2  2009  33.09
AS 2  2010  41.64
AS 2  2011  44.94
AS 2  2012  46.73
AS 2  2013  50.59
AS 2  2014  53.27
AS 2  2015  63.97
AS 2  2016  72.30
AS 2  2017  79.42
AS 2  2018  91.87
AS 2  2019  117.09
AS 2  2020  130.99
AS 2  2021  144.72
AS 2  2022  149.52
AS 2  2023  152.64
AS 2  2024  152.05
AS 2  2025  150.00
AS 2  2026  152.61
AS 2  2027  155.26
AS 2  2028  157.96
AS 2  2029  160.71
AS 2  2030  163.50
AS 2  2031  166.34
AS 2  2032  169.23
AS 2  2033  172.18
AS 2  2034  175.17
AS 2  2035  178.22
AS 2  2036  181.31
AS 2  2037  184.47
AS 2  2038  187.67
AS 2  2039  190.93
AS 2  2040  194.25
AS 2  2041  197.63
