COMPOSITE TABLE:
M4     M11    tc     yr     hclworld
2      1      1      2004   109.79
3      1      1      2004   3.35
4      1      1      2004   119.38
1      2      1      2004   3.61
2      2      1      2004   2.28
3      2      1      2004   16.11
4      2      1      2004   22.01
1      3      1      2004   68.55
2      3      1      2004   2.43
3      3      1      2004   0.71
4      3      1      2004   73.74
1      4      1      2004   36.05
2      4      1      2004   11.68
3      4      1      2004   0.18
4      4      1      2004   47.90
1      5      1      2004   15.05
2      5      1      2004   0.00
3      5      1      2004   0.11
4      5      1      2004   15.16
1      6      1      2004   0.00
2      6      1      2004   0.55
3      6      1      2004   1.63
4      6      1      2004   2.23
1      7      1      2004   4.24
2      7      1      2004   84.16
3      7      1      2004   0.77
4      7      1      2004   89.18
1      8      1      2004   37.03
2      8      1      2004   0.00
3      8      1      2004   28.55
4      8      1      2004   65.89
1      9      1      2004   0.33
2      9      1      2004   9.92
3      9      1      2004   0.00
4      9      1      2004   10.25
1      10     1      2004   17.60
2      10     1      2004   81.74
3      10     1      2004   3.37
4      10     1      2004   103.51
1      11     1      2004   188.75
2      11     1      2004   302.55
3      11     1      2004   54.78
4      11     1      2004   549.23
1      1      2      2004   30.59
2      1      2      2004   88.52
3      1      2      2004   9.07
4      1      2      2004   128.20
1      2      2      2004   13.38
2      2      2      2004   5.16
3      2      2      2004   7.45
4      2      2      2004   25.99
1      3      2      2004   0.78
2      3      2      2004   0.00
3      3      2      2004   0.36
4      3      2      2004   1.21
1      4      2      2004   2.09
2      4      2      2004   5.62
3      4      2      2004   0.00
4      4      2      2004   7.77
1      5      2      2004   0.97
2      5      2      2004   0.07
3      5      2      2004   0.04
4      5      2      2004   1.10
1      6      2      2004   9.23
2      6      2      2004   12.79
3      6      2      2004   4.45
4      6      2      2004   26.57
1      7      2      2004   0.00
2      7      2      2004   6.28
3      7      2      2004   0.00
4      7      2      2004   6.28
1      8      2      2004   0.00
2      8      2      2004   0.00
3      8      2      2004   0.00
4      8      2      2004   0.00
1      9      2      2004   0.00
2      9      2      2004   0.00
3      9      2      2004   0.00
4      9      2      2004   0.00
1      10     2      2004   0.22
2      10     2      2004   17.31
3      10     2      2004   0.11
4      10     2      2004   17.64
1      11     2      2004   57.26
2      11     2      2004   135.74
3      11     2      2004   21.49
4      11     2      2004   214.76
1      1      1      2005   3.39
2      1      1      2005   112.77
