,,,,,,Bbl/d,Mcf/d,Bbl/d,Mcf/d,,,,,,,,,,Bbl/year,Mcf/year,Bbl/year,Mcf/year
field_name,field_nickname,evaluation_unit,oil_or_gas,water_depth_ft,field_size_class,initial_oil_prod_rate_day,initial_gas_prod_rate_day,max_oil_production_rate_day,max_gas_production_rate_day,oil_decline_rate,gas_decline_rate,predecline_prod_fraction_oil,predecline_prod_fraction_gas,platform_type,discovery_year,year_production_start,ramp_up_years,hyper_decline_coef,initial_oil_prod_rate,initial_gas_prod_rate,max_oil_production_rate,max_gas_production_rate
EW994,Boomslang,CGOM0204,both,1023.622,6,1141.644,3159.453,1141.644,3159.453,0.25,0.3,0.5,0.5,SS,1998,2035,2,1,416700.06,1153200.345,416700.06,1153200.345
GC778,Mad Dog West & North Water Injection,CGOM0816,oil,4589.895,12,11977.53,0,34057.53,0,0.25,0.3,0.5,0.5,SS,1998,2027,2,1,4371798.45,0,12430998.45,0
PN975,G20603,WGOM0002,gas,154.1995,6,203.8356,1837.809,324.9315,3747.946,0.25,0.3,0.5,0.5,FP,1998,2040,2,1,74399.994,670800.285,118599.9975,1368000.29
ST320,G12983,CGOM0002,gas,495.4068,6,341.9178,2814.247,469.0411,4765.481,0.25,0.3,0.5,0.5,SS,1999,2043,2,1,124799.997,1027200.155,171200.0015,1739400.565
HI156p2,G18939,WGOM0002,gas,55.77428,5,215.8904,1619.178,366.5754,3471.782,0.25,0.3,0.5,0.5,FP,1999,2045,2,1,78799.996,590999.97,133800.021,1267200.43
SS097,G18006,CGOM0002,gas,9.84252,6,235.0685,1783.562,404.6576,3529.316,0.25,0.3,0.5,0.5,FP,2000,2042,2,1,85800.0025,651000.13,147700.024,1288200.34
GC153p2,G14670,CGOM0408,both,1459.974,6,4745.205,0,4745.205,0,0.25,0.3,0.5,0.5,SS,1999,2043,2,1,1731999.825,0,1731999.825,0
MC119,G14629,CGOM0816,gas,2680.446,5,289.589,2485.48,370.685,4091.508,0.25,0.3,0.5,0.5,SS,1999,2041,2,1,105699.985,907200.2,135300.025,1493400.42
EI059,G17961,CGOM0002,gas,22.96588,6,246.5754,1933.151,420.8219,3866.302,0.25,0.3,0.5,0.5,FP,1999,2045,2,1,90000.021,705600.115,153599.9935,1411200.23
MC541,G18255,CGOM0408,both,2030.84,6,335.0685,2478.905,475.8904,4038.905,0.25,0.3,0.5,0.5,SS,1999,2040,2,1,122300.0025,904800.325,173699.996,1474200.325
MP282,G15396,CGOM0002,gas,357.6115,6,229.863,1936.439,380.274,3923.837,0.25,0.3,0.5,0.5,FP,1999,2044,2,1,83899.995,706800.235,138800.01,1432200.505
MC620,G13683,CGOM0408,gas,1820.866,5,294.2466,2464.11,391.7809,4071.782,0.25,0.3,0.5,0.5,SS,1999,2040,2,1,107400.009,899400.15,143000.0285,1486200.43
MP074,G21140,CGOM0002,gas,141.0761,6,216.9863,1993.973,338.3562,4024.111,0.25,0.3,0.5,0.5,FP,1999,2040,2,1,79199.9995,727800.145,123500.013,1468800.515
HIA434,HIA 434 G15798,WGOM0002,gas,141.0761,5,192.6027,1643.836,314.2466,3313.973,0.25,0.3,0.5,0.5,FP,1999,2043,2,1,70299.9855,600000.14,114700.009,1209600.145
VK338,G16539,CGOM0002,gas,127.9528,6,217.5343,1763.836,364.9315,3529.316,0.25,0.3,0.5,0.5,FP,1999,2042,2,1,79400.0195,643800.14,133199.9975,1288200.34
HI073,G18929,WGOM0002,both,29.52756,6,247.6712,1625.754,450.137,3096.987,0.25,0.3,0.5,0.5,FP,1999,2040,2,1,90399.988,593400.21,164300.005,1130400.255
HIA559,HIA 559 G15803,WGOM0002,gas,213.2546,5,194.5206,1749.042,307.1233,3532.604,0.25,0.3,0.5,0.5,FP,1999,2045,2,1,71000.019,638400.33,112100.0045,1289400.46
MC1002,G16670,CGOM1624,gas,7267.061,6,300.274,2801.097,381.9178,4847.672,0.25,0.3,0.5,0.5,SS,1999,2043,2,1,109600.01,1022400.405,139399.997,1769400.28
GB485,G17376,WGOM0816,gas,2778.871,6,309.0411,3023.014,381.9178,5242.193,0.25,0.3,0.5,0.5,SS,1999,2040,2,1,112800.0015,1103400.11,139399.997,1913400.445
MC553,G21175,CGOM0816,gas,4491.47,6,296.4384,2985.206,347.6712,5053.152,0.25,0.3,0.5,0.5,SS,1999,2040,2,1,108200.016,1089600.19,126899.988,1844400.48
MC815,G18294,CGOM1624,gas,5324.803,6,363.2877,2781.371,516.4384,4640.549,0.25,0.3,0.5,0.5,SS,1999,2042,2,1,132600.0105,1015200.415,188500.016,1693800.385
GC114,Gretchen,CGOM0816,gas,2683.727,5,108.7671,3305.754,108.7671,3305.754,0.25,0.3,0.5,0.5,SS,1999,2034,2,1,39699.9915,1206600.21,39699.9915,1206600.21
MC635,G14643,CGOM0816,gas,3238.189,6,314.5206,2633.425,411.2329,4296.988,0.25,0.3,0.5,0.5,SS,1999,2042,2,1,114800.019,961200.125,150100.0085,1568400.62
PL016,G21121,CGOM0002,both,49.2126,6,234.5205,1704.658,410.9589,3333.699,0.25,0.3,0.5,0.5,FP,2000,2041,2,1,85599.9825,622200.17,149999.9985,1216800.135
EB167,G20682,WGOM0002,both,396.9816,6,248.4931,1763.836,440.548,3433.973,0.25,0.3,0.5,0.5,FP,2000,2042,2,1,90699.9815,643800.14,160800.02,1253400.145
HIA473,HIA 473 G20671,WGOM0002,gas,160.7612,6,183.0137,1915.069,267.9452,4002.74,0.25,0.3,0.5,0.5,FP,2000,2045,2,1,66800.0005,699000.185,97799.998,1461000.1
CA024,G19870,CGOM0002,gas,55.77428,5,206.0274,1663.562,342.1918,3312.33,0.25,0.3,0.5,0.5,FP,2000,2044,2,1,75200.001,607200.13,124900.007,1209000.45
AT133,G16864,CGOM0816,gas,3435.039,6,307.3973,2930.96,384.9315,5053.152,0.25,0.3,0.5,0.5,SS,2000,2043,2,1,112200.0145,1069800.4,140499.9975,1844400.48
GI034,G14553,CGOM0002,gas,75.45932,6,202.7397,1704.658,332.6027,3412.604,0.25,0.3,0.5,0.5,FP,1999,2040,2,1,73999.9905,622200.17,121399.9855,1245600.46
EB206,G18985,WGOM0204,both,974.4095,6,384.6575,2702.466,568.7671,4418.631,0.25,0.3,0.5,0.5,SS,2000,2038,2,1,140399.9875,986400.09,207599.9915,1612800.315
SS339,G18029,CGOM0002,gas,351.0499,6,204.3836,1877.261,320.8219,3825.207,0.25,0.3,0.5,0.5,FP,2000,2044,2,1,74600.014,685200.265,117099.9935,1396200.555
SP047,G21137,CGOM0002,gas,213.2546,6,215.0685,1895.343,341.6438,3785.754,0.25,0.3,0.5,0.5,FP,2001,2040,2,1,78500.0025,691800.195,124699.987,1381800.21
HIA348,HIA 348 G22273,WGOM0002,gas,265.748,6,187.9452,1972.603,273.4247,4121.097,0.25,0.3,0.5,0.5,FP,2001,2043,2,1,68599.998,720000.095,99800.0155,1504200.405
HIA287p2,HIA 287 G18963,WGOM0002,gas,180.4462,6,218.3562,1875.617,440.548,3808.768,0.25,0.3,0.5,0.5,FP,2001,2043,2,1,79700.013,684600.205,160800.02,1390200.32
GC283,G16728,CGOM0408,both,2496.719,6,375.8904,2592.33,557.5343,4208.22,0.25,0.3,0.5,0.5,SS,2001,2041,2,1,137199.996,946200.45,203500.0195,1536000.3
WC179,G19705,WGOM0002,gas,49.2126,5,180.274,1596.165,287.3973,3216.987,0.25,0.3,0.5,0.5,FP,2001,2040,2,1,65800.01,582600.225,104900.0145,1174200.255
AC903,Trident,WGOM2400,oil,9685.039,12,9335.343,13545.21,37820,31561.65,0.25,0.3,0.5,0.5,SS,2001,2039,2,1,3407400.195,4944001.65,13804300,11520002.25
