,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.128,0.045,0.035,0.105,0.127,0.13,0.117,0.159,0.151,0.15,0.139,0.135,0.151,0.18,0.187,0.205,0.227,0.232,0.213,0.196,0.172,0.164,0.161,0.146,0.127,0.134,0.142,0.134,0.128,0.112,0.092,0.076,0.07,0.059
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,9.561,9.155,7.901,6.959,5.926,5.845,5.803,6.149,5.689,4.492,5.303,5.002,5.439,5.883,6.45,6.781,7.224,8.543,8.682,8.719,8.296,7.857,7.308,7.274,7.768,8.85,6.749,5.79,5.585,5.454,4.491,4.082,3.726,3.633
28,0.002,0.002,0.001,0,0.001,0.001,0,0,0.001,0,0,0.001,0.008,0.008,0.006,0.003,0.004,0.02,0.016,0.022,0.017,0.029,0.018,0.016,0.013,0.007,0.005,0.011,0.004,0.001,0,0,0,0
29,0.003,0.004,0.005,0.005,0.005,0.005,0.004,0.004,0.003,0.002,0.001,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0
30,0.152,0.147,0.135,0.121,0.118,0.097,0.115,0.169,0.161,0.138,0.145,0.403,0.929,2.902,7.889,16.027,19.078,18.319,15.776,13.489,11.925,11.9,14.342,18.03,18.772,17.879,13.132,11.094,11.544,12.648,9.937,10.251,12.176,14.703
31,2.066,2.054,1.937,1.793,1.554,1.424,1.394,1.298,1.12,0.939,1.016,0.913,0.839,0.788,0.741,0.681,0.641,0.622,0.735,0.793,0.837,0.883,0.952,0.581,0.548,0.5,0.431,0.412,0.43,0.421,0.364,0.348,0.327,0.365
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
