stsub,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34
28,8.49,6.793,4.483,3.22,3.192,5.021,5.613,5.543,4.411,3.159,2.194,2.754,4.6,4.674,1.531,1.067,0.834,0.675,0.758,0.62,0.7,0.822,0.745,0.552,0.412,0.468,0.34,0.153,0.095,0.144,0.139,0.109,0.052,0.056
29,0,0.015,0.027,0.014,0.008,0.016,0.022,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.002,0.001,0.001,0.001,0.001,0.001,0,0,0,0
30,13.483,13.553,13.454,14.077,13.026,11.859,11.043,10.191,10.655,9.888,9.512,9.511,10.004,9.83,9.133,9.233,9.407,10.914,12.009,12.738,11.321,8.165,8.005,7.252,6.25,5.115,4.511,4.327,3.394,3.535,3.096,3.282,4.326,4.395
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,161.397,169.886,173.29,153.341,169.606,174.802,147.931,135.138,122.15,107.967,120.538,96.034,97.222,104.112,120.47,126.762,128.153,104.112,104.746,117.523,103.848,88.968,81.534,75.849,77.268,75.286,71.107,73.325,64.036,59.839,52.889,46.649,73.265,50.436
36,49.718,45.504,52.717,27.286,29.264,28.415,25.05,25.066,26.313,26.804,29.859,29.743,28.013,26.38,26.023,26.844,27.02,25.81,24.345,24.488,25.969,25.479,27.141,25.998,31.482,45.325,48.994,44.709,52.742,48.243,35.221,33.339,61.696,59.161
37,6.036,6.51,6.006,5.256,6.031,5.327,5.851,4.839,5.588,6.689,8.61,18.456,27.825,27.644,37.903,46.769,46.939,44.879,39.852,34.067,25.037,20.95,16.962,14.522,12.15,10.24,7.261,5.659,5.268,5.107,4.702,0,4.285,0
