,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34
28,0.067,0.065,0.032,0.006,0.085,0.155,0.002,0.025,0.088,0.043,0.024,0.086,0.47,0.692,0.345,0.164,0.163,0.509,0.74,0.624,0.459,0.701,0.679,0.473,0.323,0.226,0.213,0.262,0.153,0.051,0.007,0,0.005,0.005
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2.358,1.825,2.314,2.444,1.885,1.874,1.757,2.232,2.149,1.982,0.164,0.099,0.592,0.04,0.044,0.04,0.04,0.07,0.083,0.066,0.066,0.055,0.052,0.053,0.048,0.04,0.035,0.036,0.019,0.027,0.015,0.019,0.014,0.012
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0.049,0.113,0.116,0.112,0.089,0.085,0.079,0.083,0.183,0.211,0.225,0.187,0.175,0.166,0.134,0.121,0.108,0.087,0.08,0.089,0.102,0.106,0.098,0.12,0.127
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.115,0.054,0.039,0.029,0.038,0.033,0.035,0.035,0.032,0.021,0.017,0.024,0.025,0.013,0.018,0.031,0.033,0.047,0.084,0.074,0.058,0.055,0.08,0.096,0.078,0.089,0.048,0.123,0.037,0.052,0.041,0,0.049,0.054
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.175,0.2,0.254,0.371,0.382,0.333,0.328,0.301,0.318,0.344,0.31,0.316,0.425,0.703,0.949,1.068,1.321,1.174,0.678,1.504,1.644,1.26,0.851,0.882,1.011,0.971,0.91,0.792,0.477,0,0.752,0.611,0.665,0.746
40,3.682,3.149,3.473,3.265,2.783,2.88,2.603,2.581,2.56,2.441,2.37,2.301,2.416,2.284,2.328,2.263,2.6,2.72,2.482,2.665,2.592,5.017,14.571,99.253,417.831,891.778,1314.468,1682.241,2293.133,2549.653,2284.187,2056.7,1988.629,1500.325
41,3.218,2.627,2.797,3.267,3.079,4.608,7.917,12.14,13.906,11.44,10.986,11.349,11.458,9.91,12.146,15.597,34.011,85.694,200.533,323.284,399.616,485,592.373,623.084,744.01,858.577,962.663,995.476,1055.155,1091.375,1011.13,1088.431,1089.992,1234.493
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
