,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,3.65,2.753,4.031,4.402,5.511,4.449,4.183,4.154,4.211,4.278,4.881,4.108,2.447,2.245,2.439,1.942,1.675,1.469,1.976,0.201,1.247,1.051,0.073,0.026,0.014,0.029,0.021,0.028,0.03,0.032,0.033,0.05,0.051,0.027
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0.377,0.44,0.3,0.049,1.369,1.004,0.705,0.834,0.847,0.772,0.693,0.589,0.168,0.671,0.843,0.563,0.639,0.543,0.518,0.473,1.188,0.564,0.238,0.441,1.183,0.982,0.684,0,2.177,0
20,5.995,6.304,6.009,6.024,5.569,4.023,3.282,2.471,5.049,3.199,2.649,2.573,2.36,2.353,1.976,2.188,2.238,2.212,2.101,2.125,2.039,2.033,1.925,2.138,2.53,2.271,1.809,2.806,2.694,2.807,2.327,2.086,2.312,2.172
21,61.505,61.815,55.279,60.755,54.036,54.446,40.999,32.695,63.294,35.17,35.931,53.299,57.674,58.911,47.125,41.808,37.034,43.443,41.466,35.397,35.487,39.163,36.974,37.714,38.966,32.043,28.871,27.188,24.816,22.701,16.206,14.547,17.478,15.804
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,19.448,17.389,14.909,13.145,12.984,12.159,12.448,15.138,11.836,10.328,11.041,9.218,9.916,7.739,7.821,8.738,9.059,8.582,5.146,5.072,4.892,5.714,6.054,6.462,5.966,5.224,4.95,4.905,4.7,3.541,2.357,2.952,2.932,3.274
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3.695,4.929,4.255,3.14,2.668,3.68,3.273,4.566,5.37,5.98,4.791,5.01,4.726,5.027,1.699,1.383,1.534,2.637,4.333,3.755,2.49,5.177,5.104,6.191,5.329,6.58,3.955,2.758,2.198,3.428,2.254,2.52,2.022,2.093
28,0.003,0,0,0.006,0.001,0.002,0,0.003,0.01,0.003,0.008,0.007,0.009,0.018,0.007,0,0,0,0,0,0,0,0,0,0.002,0.01,0,0.007,0.014,0.002,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0,0,0,0,0,0,0,0,0
30,7.567,7.286,6.85,6.198,5.668,5.614,5.872,5.812,6.124,6.039,6.191,6.285,6.543,6.164,6.334,6.844,6.62,0,6.595,6.725,5.847,4.972,4.895,4.926,4.516,3.879,3.504,3.542,3.253,3.327,2.895,3.098,2.756,2.245
31,0.121,0.168,0.229,0.277,0.32,0.264,0.191,0.153,0.132,0.106,0.115,0.112,0.108,0.124,0.126,0.112,0.096,0.082,0.068,0.054,0.049,0.05,0.04,0.048,0.041,0.062,0.032,0.031,0.023,0.021,0.012,0.001,0,0
32,0,0,0,0,0,0,0.011,0.009,0.009,0.008,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.005,0.012,0.012,0.004,0.004
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,28.957,30.439,20.99,20.302,21.465,22.21,21.005,21.884,19.372,18.659,23.138,19.458,19.908,21.963,19.963,24.697,25.518,16.634,15.666,21.865,20.271,18.682,16.735,16.013,16.458,16.101,15.959,18.415,17.013,19.022,19.358,19.076,23.36,27.644
36,3.759,3.501,3.077,2.753,3.038,2.793,2.028,1.775,1.152,1.086,1.384,1.193,1.155,1.094,0.906,0.88,1.05,1.013,0.967,0.92,0.999,0.931,1.28,3.332,9.381,12.553,8.97,9.975,9.204,11.483,11.388,11.567,12.241,12.915
37,0,0,0,0,0,0,0,0,0,0,0.044,0.061,0.111,0.122,0.097,0.146,0.113,0.117,0.142,0.124,0.178,0.2,0.171,0.163,0.174,0.082,0.102,0.102,0.108,0.123,0.089,0,0.165,0.139
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,23.962,26.589,26.329,24.98,23.072,20.647,20.994,19.961,19.741,19.242,20.2,20.128,18.589,17.018,16.496,16.579,16.918,18.148,14.543,18.035,19.327,14.368,13.781,12.101,11.103,10.293,10.562,9.911,8.423,0,7.719,6.745,7.908,8.496
40,4.224,4.305,4.236,3.516,4.301,4.555,3.932,4.281,4.123,4.548,4.16,4.141,3.999,3.328,3.099,3.193,3.048,3.288,2.811,2.897,2.498,2.353,2.304,2.218,2.092,1.724,1.649,1.582,1.491,3.156,2.133,6.436,6.178,30.114
41,52.003,47.129,41.361,36.744,33.2,30.718,29.74,26.382,29.424,24.966,24.352,25.389,20.972,21.492,20.904,22.505,0,22.362,23.159,25.169,24.668,31.763,42.576,44.227,56.83,51.049,37.915,31.862,33.249,38.908,37.376,30.848,36.042,42.176
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.417,0.179,0.18,0.248,0.264,0.155,0.172,0.126,0.28,0.188,0.21,0.165,0.228,0.215,0.374,0.281,0.649,0.226,0.443,0.535,0.397,0.466,0.599,0.823,0.945,0.711,0.626,0.559,0.437,0.552,0.381,0.375,0.514,0.339
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0.011,0.009,0.011,0.019,0.012,0.011,0.008,0.015,0.007,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0,0.001,0.003,0.003,0.001,0.008,0.002,0,0,0,0,0,0.001,0.002,0.002,0.001,0.001
47,0.051,0.059,0.03,0.019,0.153,0.035,0.029,0.023,0.016,0.006,0.005,0.009,0.003,0,0.007,0.01,0.049,0.082,0.074,0.066,0.043,0.041,0.074,0.081,0.096,0.072,0.022,0.018,0.02,0.021,0.018,0,0.012,0
48,1.946,1.853,1.566,1.305,1.144,1.084,0.936,0.769,0.625,0.656,0.533,0.471,0.415,0.371,0.277,0.421,0.399,0.346,0.341,0.418,0.383,0.36,0.821,0.59,0.631,0.436,0.376,0.773,1.04,2.185,1.007,0.76,1.78,0.724
49,12.317,12.028,10.174,9.19,8.443,7.333,6.676,6.813,6.554,5.917,6.355,5.745,5.689,6.323,7.328,7.171,6.002,5.328,5.374,4.594,4.404,4.542,4.321,4.871,4.332,4.064,3.484,3.041,3.442,3.247,2.333,1.959,3.161,2.309
50,28.88,23.705,22.168,18.928,17.341,17.551,16.606,14.379,13.646,13.397,13.833,13.115,15.262,15.226,13.024,11.936,10.848,12.839,12.738,11.51,12.542,11.856,12.024,10.188,11.248,10.575,8.051,7.296,6.756,7.486,5.779,5.221,4.851,6.589
51,9.444,8.317,7.833,7.306,6.605,5.187,4.989,4.944,3.655,3.593,3.495,3.186,4.707,2.765,2.872,3.15,2.782,2.559,3.255,2.912,3.165,4.002,2.97,2.218,3.019,2.437,2.089,2.405,2.01,2.037,1.311,1.119,1.0855,1.329
