,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34
47,0.502,0.482,0.501,0.413,0.415,0.381,0.376,0.366,0.286,0.342,0.344,0.35,0.274,0.31,0.36,0.323,0.19,0.282,0.334,0.266,0.254,0.289,0.365,0.329,0.326,0.292,0.252,0.266,0.206,0.207,0.15,0.134,0.144,0
48,7.002,6.812,6.052,5.518,4.906,4.704,4.385,3.975,3.503,3.188,3.24,2.979,3.271,3.679,3.345,3.497,4.22,3.691,3.855,3.249,2.783,2.711,2.981,2.852,2.625,2.13,1.767,1.929,2.323,2.534,1.696,1.477,1.561,1.345
49,18.737,17.556,16.303,15.024,13.252,12.037,11.37,10.684,10.32,8.952,9.328,9.224,8.868,9.36,10.096,9.331,8.819,8.178,8.591,8.384,7.959,7.516,6.956,6.967,6.733,6.162,5.361,5.99,7.815,7.414,5.671,4.505,4.952,4.832
50,43.131,40.678,38.266,35.483,32.203,31.161,31.694,31.377,28.217,25.391,25.783,24.195,24.029,25.417,25.42,24.077,23.37,24.107,24.601,23.705,27.454,23.533,23.034,24.505,25.093,23.267,19.243,17.878,17.334,15.806,13.601,13.338,12.764,12.638
51,15.282,13.715,12.654,12.202,10.81,9.743,9.749,9.729,9.28,8.261,8.247,9.004,10.553,9.906,9.488,9.186,8.341,8.283,7.746,6.857,6.201,6.272,5.498,5.307,5.615,5.267,4.451,3.988,3.874,3.596,2.815,2.738,2.62,2.533
52,7.053,7.269,7.069,6.018,5.554,4.939,4.311,6.897,5.617,4.746,4.383,3.613,3.117,3.025,2.856,2.634,2.432,2.284,1.979,1.887,1.747,1.58,1.529,1.693,1.901,1.852,1.889,1.85,1.467,1.256,1.066,0.943,0.92,0.836
53,36.65,34.871,33.313,29.782,26.92,24.244,21.935,19.681,17.995,15.533,14.863,13.401,12.289,11.67,10.566,9.974,9.916,9.476,9.086,8.571,8.665,8.006,8.779,9.52,9.73,9.2,8.486,8.186,8.212,8.156,7.234,7.077,7.396,6.984
54,21.056,20.953,18.516,17.116,15.754,15.021,14.277,14.115,12.949,11.204,11.272,10.479,9.182,8.439,8.219,7.758,7.6,7.207,7.303,6.925,6.79,6.922,7.041,7.472,8.25,7.899,6.773,6.432,6.165,6.074,5.217,5.372,5.558,5.377
55,16.279,17.004,16.859,16.463,15.767,15.465,14.802,14.786,13.704,11.782,11.622,11.166,10.628,10.291,9.724,9.075,9.799,9.932,10.563,10.464,10.172,9.644,10.073,10.247,10.921,10.488,8.898,8.183,7.618,6.975,5.767,5.311,5.17,5.157
56,136.659,132.585,124.661,120.422,117.569,113.372,110.682,111.177,104.065,90.694,84.991,80.743,76.216,73.834,72.345,73.62,73.741,71.798,73.075,71.016,71.243,72.159,78.487,82.737,85.873,80.331,71.594,66.362,65.023,62.1,51.646,48,49.32,50.203
57,145.652,145.947,136.903,127.622,125.593,123.003,121.479,119.965,114.814,106.605,104.476,101.686,98.171,96.09,93.81,91.93,89.668,86.973,84.834,81.565,79.88,78.482,78.479,76.688,77.335,77.205,74.148,75.057,78.47,76.533,69.316,65.608,65.641,64.533
58,23.535,23.507,22.295,20.506,19.269,18.533,18.198,17.349,16.188,14.092,14.314,13.415,12.843,12.428,11.998,11.621,11.464,10.956,11.223,10.681,10.462,10.668,11.689,11.532,12.275,11.014,9.383,8.641,8.363,8.299,7.137,7.047,7.067,7.036
59,8.059,7.692,7.259,7.098,6.814,6.641,6.684,6.399,5.554,4.767,4.76,4.447,4.059,3.746,3.627,3.822,3.805,3.897,4.032,3.924,4.042,4.735,5.698,5.833,6.782,6.422,5.879,5.728,5.783,4.96,3.73,3.243,3.265,2.964
60,16.068,14.074,12.561,11.743,11.449,10.803,10.027,9.846,9.938,8.941,8.039,7.239,6.629,5.874,5.3,5.686,6.581,6.502,6.742,7.431,7.131,7.272,7.363,7.92,7.895,7.402,6.838,8.385,10.809,9.989,10.583,14.704,22.913,24.518
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0.013,0.012,0.009,0.008,0.008,0.009,0.007,0.003,0.005,0.007,0.009,0.013,0.01,0.009,0.013,0.009,0.01,0.008,0.007,0.006,0.005,0.005,0.006,0.008,0.006,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.002
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1.804,1.643,1.748,1.744,1.647,1.694,1.477,1.332,1.292,1.321,1.284,1.107,1.315,1.36,1.583,1.538,1.577,1.828,1.907,1.268,1.5,1.461,1.405,1.561,1.612,1.515,0.912,0.854,0.729,0.778,0.943,0.75,1.677,4.009
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,85.932,82.926,77.456,69.629,63.267,64.141,60.205,57.105,52.343,48.98,48.794,45.718,42.558,40.658,39.359,38.638,39.034,38.595,36.821,35.389,37.613,38.42,40.392,44.605,53.173,60.55,50.212,50.862,56.628,64.126,55.998,52.163,52.379,49.531
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0.002,0.012,0.013,0.041,0.043,0.044,0.039,0.031,0.042,0.04,0.033,0.033,0.036,0.036,0.035,0.036,0.031,0.033,0.022,0.012,0.025,0.022,0.023,0.023,0.018,0.019,0.017,0.016,0.021,0.018,0.013
71,23.941,25.302,24.063,24.365,23.566,24.184,24.48,24.864,23.714,20.582,17.52,18.165,16.097,17.52,14.807,10.635,9.696,11.474,10.035,9.707,10.332,10.596,10.464,10.597,9.878,8.873,8.308,6.803,6.384,7.139,5.339,4.368,5.085,4.932
72,0.492,0.447,0.286,0.279,0.308,0.226,0.214,0.332,0.236,0.134,0.223,0.48,0.406,0.436,0.396,0.412,0.297,0.405,0.602,0.918,0.867,0.566,0.435,0.37,0.355,0.281,0.232,0.183,0.204,0.175,0.127,0.095,0.07,0.095
73,19.753,19.405,17.798,16.571,15.859,14.655,15.154,16.653,17.118,15.367,15.017,14.013,13.417,13.138,12.967,12.832,12.52,12.188,11.846,11.222,11.079,10.604,11.02,11.414,11.852,11.861,11.142,10.304,9.913,8.829,8.497,10.031,9.479,6.635
