,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17,COL18,COL19,COL20,COL21,COL22,COL23,COL24,COL25,COL26,COL27,COL28,COL29,COL30,COL31,COL32,COL33,COL34,COL35,COL36
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71,1219,969,1024,776,917,960,838,734,725,551,628,696,745,491,506,382,418,424,378,898,701,371,502,502,402,327,225,334,222,258,355,349,21.708,95.38,95.38,
72,605,458,475,348,335,230,313,292,289,348,418,398,467,437,456,321,265,305,261,219,164,131,118,94,59,42,38,83,47,33,27,22,0.953,1.957,1.957,
73,231,192,59,63,64,61,59,49,56,44,76,91,85,92,83,86,90,90,82,57,57,66,82,66,75,76,57,88,46,60,55,43,0,0,0,
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
80,25406,22679,21611,19653,19383,20835,21392,21856,21934,20774,19598,19788,19721,18500,16728,14685,13665,11824,11090,10450,9362,8896,8156,7291,6482,6890,5909,5338,5372,5442,4935,3749,5848.25,4781.153,4781.153,
81,6968,7300,6675,6996,6661,6383,6525,5996,5988,5648,5853,6384,6775,6189,5331,4127,3342,2725,2544,2392,2451,2145,1554,1450,1450,1397,1148,776,539,615,446,348,12.05,0,0,
82,1496,1454,1162,1118,1099,1170,1265,1244,544,480,536,576,540,515,511,459,824,811,805,704,739,724,710,651,261,240,239,30,34,228,187,148,58.72,6.671,6.671,
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
