FILE NAME:     RGENTK
DATE MODIFIED: October 28, 2024
USED BY:       RDISTGEN subroutine of the National Energy Modeling System (NEMS) Residential Demand Module (RDM)
DEFINITION:    Residential distributed generation econometric ZIP code-level PV penetration data and model coefficients.
               Hurdle model based off systems installed from 2011-2022 in NJ, AZ, CA,

UNITS:         Income, electricity rate, PV system cost, and monthly payment data in 2018$ to align with RSGENTK.txt iGenCapCostYr
DIMENSION:     various
SPECIAL CONSTRAINTS: various
               Many coefficients below are zero. This is to preserve model flexibility without the need to recode the Fortran model.
ORGANIZATION OF DATA: First block of data includes model control switches starting year;
                Second block of data contains coefficients for full, urban, and rural penetration models;
                Third block of data contains ZIP code-level inputs
               Data starts on row 21 of this file per RDM convention
SOURCES:       U.S. Census Bureau American Community Survey (ACS); trackingthesun.lbl.gov/;
                www.californiasolarstatistics.ca.gov/current_data_files/; www.njcleanenergy.com/renewable-energy/project-activity-reports/installation-summary-by-technology/solar-installation-projects; www.arizonagoessolar.org
COMMENT:       FOR TESTING ONLY: Increment EstYear from 2021 to 2022 so solar PV hurdle model doesn't run in 2020 RECS base year



.TRUE.    Residential PV model choice switch; TRUE = use ZIP code econometric penetration model; FALSE = use PV niche/ payback approach (UseZipModel)
.TRUE.    PV capacity calibration switch; TRUE = calibrate ZIP code model to exogenous PV capacity; FALSE = use ZIP model capacity output starting in EstYear (PVzipcalib)
2022      Base year of estimation model and first year to execute new model projections (EstYear)

Full Model Coefficients		
logit component : negative binomial model
4.57E-01	9.80E-01	Intercept
-3.75E-05	8.84E-05	Households
4.03E-06	-1.02E-04	Population Density
1.16E-07	2.77E-06	Income
-9.33E-01	2.59E-01	Insolation
8.14E-02	2.49E-02	Electricity Rate
5.54E-04	9.96E-05	One-Year Lagged Cooling Degree Day
8.28E-02	-5.01E-02	Monthly Payment for PV System (30-Year)
0.00E+00	0.00E+00	Interest Rate
1.21E+00	6.76E-03	Lag1 PV Installs (one year lag)
0.00E+00	0.00E+00	Lag2 PV Installs (two year lag)
0.00E+00	0.00E+00	PV Installed Price net of Tax Credit (if any)
Urban Model
1.83E+00	2.66E-01	Coefficient labeling same as above
6.27E-05	1.20E-04	
-1.26E-04	-1.66E-04	
6.07E-06	3.10E-06	
-1.87E+00	4.96E-01	
2.08E-01	4.62E-02	
2.52E-03	1.39E-04	
1.20E-01	-9.57E-02	
0.00E+00	0.00E+00	
0.00E+00	0.00E+00	
0.00E+00	0.00E+00	
0.00E+00	0.00E+00	
Rural Model
-2.88E+00	-1.17E+00	Coefficient labeling same as above
3.91E-04	2.29E-04	
4.86E-03	8.15E-03	
1.30E-05	5.92E-06	
-3.88E-01	3.85E-01	
1.50E-01	5.16E-02	
5.87E-04	3.00E-04	
2.10E-02	-6.82E-02	
0.00E+00	0.00E+00	
0.00E+00	0.00E+00	
0.00E+00	0.00E+00	
0.00E+00	0.00E+00	

27326 Number of ZIP code records to read in below (numzips)

"ZipCode","State","CenDiv","Income(2022$)","Households","PopDensity","Insol","ElecRate(2022$)","LagCDD","IntRate","PVPrice(2022$)","MonthlyPayment(2022$)","Lag1_Installs","Lag2_Installs","PureHurdle","RuralZip","NewModelInstalls"
07067,"NJ",2,129122,6220,1543.80519166854,4.66,21.39,1021,5.34403846153846,2.92,16.27,26,0,0,0,32
07068,"NJ",2,135451,2451,677.49331362041,4.65,21.27,1021,5.34403846153846,2.92,16.27,0,0,0,0,2
07069,"NJ",2,152168,2324,367.09104335132,4.64,21.27,1021,5.34403846153846,2.92,16.27,6,0,0,0,1
07070,"NJ",2,128576,6755,2428.91929844839,4.64,21.39,1021,5.34403846153846,2.92,16.27,22,0,0,0,15
07071,"NJ",2,104338,9055,1975.16695371839,4.65,21.39,1021,5.34403846153846,2.92,16.27,22,0,0,0,21
07072,"NJ",2,89669,2586,655.086249992195,4.65,21.39,1021,5.34403846153846,2.92,16.27,11,0,0,0,6
07073,"NJ",2,92536,4258,1147.54932836129,4.65,21.39,1021,5.34403846153846,2.92,16.27,8,0,0,0,6
07074,"NJ",2,90263,950,867.957563573092,4.64,21.39,1021,5.34403846153846,2.92,16.27,5,0,0,0,3
07075,"NJ",2,132901,3851,3458.31172239055,4.64,21.39,1021,5.34403846153846,2.92,16.27,8,0,0,0,5
07076,"NJ",2,179531,8823,980.857343124682,4.65,21.27,1021,5.34403846153846,2.92,16.27,16,0,0,0,12
07077,"NJ",2,107887,1084,702.838773096376,4.67,21.39,1021,5.34403846153846,2.92,16.27,6,0,0,0,4
07079,"NJ",2,173012,5863,2056.15149377293,4.66,21.27,1021,5.34403846153846,2.92,16.27,11,0,0,0,10
07080,"NJ",2,123516,8139,989.983245936525,4.66,21.39,1021,5.34403846153846,2.92,16.27,45,0,0,0,45
07081,"NJ",2,141759,6610,1276.85232118086,4.66,21.27,1021,5.34403846153846,2.92,16.27,19,0,0,0,6
07082,"NJ",2,153977,1968,324.179785779646,4.64,19.35,1021,5.34403846153846,2.92,16.27,4,0,0,0,5
07083,"NJ",2,114938,19742,2262.41901432371,4.66,21.27,1021,5.34403846153846,2.92,16.27,124,0,1,0,115
07086,"NJ",2,120395,7862,9899.45045589773,4.62,21.39,1021,5.34403846153846,2.92,16.27,4,0,0,0,4
07087,"NJ",2,59967,25610,19625.9929599855,4.62,21.39,1021,5.34403846153846,2.92,16.27,16,0,0,0,8
07088,"NJ",2,86556,1145,3531.26225645632,4.68,21.27,1021,5.34403846153846,2.92,16.27,9,0,0,0,7
07090,"NJ",2,202450,10439,1549.25261936477,4.66,21.39,1021,5.34403846153846,2.92,16.27,18,0,0,0,8
07092,"NJ",2,162531,2537,635.321063168345,4.66,21.27,1021,5.34403846153846,2.92,16.27,7,0,0,0,4
07093,"NJ",2,70683,25581,21545.7958974993,4.62,21.39,1021,5.34403846153846,2.92,16.27,11,0,0,0,10
07094,"NJ",2,129348,8607,1483.86693887141,4.65,21.39,1021,5.34403846153846,2.92,16.27,17,0,0,0,10
07095,"NJ",2,103481,7812,1695.3437818155,4.66,21.39,1021,5.34403846153846,2.92,16.27,22,0,0,0,37
07102,"NJ",2,35515,6288,5560.8521438416,4.67,21.39,1021,5.34403846153846,2.92,16.27,1,0,0,0,0
07103,"NJ",2,40653,12793,5945.04649986238,4.68,21.39,1021,5.34403846153846,2.92,16.27,11,0,0,0,7
