FILE NAME:     RSUEC
DATE MODIFIED: December 23, 2025
USED BY:       RDUECS subroutine of the National Energy Modeling System (NEMS) Residential Demand Module (RDM)
DEFINITION:    Annual unit energy consumption (UEC) for all residential equipment classes (29 major and the rest minor classes)
UNITS:         Classes 1-29 (major end uses in RSCLASS): MMBtu/unit/yr
               Classes 30-62: MMBtu/household/yr
DIMENSION:     housing type (each column), U.S. census division (each row, 1-9), equipment class (each group of 9 rows)
SPECIAL CONSTRAINTS:  Data starts on row 21 of this file as per RDM convention.
ORGANIZATION OF DATA:
               Variables: EQCUEC (for major end uses in RSCLASS),FANUEC,TVSUEC,STBUEC,HTSUEC,OTTUEC,VGCUEC,DPCUEC,LPCUEC,MONUEC,NETUEC,BATUEC,
                CFNUEC,COFUEC,DEHUEC,MCOUEC,PHPUEC,SECUEC,SPAUEC,WCLUEC,SPKUEC,PHNEC,TABUEC,KITUEC,EAUEC,SHTUEC,APPUEC
SOURCES:       2020 RECS microdata (https://www.eia.gov/consumption/residential/data/2020/index.php?view=microdata)
               "Analysis and Representation of Miscellaneous Electric Loads in NEMS": https://www.eia.gov/analysis/studies/demand/miscelectric/
COMMENT:       Remove kerosene and coal placeholders; move data row labels to end of file for streamlined input reading





SF	MF	MOBILE
Natural Gas Heat Pumps (cooling)	15	8
Natural Gas Heat Pumps (cooling)	15	9
Clothes Washers	16	1
Clothes Washers	16	2
Clothes Washers	16	3
Clothes Washers	16	4
Clothes Washers	16	5
Clothes Washers	16	6
Clothes Washers	16	7
Clothes Washers	16	8
Clothes Washers	16	9
Dishwashers	17	1
Dishwashers	17	2
Dishwashers	17	3
Dishwashers	17	4
Dishwashers	17	5
Dishwashers	17	6
Dishwashers	17	7
Dishwashers	17	8
Dishwashers	17	9
Natural Gas water heaters (storage & tankless)	18	1
Natural Gas water heaters (storage & tankless)	18	2
Natural Gas water heaters (storage & tankless)	18	3
Natural Gas water heaters (storage & tankless)	18	4
Natural Gas water heaters (storage & tankless)	18	5
Natural Gas water heaters (storage & tankless)	18	6
Natural Gas water heaters (storage & tankless)	18	7
Natural Gas water heaters (storage & tankless)	18	8
Natural Gas water heaters (storage & tankless)	18	9
Electric water heaters (storage & tankless)	19	1
Electric water heaters (storage & tankless)	19	2
Electric water heaters (storage & tankless)	19	3
Electric water heaters (storage & tankless)	19	4
Electric water heaters (storage & tankless)	19	5
Electric water heaters (storage & tankless)	19	6
Electric water heaters (storage & tankless)	19	7
Electric water heaters (storage & tankless)	19	8
Electric water heaters (storage & tankless)	19	9
Distillate Fuel Oil & Kerosene water heaters (storage & tankless)	20	1
Distillate Fuel Oil & Kerosene water heaters (storage & tankless)	20	2
Distillate Fuel Oil & Kerosene water heaters (storage & tankless)	20	3
Distillate Fuel Oil & Kerosene water heaters (storage & tankless)	20	4
Distillate Fuel Oil & Kerosene water heaters (storage & tankless)	20	5
Distillate Fuel Oil & Kerosene water heaters (storage & tankless)	20	6
Distillate Fuel Oil & Kerosene water heaters (storage & tankless)	20	7
Distillate Fuel Oil & Kerosene water heaters (storage & tankless)	20	8
Distillate Fuel Oil & Kerosene water heaters (storage & tankless)	20	9
Propane water heaters (storage & tankless)	21	1
Propane water heaters (storage & tankless)	21	2
Propane water heaters (storage & tankless)	21	3
Propane water heaters (storage & tankless)	21	4
Propane water heaters (storage & tankless)	21	5
Propane water heaters (storage & tankless)	21	6
Propane water heaters (storage & tankless)	21	7
Propane water heaters (storage & tankless)	21	8
Propane water heaters (storage & tankless)	21	9
Solar water heaters (storage & tankless)	22	1
Solar water heaters (storage & tankless)	22	2
Solar water heaters (storage & tankless)	22	3
Solar water heaters (storage & tankless)	22	4
Solar water heaters (storage & tankless)	22	5
Solar water heaters (storage & tankless)	22	6
Solar water heaters (storage & tankless)	22	7
Solar water heaters (storage & tankless)	22	8
Solar water heaters (storage & tankless)	22	9
Natural Gas Cooking Ranges/Cooktops/Ovens	23	1
Natural Gas Cooking Ranges/Cooktops/Ovens	23	2
