Notes,,,,,,
region_number,id,source_num,source_name,d_tonne,mmt,bin
3,1006203,3,Ethanol,50.7,0.14802996,6
3,1002138,3,Ethanol,50.73,0.225267705,6
3,1003834,3,Ethanol,50.74,0.224908684,6
3,1002505,3,Ethanol,50.77,0.224103685,6
3,1004079,3,Ethanol,50.86,0.221779311,6
3,1002560,3,Ethanol,50.95,0.219645088,6
3,1005626,3,Ethanol,50.98,0.218869443,6
3,1003737,3,Ethanol,51,0.218431759,6
3,1002627,3,Ethanol,51.07,0.21660431,6
3,1003855,3,Ethanol,51.24,0.212596618,6
3,1006694,3,Ethanol,51.24,0.146502512,6
3,1004425,9,NGP,51.39,0.0635112,6
3,1002443,3,Ethanol,51.52,0.205966982,6
3,1002995,3,Ethanol,51.53,0.205618478,6
3,1005306,9,NGP,51.57,0.15756806,6
3,1005306,3,Ethanol,51.57,0.204838478,6
3,1003573,3,Ethanol,51.63,0.203428628,6
3,1005369,3,Ethanol,53.49,0.117340314,7
3,1006486,9,NGP,53.53,0.05238315,7
3,1004731,3,Ethanol,53.71,0.118014546,7
3,1002962,3,Ethanol,54.43,0.107553732,7
3,1003282,3,Ethanol,54.56,0.106228122,7
3,1007809,3,Ethanol,54.6,0.108713748,7
3,1005020,3,Ethanol,54.65,0.108180085,7
3,1007847,3,Ethanol,55.03,0.104528918,7
3,1002124,3,Ethanol,55.27,0.102328343,7
3,1005149,3,Ethanol,55.48,0.100498606,7
3,1003837,3,Ethanol,55.6,0.099440484,7
3,1005586,3,Ethanol,55.64,0.099091564,7
3,1004288,3,Ethanol,55.68,0.13480636,7
3,1001143,3,Ethanol,56.22,0.094235258,7
3,1002173,3,Ethanol,56.32,0.09344985,7
3,1005727,3,Ethanol,56.32,0.127059777,7
3,1001678,3,Ethanol,56.36,0.09311354,7
3,1005683,3,Ethanol,56.38,0.090579411,7
3,1003954,3,Ethanol,56.48,0.08978437,7
3,1004230,3,Ethanol,56.61,0.091124722,7
3,1004331,3,Ethanol,56.82,0.121525976,7
3,1004332,3,Ethanol,57.33,0.116141298,7
3,1006552,3,Ethanol,57.5,0.078815984,7
3,1003498,3,Ethanol,57.62,0.113138064,7
3,1002148,3,Ethanol,57.87,0.08002254,7
3,1006007,3,Ethanol,57.99,0.109644704,7
3,1001677,3,Ethanol,58.06,0.078797004,7
3,1002082,3,Ethanol,58.13,0.074891024,7
3,1000857,3,Ethanol,58.2,0.079924026,7
3,1006936,3,Ethanol,58.35,0.073611707,7
3,1004984,3,Ethanol,58.53,0.077869051,7
3,1004490,3,Ethanol,58.57,0.104322036,7
3,1004091,3,Ethanol,58.61,0.072094464,7
3,1007830,3,Ethanol,58.67,0.076995932,7
3,1007529,3,Ethanol,59.25,0.098544108,7
3,1007565,3,Ethanol,59.26,0.098511296,7
3,1004792,3,Ethanol,59.5,0.067267772,7
3,1006825,3,Ethanol,59.59,0.07166588,7
3,1006084,3,Ethanol,60.55,0.088699494,7
3,1002349,3,Ethanol,60.6,0.064749074,7
3,1006662,3,Ethanol,61.12,0.06230055,7
3,1000405,3,Ethanol,61.14,0.059504146,7
3,1005476,3,Ethanol,61.54,0.060420958,7
3,1002809,3,Ethanol,61.99,0.07935811,7
3,1002950,3,Ethanol,64.8,0.049467288,7
3,1004039,3,Ethanol,64.98,0.047638214,7
3,1005322,3,Ethanol,65.1,0.063372972,7
3,1003924,3,Ethanol,67.12,0.042604562,7
3,1005960,3,Ethanol,67.5,0.053969838,7
3,1001865,3,Ethanol,70.09,0.045860906,8
3,1002177,3,Ethanol,84.97,0.01696552,8
3,1007563,5,Cement,102.49,1.921317381,8
3,1002665,5,Cement,119.99,0.851138658,8
3,1006112,5,Cement,124.57,0.755413641,8
3,1003002,5,Cement,126.66,0.702320742,8
3,1001701,5,Cement,127.36,0.653991723,8
3,1007606,5,Cement,128.67,0.608315868,8
3,1005987,5,Cement,136,0.519773913,8
3,1004385,5,Cement,137.36,0.498859587,8
3,1002204,5,Cement,137.88,0.475626276,8
3,1006077,5,Cement,137.95,0.640376847,8
3,1007552,5,Cement,143.76,0.407731986,8
3,1004291,1,Hydrogen,155.33,0.090798336,8
3,1007216,5,Cement,156.79,0.286633746,8
3,1007942,1,Hydrogen,159.3,0.082315512,8
3,1005720,5,Cement,159.63,0.263720538,8
3,1004289,5,Cement,160.85,0.260238096,8
3,1005352,5,Cement,168.19,0.288060165,8
3,1001920,1,Hydrogen,175.35,0.057911616,8
3,1007786,1,Hydrogen,178.43,0.054325606,8
3,1002027,1,Hydrogen,185.49,0.04823334,8
3,1007861,1,Hydrogen,312.19,0.00830484,8
4,1003323,9,NGP,62.2,0.05706966,7
4,1009018,5,Cement,198.92,0.220350483,8
4,1007972,1,Hydrogen,211.04,0.05406372,8
5,1002078,9,NGP,36.35,0.49203844,2
5,1002532,9,NGP,39.92,0.25920966,2
5,1001866,9,NGP,44.82,0.12603064,4
5,1001790,9,NGP,47.78,0.08945918,5
5,1004924,9,NGP,49.6,0.07401438,5
5,1001871,9,NGP,50.3,0.0690741,6
5,1002128,9,NGP,50.72,0.0663241,6
5,1004551,9,NGP,51.32,0.06265318,6
5,1003254,9,NGP,53.57,0.05239648,7
5,1002377,9,NGP,54.53,0.04712949,7
5,1002414,9,NGP,54.89,0.04692646,7
