Composite Table:
h               h1              datayear    HistoricalCapacity
TX_E            TX_W            2011        1200
TX_E            TX_W            2012        1200
TX_E            TX_W            2013        1200
TX_E            TX_W            2014        1200
TX_E            TX_W            2015        1200
TX_E            TX_W            2016        1200
TX_E            TX_W            2017        1200
TX_E            TX_W            2018        1200
TX_E            TX_W            2019        1200
TX_E            TX_W            2020        1200
TX_E            TX_W            2021        1200
TX_E-MX_NE      MX_NE           1990        449
TX_E-MX_NE      MX_NE           1994        499
TX_E-MX_NE      MX_NE           1995        499
TX_E-MX_NE      MX_NE           1996        499
TX_E-MX_NE      MX_NE           1997        499
TX_E-MX_NE      MX_NE           1998        499
TX_E-MX_NE      MX_NE           1999        684
TX_E-MX_NE      MX_NE           2000        934
TX_E-MX_NE      MX_NE           2001        934
TX_E-MX_NE      MX_NE           2002        1269
TX_E-MX_NE      MX_NE           2003        1664
TX_E-MX_NE      MX_NE           2004        1689
TX_E-MX_NE      MX_NE           2005        1689
TX_E-MX_NE      MX_NE           2006        1689
TX_E-MX_NE      MX_NE           2007        1689
TX_E-MX_NE      MX_NE           2008        1749
TX_E-MX_NE      MX_NE           2009        1749
TX_E-MX_NE      MX_NE           2010        1799
TX_E-MX_NE      MX_NE           2011        1799
TX_E-MX_NE      MX_NE           2012        1799
TX_E-MX_NE      MX_NE           2013        1799
TX_E-MX_NE      MX_NE           2014        4114
TX_E-MX_NE      MX_NE           2015        4254
TX_E-MX_NE      MX_NE           2016        4254
TX_E-MX_NE      MX_NE           2017        4254
TX_E-MX_NE      MX_NE           2018        5387
TX_E-MX_NE      MX_NE           2019        5387
TX_E-MX_NE      MX_NE           2020        5387
TX_E-MX_NE      MX_NE           2021        5387
TX_E-MX_NE      TX_E            1990        350
TX_E-MX_NE      TX_E            1994        350
TX_E-MX_NE      TX_E            1995        350
TX_E-MX_NE      TX_E            1996        350
TX_E-MX_NE      TX_E            1997        350
TX_E-MX_NE      TX_E            1998        350
TX_E-MX_NE      TX_E            1999        350
TX_E-MX_NE      TX_E            2000        865
TX_E-MX_NE      TX_E            2001        865
