!rng_produced in MMcf/yr
!lcoe in MMBtu/yr
COMPOSITE TABLE:
proj_id	reg	rng_type	rng_produced	lcoe	
405	CO	landfill	214.208		20.682	
406	NC	landfill	213.990		20.692	
407	NC	landfill	212.248		20.773	
408	PR	landfill	211.690		20.799	
409	WV	landfill	211.454		20.810	
410	NC	landfill	211.268		20.819	
411	KY	landfill	211.252		20.820	
412	NE	landfill	209.785		20.889	
413	WV	landfill	209.667		20.895	
414	TX	landfill	209.126		20.921	
415	WV	landfill	207.762		20.987	
416	TN	landfill	206.682		21.041	
417	PR	landfill	206.346		21.057	
418	WI	landfill	206.075		21.071	
419	PA	landfill	204.273		21.161	
420	AL	landfill	203.280		21.211	
421	WI	landfill	202.040		21.275	
422	MT	landfill	201.314		21.313	
423	IN	landfill	201.095		21.324	
424	FL	landfill	201.029		21.328	
425	OH	landfill	200.447		21.358	
426	MO	landfill	200.261		21.368	
427	GA	landfill	200.061		21.378	
428	CA	landfill	199.019		21.434	
429	VA	landfill	197.916		21.493	
430	IL	landfill	197.532		21.514	
431	MO	landfill	197.076		21.538	
432	TX	landfill	196.721		21.558	
433	IL	landfill	195.222		21.640	
434	OH	landfill	195.113		21.646	
435	IN	landfill	194.668		21.671	
436	MD	landfill	193.228		21.752	
437	SC	landfill	192.321		21.803	
438	KY	landfill	190.944		21.882	
439	TN	landfill	190.073		21.933	
440	PA	landfill	188.974		21.998	
441	MO	landfill	188.858		22.004	
442	OK	landfill	187.704		22.073	
443	CO	landfill	187.197		22.104	
444	IL	landfill	187.178		22.105	
445	OK	landfill	185.911		22.182	
446	KS	landfill	185.233		22.223	
447	CA	landfill	184.861		22.246	
448	CA	landfill	184.845		22.247	
449	IL	landfill	184.625		22.261	
450	VA	landfill	183.489		22.331	
451	KY	landfill	183.395		22.337	
452	KY	landfill	182.632		22.385	
453	MO	landfill	181.210		22.476	
454	OH	landfill	180.817		22.501	
455	GA	landfill	180.339		22.532	
456	PA	landfill	179.895		22.561	
457	TX	landfill	179.883		22.562	
458	TN	landfill	179.141		22.611	
459	PA	landfill	178.285		22.667	
460	KS	landfill	178.086		22.680	
461	NC	landfill	177.419		22.725	
462	AL	landfill	177.165		22.742	
463	AZ	landfill	176.809		22.766	
464	OK	landfill	176.292		22.801	
465	SC	landfill	175.977		22.822	
466	WI	landfill	174.349		22.935	
467	SC	landfill	173.405		23.000	
468	OH	landfill	171.916		23.106	
469	NY	landfill	171.437		23.140	
470	TX	landfill	170.733		23.191	
471	FL	landfill	170.512		23.207	
472	ND	landfill	170.159		23.233	
473	FL	landfill	168.798		23.333	
474	MO	landfill	168.189		23.378	
475	MI	landfill	167.944		23.396	
476	IN	landfill	167.357		23.440	
477	LA	landfill	165.676		23.568	
478	IL	landfill	164.626		23.650	
479	FL	landfill	163.929		23.704	
480	KS	landfill	162.529		23.815	
481	MS	landfill	162.453		23.821	
482	CA	landfill	161.491		23.898	
483	TN	landfill	160.660		23.966	
484	WI	landfill	159.669		24.048	
485	CA	landfill	159.611		24.052	
486	LA	landfill	159.421		24.068	
487	SC	landfill	158.546		24.141	
488	FL	landfill	158.520		24.143	
489	OR	landfill	157.857		24.199	
490	CA	landfill	157.491		24.230	
491	MD	landfill	156.787		24.291	
492	WV	landfill	156.429		24.321	
493	NE	landfill	155.998		24.359	
494	PA	landfill	155.906		24.367	
495	VA	landfill	155.764		24.379	
496	NJ	landfill	155.526		24.400	
497	LA	landfill	155.374		24.413	
498	MI	landfill	155.025		24.444	
499	ID	landfill	154.834		24.460	
