MNUMYR,MNUMNR,M24,M4,M3,Gen45VDataByTech
34,2,23,4,3,447.53
34,2,24,1,3,233.01
34,2,24,2,3,490.48
34,2,24,3,3,244.07
34,2,24,4,3,446.09
34,3,1,1,1,598.39
34,3,1,1,3,193.5
34,3,1,2,1,1050.33
34,3,1,2,3,358.97
34,3,1,3,1,601.94
34,3,1,3,3,190.17
34,3,1,4,1,1172.2
34,3,1,4,3,382.75
34,3,2,1,1,592.25
34,3,2,1,3,193.41
34,3,2,2,1,1066.19
34,3,2,2,3,392.68
34,3,2,3,1,594.93
34,3,2,3,3,190.73
34,3,2,4,1,1159.54
34,3,2,4,3,382.36
34,3,3,1,1,585.94
34,3,3,1,3,193.36
34,3,3,2,1,1056.68
34,3,3,2,3,392.38
34,3,3,3,1,586.13
34,3,3,3,3,190.62
34,3,3,4,1,1151.76
34,3,3,4,3,382.16
34,3,4,1,1,580.21
34,3,4,1,3,193.36
34,3,4,2,1,1041.3
34,3,4,2,3,392.33
34,3,4,3,1,577.84
34,3,4,3,3,190.59
34,3,4,4,1,1149.14
34,3,4,4,3,382.12
34,3,5,1,1,576.43
34,3,5,1,3,193.53
34,3,5,2,1,1022.84
34,3,5,2,2,0.19
34,3,5,2,3,392.61
34,3,5,3,1,569.32
34,3,5,3,3,190.77
34,3,5,4,1,1146.19
34,3,5,4,3,382.32
34,3,6,1,1,573.47
34,3,6,1,2,0.27
34,3,6,1,3,194.28
34,3,6,2,1,964.21
34,3,6,2,2,5.34
34,3,6,2,3,394.96
34,3,6,3,1,566.53
34,3,6,3,2,0.01
34,3,6,3,3,191.22
34,3,6,4,1,1146.48
34,3,6,4,3,383.01
34,3,7,1,1,552.99
34,3,7,1,2,5.1
34,3,7,1,3,213.76
34,3,7,2,1,740.67
34,3,7,2,2,23.96
34,3,7,2,3,416.47
34,3,7,3,1,560.01
34,3,7,3,2,3.01
34,3,7,3,3,191.92
34,3,7,4,1,1149.44
34,3,7,4,3,416.86
34,3,8,1,1,477.12
34,3,8,1,2,23.85
34,3,8,1,3,219.46
34,3,8,2,1,552.42
34,3,8,2,2,66.75
34,3,8,2,3,452.19
34,3,8,3,1,502.96
34,3,8,3,2,22.27
34,3,8,3,3,213.62
34,3,8,4,1,1150.29
34,3,8,4,2,4.96
34,3,8,4,3,421.16
34,3,9,1,1,406.78
34,3,9,1,2,50.12
34,3,9,1,3,219.66
34,3,9,2,1,539.03
34,3,9,2,2,114.21
34,3,9,2,3,453.03
34,3,9,3,1,396.87
34,3,9,3,2,47.61
34,3,9,3,3,216.96
34,3,9,4,1,1085.65
34,3,9,4,2,38.48
34,3,9,4,3,421.6
34,3,10,1,1,385.48
34,3,10,1,2,72.73
34,3,10,1,3,221.75
34,3,10,2,1,587.45
34,3,10,2,2,153.32
34,3,10,2,3,446.22
34,3,10,3,1,340.47
34,3,10,3,2,68.41
34,3,10,3,3,217.85
34,3,10,4,1,919.91
34,3,10,4,2,79.26
34,3,10,4,3,427.21
34,3,11,1,1,390.32
34,3,11,1,2,90.21
34,3,11,1,3,218.14
34,3,11,2,1,632.32
34,3,11,2,2,180.14
34,3,11,2,3,449.52
34,3,11,3,1,342.25
34,3,11,3,2,82.84
34,3,11,3,3,219.74
34,3,11,4,1,788.57
34,3,11,4,2,109.84
34,3,11,4,3,435.94
34,3,12,1,1,403.54
34,3,12,1,2,100.48
34,3,12,1,3,215.74
34,3,12,2,1,669.46
34,3,12,2,2,194.79
34,3,12,2,3,445.72
34,3,12,3,1,364.05
34,3,12,3,2,91.63
34,3,12,3,3,217.17
34,3,12,4,1,739.21
34,3,12,4,2,129.76
34,3,12,4,3,431.58
34,3,13,1,1,420.35
34,3,13,1,2,103.01
34,3,13,1,3,215.65
34,3,13,2,1,700.75
34,3,13,2,2,199.23
34,3,13,2,3,443.49
34,3,13,3,1,386.18
34,3,13,3,2,93.38
34,3,13,3,3,217.14
34,3,13,4,1,739.32
34,3,13,4,2,137.2
34,3,13,4,3,425.94
34,3,14,1,1,434.68
34,3,14,1,2,98.96
34,3,14,1,3,215.57
34,3,14,2,1,732.22
34,3,14,2,2,189.34
34,3,14,2,3,446.8
34,3,14,3,1,405.97
34,3,14,3,2,86.69
34,3,14,3,3,217.1
34,3,14,4,1,762.44
34,3,14,4,2,129.32
34,3,14,4,3,424.08
34,3,15,1,1,445.5
34,3,15,1,2,86.21
34,3,15,1,3,215.47
34,3,15,2,1,758.32
34,3,15,2,2,169.92
34,3,15,2,3,447.97
34,3,15,3,1,422.22
34,3,15,3,2,73.78
34,3,15,3,3,217.03
34,3,15,4,1,801.74
34,3,15,4,2,106.45
34,3,15,4,3,423.95
34,3,16,1,1,454.19
34,3,16,1,2,67.36
34,3,16,1,3,215.39
34,3,16,2,1,780.01
34,3,16,2,2,138.89
34,3,16,2,3,447.88
34,3,16,3,1,431.11
34,3,16,3,2,53.68
34,3,16,3,3,218.2
34,3,16,4,1,869.67
34,3,16,4,2,71.11
34,3,16,4,3,423.95
34,3,17,1,1,457.53
34,3,17,1,2,42.92
34,3,17,1,3,216.42
34,3,17,2,1,789.36
34,3,17,2,2,97.16
34,3,17,2,3,452.45
34,3,17,3,1,427.86
34,3,17,3,2,28.97
34,3,17,3,3,227.07
34,3,17,4,1,1010.77
34,3,17,4,2,24.11
34,3,17,4,3,433.81
34,3,18,1,1,464.49
34,3,18,1,2,17.36
34,3,18,1,3,219.44
34,3,18,2,1,767.95
34,3,18,2,2,50.9
34,3,18,2,3,454.83
34,3,18,3,1,460.83
34,3,18,3,2,6.93
34,3,18,3,3,227.54
34,3,18,4,1,1159.91
34,3,18,4,2,2.09
34,3,18,4,3,440.41
34,3,19,1,1,505.75
34,3,19,1,2,2.36
34,3,19,1,3,217.7
34,3,19,2,1,766.22
34,3,19,2,2,14.88
34,3,19,2,3,454.46
34,3,19,3,1,534.86
34,3,19,3,2,0.37
34,3,19,3,3,216.9
34,3,19,4,1,1230.15
34,3,19,4,2,0.02
34,3,19,4,3,442.88
34,3,20,1,1,559.51
34,3,20,1,2,0.04
34,3,20,1,3,215.72
34,3,20,2,1,905.48
34,3,20,2,2,2.66
34,3,20,2,3,444.54
34,3,20,3,1,581.63
34,3,20,3,3,214.05
34,3,20,4,1,1255.37
34,3,20,4,3,430.43
34,3,21,1,1,590.42
34,3,21,1,3,217.45
34,3,21,2,1,1028.79
34,3,21,2,2,0.05
34,3,21,2,3,442.63
34,3,21,3,1,603.96
34,3,21,3,3,213.91
34,3,21,4,1,1253.72
34,3,21,4,3,424.81
34,3,22,1,1,607.38
34,3,22,1,3,218.87
34,3,22,2,1,1070.02
34,3,22,2,3,430.54
34,3,22,3,1,611.79
34,3,22,3,3,203.64
34,3,22,4,1,1238.53
34,3,22,4,3,419.57
34,3,23,1,1,608.54
34,3,23,1,3,197.6
34,3,23,2,1,1079.36
34,3,23,2,3,404.98
34,3,23,3,1,612.05
34,3,23,3,3,191.76
34,3,23,4,1,1215.59
34,3,23,4,3,388.31
34,3,24,1,1,604.15
34,3,24,1,3,193.97
34,3,24,2,1,1071.64
34,3,24,2,2,0.02
34,3,24,2,3,411.03
34,3,24,3,1,608.91
34,3,24,3,3,191.27
34,3,24,4,1,1191.93
34,3,24,4,3,383.37
34,4,1,1,1,146.45
34,4,1,1,3,128.46
34,4,1,2,1,214.83
34,4,1,2,3,280.57
34,4,1,3,1,135.71
34,4,1,3,3,138.73
34,4,1,4,1,273.9
34,4,1,4,3,240.97
34,4,2,1,1,144.99
34,4,2,1,3,128.62
34,4,2,2,1,210.45
34,4,2,2,3,280.94
34,4,2,3,1,133.12
34,4,2,3,3,138.92
34,4,2,4,1,267.34
34,4,2,4,3,240.83
34,4,3,1,1,143.86
34,4,3,1,3,128.59
34,4,3,2,1,205.68
34,4,3,2,3,280.77
34,4,3,3,1,130.02
34,4,3,3,3,138.88
34,4,3,4,1,262.14
34,4,3,4,3,240.76
34,4,4,1,1,141.18
34,4,4,1,3,128.68
34,4,4,2,1,200.82
34,4,4,2,3,280.81
34,4,4,3,1,126.96
34,4,4,3,3,138.94
34,4,4,4,1,257.52
34,4,4,4,3,240.79
34,4,5,1,1,139
34,4,5,1,3,128.9
34,4,5,2,1,194.89
34,4,5,2,3,281.11
34,4,5,3,1,123.41
34,4,5,3,3,139.18
34,4,5,4,1,254.83
34,4,5,4,3,241.02
34,4,6,1,1,138.27
34,4,6,1,2,0.13
34,4,6,1,3,129.27
34,4,6,2,1,185.26
34,4,6,2,2,2.77
34,4,6,2,3,281.77
34,4,6,3,1,120.61
34,4,6,3,3,139.62
34,4,6,4,1,253.48
34,4,6,4,3,241.53
34,4,7,1,1,133.4
34,4,7,1,2,3.37
34,4,7,1,3,139.9
34,4,7,2,1,147.95
34,4,7,2,2,16.01
34,4,7,2,3,284.5
34,4,7,3,1,117.15
34,4,7,3,2,3.5
34,4,7,3,3,145.32
34,4,7,4,1,253.02
34,4,7,4,2,0.01
34,4,7,4,3,256.92
34,4,8,1,1,116.12
34,4,8,1,2,14.9
34,4,8,1,3,138.29
34,4,8,2,1,95.21
34,4,8,2,2,47.22
34,4,8,2,3,292.82
34,4,8,3,1,103.05
34,4,8,3,2,19.5
34,4,8,3,3,140.27
34,4,8,4,1,252.29
34,4,8,4,2,8.9
34,4,8,4,3,262.03
34,4,9,1,1,99.57
34,4,9,1,2,30.74
34,4,9,1,3,140.03
34,4,9,2,1,77.28
34,4,9,2,2,83.2
34,4,9,2,3,299.55
34,4,9,3,1,75.47
34,4,9,3,2,39.08
34,4,9,3,3,145.03
34,4,9,4,1,237.4
34,4,9,4,2,34.48
34,4,9,4,3,255.31
34,4,10,1,1,94.84
34,4,10,1,2,44.54
34,4,10,1,3,140.05
34,4,10,2,1,82.93
34,4,10,2,2,114.29
34,4,10,2,3,299.92
34,4,10,3,1,58.23
34,4,10,3,2,55.63
34,4,10,3,3,148.55
34,4,10,4,1,202.07
34,4,10,4,2,57.56
34,4,10,4,3,257.1
34,4,11,1,1,97.13
34,4,11,1,2,53.82
34,4,11,1,3,140.02
34,4,11,2,1,91.92
34,4,11,2,2,134.93
34,4,11,2,3,305.74
34,4,11,3,1,57.76
34,4,11,3,2,66.76
34,4,11,3,3,150.52
34,4,11,4,1,180.29
34,4,11,4,2,74.3
34,4,11,4,3,261.87
34,4,12,1,1,100.53
34,4,12,1,2,59.53
34,4,12,1,3,134.89
34,4,12,2,1,100.22
34,4,12,2,2,145.71
34,4,12,2,3,305.95
34,4,12,3,1,62.45
34,4,12,3,2,72.02
34,4,12,3,3,150.55
34,4,12,4,1,177.07
34,4,12,4,2,83.54
34,4,12,4,3,261.74
34,4,13,1,1,105.14
34,4,13,1,2,60.94
34,4,13,1,3,134.84
34,4,13,2,1,108.82
34,4,13,2,2,147.05
34,4,13,2,3,306.15
34,4,13,3,1,66.52
34,4,13,3,2,71.49
34,4,13,3,3,150.57
34,4,13,4,1,182.39
34,4,13,4,2,85.48
34,4,13,4,3,256.78
34,4,14,1,1,107.63
34,4,14,1,2,57.86
34,4,14,1,3,136.95
34,4,14,2,1,117.6
34,4,14,2,2,141.68
34,4,14,2,3,306.25
34,4,14,3,1,71.26
34,4,14,3,2,66.88
34,4,14,3,3,145.25
34,4,14,4,1,190.08
34,4,14,4,2,80.11
34,4,14,4,3,252.09
34,4,15,1,1,110.71
34,4,15,1,2,50.49
34,4,15,1,3,134.74
34,4,15,2,1,125.52
34,4,15,2,2,125.83
34,4,15,2,3,306.29
34,4,15,3,1,75.23
34,4,15,3,2,56.83
34,4,15,3,3,148.23
34,4,15,4,1,198.27
34,4,15,4,2,67.01
34,4,15,4,3,256.82
34,4,16,1,1,114.04
34,4,16,1,2,38.79
34,4,16,1,3,134.42
34,4,16,2,1,132.99
34,4,16,2,2,99.97
34,4,16,2,3,306.25
34,4,16,3,1,78.06
34,4,16,3,2,41.4
34,4,16,3,3,150.48
34,4,16,4,1,205.59
34,4,16,4,2,46.17
34,4,16,4,3,252.36
34,4,17,1,1,114.99
34,4,17,1,2,24.28
34,4,17,1,3,139.73
34,4,17,2,1,138.16
34,4,17,2,2,68.21
34,4,17,2,3,307.76
34,4,17,3,1,79.07
34,4,17,3,2,22.78
34,4,17,3,3,150.38
34,4,17,4,1,221.46
34,4,17,4,2,19.49
34,4,17,4,3,261.82
34,4,18,1,1,116.87
34,4,18,1,2,9.65
34,4,18,1,3,139.79
34,4,18,2,1,139.07
34,4,18,2,2,33.64
34,4,18,2,3,307.99
34,4,18,3,1,86.34
34,4,18,3,2,5.84
34,4,18,3,3,150.35
34,4,18,4,1,251.12
34,4,18,4,2,2.38
34,4,18,4,3,267.57
34,4,19,1,1,124.88
34,4,19,1,2,1.44
34,4,19,1,3,140
34,4,19,2,1,143.91
34,4,19,2,2,9.24
34,4,19,2,3,307.18
34,4,19,3,1,105.82
34,4,19,3,2,0.31
34,4,19,3,3,150.43
34,4,19,4,1,274.99
34,4,19,4,2,0.22
34,4,19,4,3,267.53
34,4,20,1,1,138.29
34,4,20,1,2,0.24
34,4,20,1,3,140.18
34,4,20,2,1,170.53
34,4,20,2,2,1.12
34,4,20,2,3,305.16
34,4,20,3,1,121.59
34,4,20,3,3,150.48
34,4,20,4,1,287.04
34,4,20,4,2,0.14
34,4,20,4,3,265.7
34,4,21,1,1,146.24
34,4,21,1,3,140.12
34,4,21,2,1,196.13
34,4,21,2,3,305.02
34,4,21,3,1,131.36
34,4,21,3,3,150.26
34,4,21,4,1,291.15
34,4,21,4,3,262.39
34,4,22,1,1,149.4
34,4,22,1,3,139.85
34,4,22,2,1,208.54
34,4,22,2,3,303.32
34,4,22,3,1,136.74
34,4,22,3,3,139.98
34,4,22,4,1,289.31
34,4,22,4,3,262.03
34,4,23,1,1,150.61
34,4,23,1,3,134.18
34,4,23,2,1,216.85
34,4,23,2,3,282.5
34,4,23,3,1,138.3
34,4,23,3,3,139.56
34,4,23,4,1,285.37
34,4,23,4,3,243.81
34,4,24,1,1,149.33
34,4,24,1,3,128.83
34,4,24,2,1,217.71
34,4,24,2,3,281.75
34,4,24,3,1,137.44
34,4,24,3,3,139.22
34,4,24,4,1,279.56
34,4,24,4,3,241.36
34,5,1,1,1,81.14
34,5,1,1,3,76.36
34,5,1,2,1,119.22
34,5,1,2,3,164.24
34,5,1,3,1,75.78
34,5,1,3,3,82.24
34,5,1,4,1,159.92
34,5,1,4,3,147.18
34,5,2,1,1,78.79
34,5,2,1,3,76.93
34,5,2,2,1,116.08
34,5,2,2,3,164.77
34,5,2,3,1,73.18
34,5,2,3,3,82.39
34,5,2,4,1,158.13
34,5,2,4,3,147.04
34,5,3,1,1,77.11
34,5,3,1,3,77.34
34,5,3,2,1,113.44
34,5,3,2,3,164.59
34,5,3,3,1,71.44
34,5,3,3,3,82.37
34,5,3,4,1,157.86
34,5,3,4,3,147.26
34,5,4,1,1,77.03
34,5,4,1,3,78
34,5,4,2,1,110.98
34,5,4,2,3,165.66
34,5,4,3,1,70.27
34,5,4,3,3,82.41
34,5,4,4,1,157.56
34,5,4,4,3,148.66
34,5,5,1,1,75.21
34,5,5,1,3,78.43
34,5,5,2,1,107.31
34,5,5,2,3,167.1
34,5,5,3,1,69.12
34,5,5,3,3,82.58
34,5,5,4,1,155.99
34,5,5,4,3,148.79
34,5,6,1,1,74.3
34,5,6,1,3,78.65
34,5,6,2,1,105.03
34,5,6,2,2,0.5
34,5,6,2,3,169.3
34,5,6,3,1,69.05
34,5,6,3,3,84.26
34,5,6,4,1,155.43
34,5,6,4,3,150.26
34,5,7,1,1,73.6
34,5,7,1,2,0.53
