MNUMYR,MNUMNR,MNUMYRVIN,M3,GDS_Vintage45V
36,24,35,2,0.2385
36,24,35,3,0.0046
36,24,36,1,0.0743
36,24,36,2,0.0465
36,24,36,3,0.0054
36,25,34,2,0.2162
36,25,34,3,0.008
36,25,35,1,0.1045
36,25,35,2,0.0842
36,25,35,3,0.0055
36,25,36,1,0.0013
36,25,36,2,0.1423
36,25,36,3,0.0004
37,1,34,1,0.0616
37,1,34,2,0.1422
37,1,35,1,0.0287
37,1,35,2,0.3654
37,1,35,3,0.0013
37,1,36,1,0.0112
37,1,36,2,0.2262
37,1,36,3,0.0015
37,1,37,3,0.0013
37,2,34,2,0.1724
37,2,35,2,0.1814
37,2,35,3,0.0015
37,2,36,2,0.0992
37,2,36,3,0.0018
37,2,37,2,0.0463
37,2,37,3,0.0015
37,3,34,1,0.0245
37,3,34,2,0.2177
37,3,35,1,0.0263
37,3,35,2,0.2017
37,3,35,3,0.0018
37,3,36,1,0.0362
37,3,36,3,0.0011
37,3,37,1,0.0321
37,3,37,3,0.0009
37,4,34,1,0.1015
37,4,34,2,0.1384
37,4,35,1,0.0417
37,4,35,2,0.4546
37,4,35,3,0.0022
37,4,36,1,0.065
37,4,36,2,0.1873
37,4,36,3,0.0062
37,4,37,3,0.0022
37,5,34,1,0.1026
37,5,34,2,0.1197
37,5,35,2,0.1042
37,5,35,3,0.0006
37,5,36,2,0.3943
37,5,36,3,0.0008
37,5,37,1,0.298
37,5,37,3,0.0006
37,6,34,2,0.2164
37,6,35,1,0.3639
37,6,35,2,0.2779
37,6,35,3,0.0012
37,6,36,2,0.1623
37,6,36,3,0.0014
37,6,37,1,0.6361
37,6,37,2,0.258
37,6,37,3,0.0012
37,7,34,2,0.0799
37,7,34,3,0.0007
37,7,35,1,0.2014
37,7,35,2,0.1164
37,7,35,3,0.0001
37,7,36,1,0.18
37,7,36,2,0.0688
37,7,36,3,0.0001
37,7,37,1,0.2271
37,7,37,3,0.0001
37,8,34,1,0.5699
37,8,35,2,0.0038
37,8,35,3,0.0556
37,8,36,2,0.1068
37,9,34,1,0.1537
37,9,34,2,0.0967
37,9,35,1,0.0348
37,9,35,2,0.2394
37,9,35,3,0.0024
37,9,36,1,0.1233
37,9,36,2,0.347
37,9,36,3,0
37,9,37,1,0.0809
37,9,37,3,0
37,10,34,1,0.0339
37,10,34,2,0.0266
37,10,35,1,0.4708
37,10,35,2,0.0378
37,10,35,3,0.0002
37,10,36,2,0.8048
37,10,36,3,0.0003
37,10,37,3,0.0003
37,11,34,1,0.0007
37,11,34,2,0.1638
37,11,35,2,0.4385
37,11,35,3,0.0016
37,11,36,1,0.0233
37,11,36,2,0.2622
37,11,36,3,0.0015
37,11,37,1,0.331
37,11,37,3,0.0013
37,12,34,1,0.0749
37,12,34,2,0.4201
37,12,35,2,0.0324
37,12,35,3,0.0001
37,12,36,1,0.0724
37,12,36,3,0.0001
37,12,37,3,0.0001
37,13,34,2,0.1238
37,13,35,2,0.1567
37,13,35,3,0.0007
37,13,36,2,0.0517
37,13,36,3,0.0008
37,13,37,1,0.4488
37,13,37,3,0.0007
37,14,34,2,0.0965
37,14,35,2,0.0842
37,14,35,3,0.0002
37,14,36,2,0.0368
37,14,36,3,0.0003
37,14,37,1,1
37,14,37,2,0.0006
37,14,37,3,0.0002
37,15,34,2,0.1539
37,15,34,3,0.0871
37,15,35,2,0.1164
37,15,35,3,0.088
37,15,36,2,0.025
37,15,36,3,0.001
37,15,37,1,1
37,15,37,3,0.0009
37,16,34,2,0.2938
37,16,35,2,0.3756
37,16,35,3,0.0002
37,16,36,3,0.0002
37,16,37,1,0.6678
37,16,37,3,0.0002
37,17,34,1,0.0567
37,17,34,2,0.1123
37,17,35,1,0.0284
37,17,35,2,0.0915
37,17,35,3,0.0029
37,17,36,2,0.7435
37,17,36,3,0.0035
37,17,37,1,0.0504
37,17,37,3,0.003
37,18,34,1,0.0727
37,18,34,2,0.0032
37,18,35,3,0.0008
37,18,36,1,0.0182
37,18,36,2,0.9092
37,18,36,3,0.001
37,18,37,1,0.0683
37,18,37,2,0.0672
37,18,37,3,0.0008
37,19,34,2,0.3655
37,19,35,3,0.0002
37,19,36,1,0.0587
37,19,36,2,0.4513
37,19,36,3,0.0002
37,19,37,1,0.1646
37,19,37,3,0.0002
37,20,34,1,0.0313
37,20,34,2,0.2111
37,20,35,1,0.0213
37,20,35,2,0.3017
37,20,35,3,0.001
37,20,36,1,0.025
37,20,36,2,0.0527
37,20,36,3,0.0012
37,20,37,1,0.4087
37,20,37,3,0.001
37,21,34,1,0.0535
37,21,34,2,0.0932
37,21,34,3,0.0002
37,21,35,1,0.0479
37,21,35,2,0.2107
37,21,35,3,0.0004
37,21,36,1,0.0736
37,21,36,2,0.021
37,21,36,3,0.0003
37,21,37,3,0.0003
37,22,34,2,0.1103
37,22,34,3,0.0022
37,22,35,1,0.0054
37,22,35,2,0.0942
