 mnumyr,mnumnr,m24,m4,LDLM
34,9,1,2,518.407
34,9,2,2,527.411
34,9,3,2,516.959
34,9,4,2,531.978
34,9,5,2,552.295
34,9,6,2,554.876
34,9,7,2,573.043
34,9,8,2,635.631
34,9,9,2,799.610
34,9,10,2,982.058
34,9,11,2,1030.287
34,9,12,2,1017.129
34,9,13,2,1016.084
34,9,14,2,919.118
34,9,15,2,867.868
34,9,16,2,813.426
34,9,17,2,644.113
34,9,18,2,568.455
34,9,19,2,523.350
34,9,20,2,525.381
34,9,21,2,529.106
34,9,22,2,541.039
34,9,23,2,532.958
34,9,24,2,523.661
34,9,1,3,296.352
34,9,2,3,298.938
34,9,3,3,293.221
34,9,4,3,300.921
34,9,5,3,307.928
34,9,6,3,320.156
34,9,7,3,334.862
34,9,8,3,368.987
34,9,9,3,406.194
34,9,10,3,504.587
34,9,11,3,523.499
34,9,12,3,553.863
34,9,13,3,530.027
34,9,14,3,474.453
34,9,15,3,440.181
34,9,16,3,393.268
34,9,17,3,337.666
34,9,18,3,330.747
34,9,19,3,327.698
34,9,20,3,326.630
34,9,21,3,325.109
34,9,22,3,318.666
34,9,23,3,308.597
34,9,24,3,297.809
34,9,1,4,661.652
34,9,2,4,668.482
34,9,3,4,672.261
34,9,4,4,709.501
34,9,5,4,736.427
34,9,6,4,730.489
34,9,7,4,734.030
34,9,8,4,745.428
34,9,9,4,849.289
34,9,10,4,1028.218
34,9,11,4,1017.143
34,9,12,4,1073.690
34,9,13,4,1167.993
34,9,14,4,1044.068
34,9,15,4,957.881
34,9,16,4,866.500
34,9,17,4,740.555
34,9,18,4,699.205
34,9,19,4,685.928
34,9,20,4,668.404
34,9,21,4,680.128
34,9,22,4,720.997
34,9,23,4,680.577
34,9,24,4,660.877
34,10,1,1,1768.459
34,10,2,1,1761.010
34,10,3,1,1700.914
34,10,4,1,1667.741
34,10,5,1,1668.858
34,10,6,1,1688.714
34,10,7,1,1873.789
34,10,8,1,2485.824
34,10,9,1,2959.102
34,10,10,1,3285.823
34,10,11,1,3387.339
34,10,12,1,3528.239
34,10,13,1,3543.675
34,10,14,1,3479.950
34,10,15,1,3249.605
34,10,16,1,3084.041
34,10,17,1,2845.564
34,10,18,1,2249.716
34,10,19,1,1810.116
34,10,20,1,1733.647
34,10,21,1,1727.860
34,10,22,1,1696.162
34,10,23,1,1723.971
34,10,24,1,1747.115
34,10,1,2,1756.335
34,10,2,2,1713.697
34,10,3,2,1671.356
34,10,4,2,1716.451
34,10,5,2,1975.635
34,10,6,2,2036.157
34,10,7,2,2319.984
34,10,8,2,3246.390
34,10,9,2,4239.305
34,10,10,2,4832.841
34,10,11,2,4961.288
34,10,12,2,5071.634
34,10,13,2,5087.559
34,10,14,2,5059.982
34,10,15,2,4891.226
34,10,16,2,4344.655
34,10,17,2,3281.613
34,10,18,2,2218.632
34,10,19,2,1781.711
34,10,20,2,1704.145
34,10,21,2,1708.875
34,10,22,2,1695.766
34,10,23,2,1719.800
34,10,24,2,1727.786
34,10,1,3,1401.090
34,10,2,3,1393.610
34,10,3,3,1357.535
34,10,4,3,1340.175
34,10,5,3,1369.693
34,10,6,3,1342.055
34,10,7,3,1559.339
34,10,8,3,2161.272
34,10,9,3,2668.909
34,10,10,3,2851.164
34,10,11,3,2932.532
34,10,12,3,3011.174
34,10,13,3,3042.442
34,10,14,3,2971.435
34,10,15,3,2888.579
34,10,16,3,2592.874
34,10,17,3,1870.783
34,10,18,3,1435.733
34,10,19,3,1376.323
34,10,20,3,1366.960
34,10,21,3,1360.106
34,10,22,3,1365.809
34,10,23,3,1370.804
34,10,24,3,1389.016
34,10,1,4,2859.789
34,10,2,4,2826.613
34,10,3,4,2807.509
34,10,4,4,2871.053
34,10,5,4,3026.569
34,10,6,4,3035.401
34,10,7,4,3004.101
34,10,8,4,3764.861
34,10,9,4,5161.823
34,10,10,4,5799.183
34,10,11,4,5966.016
34,10,12,4,6141.824
34,10,13,4,6174.611
34,10,14,4,6015.408
34,10,15,4,5877.886
34,10,16,4,5473.146
34,10,17,4,4148.767
34,10,18,4,3140.906
34,10,19,4,2858.899
34,10,20,4,2772.926
34,10,21,4,2778.599
