!Resid             Play     ITEM  COUNTER
@
UOCO0180217   99905037     401     401
UOUT0208517   99943037     402     402
UOCO0191417   99905039     403     403
UOWY0757717   99949039     404     404
UONE0011417   99926039     405     405
UOCO0202917   99905039     406     406
UOWY0769317   99949039     407     407
UONE0023117   99926039     408     408
UOCO0214717   99905039     409     409
UOWY0781217   99949039     410     410
UONE0035117   99926039     411     411
UOCO0226817   99905039     412     412
UOWY0793417   99949039     413     413
UONE0047417   99926039     414     414
UOCO0239217   99905039     415     415
UOWY0805917   99949039     416     416
UONE0060017   99926039     417     417
UOCO0251917   99905039     418     418
UOWY0818717   99949039     419     419
UONE0072917   99926039     420     420
UOCO0264917   99905039     421     421
UOWY0831817   99949039     422     422
UONE0086117   99926039     423     423
UOCO0278217   99905039     424     424
UOWY0845217   99949039     425     425
UONE0099617   99926039     426     426
UOSD0075217   99940039     427     427
UOCO0305217   99905039     428     428
UOWY0859017   99949039     429     429
UONE0113517   99926039     430     430
UOCO0319217   99905039     431     431
UOWY0873117   99949039     432     432
UONE0127717   99926039     433     433
UOSD0089517   99940039     434     434
UOSD0132517   99940039     435     435
UOSD0147017   99940039     436     436
UOSD0161617   99940039     437     437
UOSD0176317   99940039     438     438
UOSD0191117   99940039     439     439
UOSD0206017   99940039     440     440
UOTX0015017       4763     441     441
UOTX0360117       4473     442     442
UOTX0647117       4747     443     443
UOTX0951217       4748     444     444
UOTX1257317       4749     445     445
UGWA0000320        503     446     446
UGWA0000319        450     468     468
UGWA0003419        451     469     469
UGWA0010719        452     470     470
UGWY0000619       3550     471     471
UGWY0008519   99949136     472     472
UGWY0009319   99949136     473     473
UGWY0010219   99949136     474     474
UGWY0011219   99949136     475     475
UGWY0012319   99949136     476     476
UGWY0015719   99949136     477     477
UGWY0032619   99949136     478     478
UGWY0034019   99949136     479     479
UGWY0038319   99949136     480     480
UGWY0039919   99949136     481     481
UGUT0001719   99943136     482     482
UGUT0008619   99943136     483     483
UGUT0010519   99943136     484     484
UGUT0012519   99943136     485     485
UGUT0014619   99943136     486     486
UGUT0016819   99943136     487     487
UGUT0019119   99943136     488     488
